,Table of Contents,File Formats,Unnamed: 2,Unnamed: 3,Unnamed: 4
226,"Section E. Water Pollution, Noise And Solid Waste",Â,Â,Â,Â
227,4-50 - Petroleum Oil Spills Impacting Navigable U.S. Waters,Â,HTML  (39KB),Excel  (20KB),CSV  (20KB)
228,4-51 - Leaking Underground Storage Tank Releases and Cleanups,Â,HTML  (18KB),Excel  (16KB),CSV  (16KB)
229,4-52 - Highway Noise Barrier Construction,Â,HTML  (25KB),Excel  (18KB),CSV  (18KB)
230,4-53 - Number of People Residing in High Noise Areas around U.S. Airports,Â,HTML  (16KB),Excel  (16KB),CSV  (16KB)
231,4-54 - Motor Vehicles Scrapped,Â,HTML  (17KB),Excel  (17KB),CSV  (17KB)
232,Appendix A. Modal Profiles,Â,Â,Â,Â
233,Appendix A,Â,Â,Â,Â
234,Air Carrier Profile,Â,HTML  (283KB),Excel  (262KB),CSV  (74KB)
235,General Aviation Profile,Â,HTML  (121KB),Excel  (63KB),CSV  (9KB)
236,Highway Profile,Â,HTML  (353KB),Excel  (147KB),CSV  (33KB)
237,Automobile Profile,Â,HTML  (112KB),Excel  (64KB),CSV  (10KB)
238,Truck Profile,Â,HTML  (160KB),Excel  (76KB),CSV  (12KB)
239,Bus Profile,Â,HTML  (120KB),Excel  (73KB),CSV  (1KB)
240,Transit Profile,Â,HTML  (228KB),Excel  (94KB),CSV  (18KB)
241,Rail Profile,Â,HTML  (144KB),Excel  (76KB),CSV  (10KB)
242,Water Transport Profile,Â,HTML  (191KB),Excel  (84KB),CSV  (14KB)
243,Oil Pipeline Profile,Â,HTML  (71KB),Excel  (48KB),CSV  (5KB)
244,Natural Gas Pipeline Profile,Â,HTML  (112KB),Excel  (60KB),CSV  (8KB)
245,Appendix B. Metric Conversion Tables,Â,Â,Â,Â
246,Appendix B,Â,Â,Â,Â
247,1-1M - System Kilometers Within the United States,Â,HTML  (50KB),Excel  (28KB),CSV  (6KB)
248,1-6M - Estimated U.S. Roadway Lane-Kilometers by Functional System,Â,HTML  (29KB),Excel  (20KB),CSV  (3KB)
249,1-29M - U.S. Vehicle-Kilometers,Â,HTML  (61KB),Excel  (36KB),CSV  (10KB)
250,1-30M - Roadway Vehicle-Kilometers Traveled (VKT) and VKT per Lane-Kilometer by Functional Class,Â,HTML  (50KB),Excel  (27KB),CSV  (4KB)
251,1-31M - U.S. Passenger-Kilometers,Â,HTML  (64KB),Excel  (92KB),CSV  (33KB)
252,1-41M - U.S. Tonne-Kilometers of Freight,Â,HTML  (48KB),Excel  (26KB),CSV  (5KB)
253,"1-42M - Average Length of Haul, Domestic Freight and Passenger Modes",Â,HTML  (38KB),Excel  (25KB),CSV  (4KB)
254,1-46M - U.S. Waterborne Freight,Â,HTML  (28KB),Excel  (17KB),CSV  (2KB)
255,1-51M - Crude Oil Transported in the United States by Mode,Â,HTML  (46KB),Excel  (29KB),CSV  (3KB)
256,4-3M - Domestic Demand for Refined Petroleum Products by Sector,Â,HTML  (28KB),Excel  (29KB),CSV  (3KB)
257,4-5M - Fuel Consumption by Mode of Transportation,Â,HTML  (60KB),Excel  (36KB),CSV  (6KB)
258,4-6M - Energy Consumption by Mode of Transportation,Â,HTML  (63KB),Excel  (37KB),CSV  (7KB)
259,4-7M - Domestic Demand for Gasoline by Mode,Â,HTML  (24KB),Excel  (20KB),CSV  (2KB)
260,4-8M - Certificated Air Carrier Fuel Consumption and Travel,Â,HTML  (30KB),Excel  (22KB),CSV  (2KB)
261,4-9M - Motor Vehicle Fuel Consumption and Travel,Â,HTML  (22KB),Excel  (18KB),CSV  (2KB)
262,4-11M - Passenger Car and Motorcycle Fuel Consumption and Travel,Â,HTML  (44KB),Excel  (68KB),CSV  (3KB)
263,4-13M - Single-Unit 2-Axle 6-Tire or More Truck Fuel Consumption and Travel,Â,HTML  (20KB),Excel  (18KB),CSV  (3KB)
264,4-14M - Combination Truck Fuel Consumption and Travel,Â,HTML  (19KB),Excel  (18KB),CSV  (5KB)
265,4-15M - Bus Fuel Consumption and Travel,Â,HTML  (26KB),Excel  (22KB),CSV  (4KB)
266,4-16M - Transit Industry Electric Power and Primary Energy Consumption and Travel,Â,HTML  (27KB),Excel  (22KB),CSV  (7KB)
267,4-17M - Class I Rail Freight Fuel Consumption and Travel,Â,HTML  (33KB),Excel  (39KB),CSV  (6KB)
268,4-19M - U.S. Government Energy Consumption by Agency and Source,Â,HTML  (46KB),Excel  (26KB),CSV  (4KB)
269,4-20M - Energy Intensity of Passenger Modes,Â,HTML  (39KB),Excel  (25KB),CSV  (2KB)
270,"4-21M - Energy Intensity of Certificated Air Carriers, All Services",Â,HTML  (78KB),Excel  (30KB),CSV  (2KB)
271,"4-22M - Energy Intensity of Passenger Cars, Other 2-Axle 4-Tire Vehicles, and Motorcycles",Â,HTML  (38KB),Excel  (28KB),CSV  (2KB)
272,"4-23M - Average Fuel Efficiency of U.S. Passenger Cars, Light Trucks, and Light-Duty Vehicles",Â,HTML  (28KB),Excel  (22KB),CSV  (9KB)
273,4-24M - Energy Intensiveness of Transit Motor Buses,Â,HTML  (22KB),Excel  (20KB),CSV  (8KB)
274,4-25M - Energy Intensity of Class I Railroad Freight Service,Â,HTML  (24KB),Excel  (22KB),CSV  (3KB)
275,Appendix C. Source and Accuracy Statements,Â,HTML  (281KB),Â,Â
276,Appendix D. Glossary,Â,HTML  (64KB),Â,Â
277,Appendix E. List of Acronyms and Initialisms,Â,HTML  (7KB),Â,Â
278,Index,Â,HTML  (91KB),Â,Â
