,Urban area,Population group,Annual congestion cost per auto commuter (2014 dollars),Annual congestion cost (2014 dollars- millions),Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69
64,"Oklahoma City, OK",Large,815,874,927,977,1013,1014,1054,1037,1019,1013,1015,1012,1013.0,1019.0,1042.0,1066,1110,55,52,46,41,38,44,40,46,48,50,42,38,37.0,35.0,32.0,28,27,756,811,860,906,940,941,978,962,945,940,942,939,940.0,946.0,967.0,989,1030,42,41,41,40,41,42,40,41,40,40,41,40,40.0,39.0,39.0,39.0,34.0
65,"Omaha, NE-IA",Medium,542,591,623,651,678,682,692,675,680,671,704,697,705.0,690.0,721.0,714,707,87,85,85,84,85,86,86,88,89,89,86,86,86.0,85.0,80.0,83,84,312,340,358,375,390,393,398,388,391,386,405,401,406.0,397.0,415.0,411,407,72,71,70,68,67,68,67,69,69,71,68,67,67.0,68.0,64.0,64.0,65.0
66,"Orlando, FL",Large,860,924,981,1037,1091,1136,1145,1162,1166,1160,1140,1078,1070.0,1041.0,1029.0,1035,1044,50,44,39,36,32,27,27,26,23,24,24,29,32.0,33.0,35.0,35,34,994,1068,1134,1198,1261,1313,1323,1343,1347,1341,1317,1246,1237.0,1203.0,1189.0,1196,1207,35,35,32,30,29,29,28,28,28,28,28,28,28.0,28.0,28.0,28.0,28.0
67,"Oxnard-Ventura, CA",Small,395,406,431,466,503,518,532,562,596,551,472,475,489.0,496.0,497.0,495,494,92,94,94,94,94,93,94,93,93,94,97,96,96.0,95.0,95.0,96,97,107,110,117,126,136,140,144,152,161,149,128,129,133.0,134.0,135.0,134,134,94,95,95,94,94,94,94,95,94,96,96,96,96.0,96.0,96.0,96.0,96.0
68,"Pensacola, FL-AL",Small,773,806,817,817,893,927,972,973,1000,995,936,888,896.0,880.0,867.0,859,849,61,63,64,68,65,62,56,55,51,53,59,63,65.0,65.0,67.0,69,70,225,234,237,237,259,269,282,283,290,289,272,258,260.0,256.0,252.0,250,247,78,79,77,82,81,80,80,81,82,82,83,83,83.0,83.0,84.0,84.0,86.0
69,"Philadelphia, PA-NJ-DE-MD",Very large,1126,1156,1212,1280,1383,1403,1422,1394,1358,1293,1211,1211,1200.0,1167.0,1137.0,1129,1112,14,13,12,10,10,9,9,9,11,14,16,10,13.0,18.0,21.0,23,26,3717,3815,4001,4224,4563,4630,4693,4600,4482,4268,3997,3996,3962.0,3852.0,3754.0,3727,3669,10,8,8,7,7,7,5,6,8,9,8,8,8.0,8.0,8.0,8.0,8.0
70,"Phoenix, AZ",Very large,908,1008,1042,1074,1128,1159,1201,1257,1280,1339,1272,1184,1187.0,1181.0,1196.0,1193,1201,40,31,32,29,28,25,21,17,15,11,12,12,16.0,13.0,12.0,13,13,2753,3054,3159,3255,3420,3514,3641,3810,3879,4057,3855,3588,3598.0,3581.0,3625.0,3616,3641,14,13,13,13,13,13,12,10,10,10,10,9,9.0,9.0,9.0,9.0,9.0
71,"Pittsburgh, PA",Large,956,975,995,1000,1011,999,982,985,967,957,898,864,886.0,881.0,882.0,880,889,30,34,35,39,40,45,55,54,58,60,68,70,68.0,64.0,63.0,64,59,1108,1130,1153,1159,1172,1158,1139,1142,1122,1109,1041,1001,1027.0,1021.0,1023.0,1021,1030,31,30,29,31,31,31,32,32,32,33,36,37,37.0,36.0,35.0,35.0,34.0
72,"Portland, OR-WA",Large,982,1028,1068,1117,1145,1167,1196,1175,1160,1152,1120,1132,1190.0,1231.0,1266.0,1270,1273,28,29,28,23,24,24,23,22,24,27,27,21,15.0,11.0,11.0,11,11,1360,1423,1478,1547,1586,1616,1657,1627,1606,1596,1551,1568,1648.0,1705.0,1753.0,1759,1763,22,22,22,23,23,23,24,24,24,24,24,24,23.0,20.0,20.0,20.0,20.0
73,"Poughkeepsie-Newburgh, NY",Small,660,684,682,692,777,822,890,908,915,912,901,857,880.0,865.0,865.0,870,867,76,76,78,79,73,73,69,68,67,68,67,71,69.0,69.0,68.0,67,66,228,236,235,239,268,284,307,314,316,315,311,296,304.0,299.0,299.0,300,299,77,78,79,81,79,78,77,77,77,80,80,79,79.0,78.0,77.0,78.0,78.0
74,"Providence, RI-MA",Large,954,1016,1026,1064,1109,1107,1098,1073,1047,1035,1008,987,989.0,984.0,971.0,963,951,31,30,33,31,31,32,33,36,40,45,43,41,41.0,40.0,42.0,45,47,849,904,912,946,986,985,976,954,931,921,896,877,879.0,875.0,863.0,856,846,38,38,38,38,38,39,41,42,42,43,44,42,43.0,43.0,43.0,43.0,45.0
75,"Provo, UT",Medium,546,591,574,641,648,683,685,707,698,690,662,655,643.0,644.0,677.0,713,708,86,85,87,87,86,85,87,86,86,87,88,87,88.0,87.0,87.0,84,83,208,225,219,244,247,260,261,269,266,263,252,249,245.0,245.0,258.0,271,270,80,80,82,80,82,82,83,83,84,85,84,84,85.0,84.0,83.0,83.0,83.0
76,"Raleigh-Durham, NC",Medium,549,590,647,684,724,745,748,746,746,739,729,718,749.0,730.0,718.0,743,734,85,87,79,80,82,81,83,83,82,86,83,80,80.0,80.0,82.0,80,81,377,405,444,470,497,512,514,512,512,508,500,493,514.0,502.0,493.0,510,504,65,63,61,56,56,56,57,57,59,59,57,58,56.0,56.0,57.0,55.0,55.0
77,"Richmond, VA",Large,496,500,518,552,589,659,707,721,746,753,763,746,754.0,733.0,727.0,736,729,88,89,89,90,90,87,85,84,82,84,80,79,79.0,79.0,79.0,81,82,380,383,397,423,452,505,542,553,571,577,585,571,577.0,562.0,557.0,564,558,64,65,64,63,63,57,55,55,53,53,53,54,54.0,54.0,54.0,54.0,54.0
78,"Riverside-San Bernardino, CA",Large,936,1005,1055,1092,1179,1258,1325,1389,1413,1406,1369,1293,1318.0,1291.0,1270.0,1286,1316,34,32,30,27,17,15,12,10,9,9,8,9,8.0,10.0,10.0,10,10,1566,1682,1766,1827,1971,2104,2216,2323,2364,2351,2290,2163,2205.0,2159.0,2125.0,2151,2201,20,20,20,19,18,18,17,16,16,16,16,16,16.0,16.0,16.0,17.0,16.0
79,"Rochester, NY",Medium,872,875,874,880,913,992,1033,1062,1055,1082,939,957,946.0,918.0,906.0,900,889,45,51,57,61,58,48,43,39,37,35,58,49,50.0,52.0,56.0,58,59,460,462,461,464,481,523,545,560,557,571,495,505,499.0,484.0,478.0,475,469,56,57,58,58,57,55,54,54,55,54,59,56,58.0,58.0,58.0,59.0,61.0
80,"Sacramento, CA",Large,759,807,827,886,963,1040,1057,1066,1078,1082,1018,982,976.0,956.0,959.0,968,958,65,62,63,57,47,39,38,38,34,35,41,44,44.0,44.0,44.0,44,45,1058,1125,1152,1234,1341,1448,1472,1484,1502,1507,1418,1367,1360.0,1332.0,1336.0,1348,1334,33,31,30,29,27,26,26,26,26,26,26,26,27.0,27.0,27.0,27.0,27.0
81,"Salem, OR",Small,719,754,813,893,973,1023,1041,1061,1040,1046,1007,968,931.0,888.0,876.0,882,876,71,70,65,56,46,42,42,40,44,42,44,47,53.0,63.0,64.0,62,65,144,151,162,178,194,204,208,212,208,209,201,193,186.0,177.0,175.0,176,175,90,90,88,88,86,86,87,87,87,87,87,87,88.0,90.0,90.0,91.0,92.0
82,"Salt Lake City, UT",Large,771,808,891,946,1009,1054,1057,1052,1054,1058,1004,987,989.0,994.0,1027.0,1036,1059,63,61,52,43,41,37,38,42,38,39,45,41,41.0,38.0,36.0,34,31,567,595,656,696,743,776,778,774,775,778,739,726,728.0,731.0,755.0,762,779,52,51,48,47,47,45,46,47,48,48,47,47,47.0,47.0,47.0,47.0,46.0
83,"San Antonio, TX",Large,863,888,908,926,951,964,985,972,986,974,948,923,949.0,954.0,973.0,989,1002,48,48,49,48,50,52,53,56,54,57,56,54,49.0,46.0,41.0,40,38,1260,1296,1325,1351,1387,1407,1437,1419,1438,1422,1383,1347,1385.0,1392.0,1420.0,1443,1462,25,26,25,25,25,27,27,27,27,27,27,27,26.0,25.0,25.0,25.0,25.0
84,"San Diego, CA",Very large,814,884,902,932,978,994,1002,988,978,966,935,910,901.0,899.0,900.0,899,887,56,49,50,46,45,47,50,53,56,59,61,57,61.0,58.0,59.0,59,61,1522,1651,1686,1741,1828,1857,1872,1846,1828,1806,1748,1701,1683.0,1680.0,1682.0,1680,1658,21,21,21,21,21,21,21,21,21,22,21,21,21.0,22.0,21.0,21.0,21.0
85,"San Francisco-Oakland, CA",Very large,2007,2007,1989,1966,1950,1944,1932,1915,1880,1841,1756,1691,1671.0,1636.0,1686.0,1691,1675,2,2,2,2,2,2,2,3,4,4,4,4,4.0,4.0,4.0,4,4,3768,3768,3733,3691,3661,3649,3627,3595,3529,3455,3295,3174,3137.0,3070.0,3165.0,3174,3143,9,9,10,11,12,12,13,13,13,13,13,14,14.0,14.0,14.0,14.0,14.0
86,"San Jose, CA",Large,1033,1093,1149,1186,1198,1211,1201,1208,1226,1238,1227,1175,1253.0,1332.0,1347.0,1380,1422,26,23,15,14,15,17,21,19,18,17,14,15,10.0,9.0,9.0,9,8,1620,1713,1802,1860,1879,1899,1883,1894,1922,1942,1924,1843,1965.0,2088.0,2113.0,2164,2230,18,19,18,18,19,19,20,19,19,19,19,19,19.0,17.0,17.0,16.0,15.0
87,"San Juan, PR",Large,879,976,1057,1110,1178,1268,1302,1289,1248,1200,1115,1167,1186.0,1170.0,1166.0,1158,1150,42,33,29,26,18,14,14,15,17,18,28,17,17.0,17.0,18.0,19,21,1227,1362,1475,1550,1644,1770,1817,1799,1743,1675,1557,1629,1655.0,1633.0,1628.0,1617,1605,27,23,23,22,22,22,22,22,23,23,23,22,22.0,23.0,23.0,23.0,23.0
88,"Sarasota-Bradenton, FL",Medium,578,618,618,606,613,629,639,646,648,639,618,566,584.0,577.0,570.0,587,589,81,82,86,88,88,90,89,89,90,90,90,92,92.0,92.0,92.0,92,92,307,328,328,321,325,334,339,343,344,339,328,300,310.0,306.0,302.0,311,312,73,73,73,73,73,74,75,74,73,73,77,78,77.0,77.0,76.0,76.0,75.0
89,"Seattle, WA",Very large,1308,1341,1362,1409,1470,1541,1571,1554,1543,1529,1483,1458,1482.0,1471.0,1474.0,1507,1491,8,8,8,8,8,8,6,6,6,6,6,6,6.0,6.0,5.0,5,5,2890,2962,3009,3114,3248,3404,3471,3433,3410,3379,3276,3222,3274.0,3249.0,3257.0,3330,3294,13,14,14,14,14,14,14,14,14,14,14,13,13.0,12.0,12.0,12.0,12.0
90,"Spokane, WA",Small,874,901,914,904,944,1027,1012,1008,999,991,970,950,933.0,914.0,909.0,913,911,44,47,48,53,52,41,47,49,52,56,51,50,52.0,54.0,55.0,56,55,299,309,313,310,323,352,347,345,342,339,332,325,320.0,313.0,311.0,313,312,74,74,74,74,74,72,73,73,74,73,75,75,75.0,75.0,75.0,75.0,75.0
91,"Springfield, MA-CT",Medium,921,960,961,936,931,950,948,937,928,916,890,871,866.0,846.0,849.0,842,831,37,37,41,44,54,57,64,65,66,67,71,67,71.0,71.0,72.0,73,75,452,471,471,459,457,466,465,460,456,449,437,427,425.0,415.0,416.0,413,408,57,56,56,60,61,62,63,62,62,63,64,63,63.0,63.0,63.0,63.0,64.0
92,"St. Louis, MO-IL",Large,1084,1110,1121,1138,1159,1169,1177,1175,1168,1163,1148,1086,1085.0,1052.0,1039.0,1031,1020,19,19,19,21,21,23,25,22,22,22,23,27,29.0,31.0,33.0,36,37,1739,1781,1798,1825,1859,1875,1888,1885,1873,1866,1841,1743,1740.0,1688.0,1666.0,1654,1637,17,17,19,20,20,20,19,20,20,20,20,20,20.0,21.0,22.0,22.0,22.0
93,"Stockton, CA",Small,413,434,438,469,507,512,539,614,620,631,556,537,537.0,531.0,523.0,519,516,91,92,93,93,93,94,92,92,92,92,93,93,93.0,93.0,93.0,93,93,118,124,125,134,145,147,154,176,177,180,159,154,154.0,152.0,150.0,149,148,93,93,93,93,93,93,93,90,90,90,93,94,94.0,94.0,94.0,94.0,94.0
94,"Tampa-St Petersburg, FL",Large,767,772,802,849,901,915,1010,1013,1034,1033,983,921,914.0,903.0,910.0,915,907,64,68,66,64,62,65,48,47,45,46,50,55,57.0,56.0,54.0,54,57,1343,1353,1404,1487,1577,1603,1769,1774,1811,1809,1722,1614,1602.0,1581.0,1593.0,1602,1589,24,24,24,24,24,24,23,23,22,21,22,23,24.0,24.0,24.0,24.0,24.0
95,"Toledo, OH-MI",Medium,941,932,923,931,941,951,951,939,946,951,936,896,909.0,916.0,915.0,924,920,33,41,47,47,53,56,62,63,65,63,59,61,58.0,53.0,53.0,53,52,390,386,383,386,390,394,394,389,392,394,388,371,377.0,380.0,379.0,383,381,63,64,66,66,67,67,69,68,68,69,69,70,70.0,69.0,69.0,69.0,69.0
96,"Tucson, AZ",Medium,918,959,982,978,992,1019,1024,1083,1115,1154,1188,1098,1124.0,1092.0,1094.0,1089,1128,38,38,37,40,42,43,46,34,30,25,17,25,25.0,25.0,25.0,26,23,696,728,745,742,753,773,777,822,846,876,901,833,853.0,829.0,830.0,826,856,44,45,46,46,46,46,47,45,44,44,42,44,44.0,45.0,44.0,45.0,44.0
97,"Tulsa, OK",Medium,882,880,884,881,901,953,951,965,989,995,1001,946,941.0,940.0,931.0,953,984,41,50,54,59,62,55,62,58,53,53,47,51,51.0,50.0,51.0,47,42,611,610,612,610,624,660,659,668,685,689,694,655,652.0,651.0,645.0,660,682,49,49,52,52,51,51,51,51,51,51,50,50,50.0,50.0,50.0,49.0,48.0
98,"Virginia Beach, VA",Large,1051,1069,1074,1074,1069,1064,1060,1045,1034,1019,985,978,984.0,956.0,939.0,938,953,24,26,26,29,34,36,37,43,45,49,48,45,43.0,44.0,48.0,50,46,1125,1144,1150,1149,1144,1139,1135,1118,1107,1090,1055,1047,1053.0,1024.0,1005.0,1004,1020,29,29,31,32,33,33,33,33,33,34,34,33,34.0,35.0,37.0,36.0,36.0
99,"Washington, DC-VA-MD",Very large,1679,1704,1681,1752,1840,1872,1886,1897,1886,1888,1877,1916,1924.0,1886.0,1858.0,1838,1834,3,3,4,3,3,4,4,4,3,3,2,1,1.0,1.0,1.0,1,1,4175,4235,4180,4357,4576,4654,4689,4717,4690,4695,4666,4764,4783.0,4690.0,4620.0,4569,4560,6,6,6,6,6,6,6,5,6,6,5,4,4.0,4.0,5.0,5.0,5.0
100,"Wichita, KS",Medium,712,741,743,754,759,780,813,839,890,910,894,799,824.0,827.0,829.0,824,837,72,73,75,76,77,76,75,74,72,69,69,75,74.0,73.0,74.0,74,73,347,360,362,367,369,379,396,408,433,443,435,389,401.0,402.0,403.0,401,407,68,67,68,69,70,70,68,66,66,66,65,68,68.0,66.0,66.0,66.0,65.0
101,"Winston-Salem, NC",Small,328,349,376,385,395,414,440,470,490,484,457,441,446.0,429.0,422.0,418,415,95,96,96,96,96,96,96,96,96,97,98,98,98.0,98.0,99.0,99,99,107,114,122,125,129,135,143,153,160,157,149,144,145.0,140.0,137.0,136,135,94,94,94,95,95,95,95,94,96,95,95,95,95.0,95.0,95.0,95.0,95.0
102,"Worcester, MA",Small,820,849,865,883,902,919,934,938,957,953,935,885,897.0,878.0,854.0,875,865,54,57,58,58,61,64,65,64,61,62,61,65,62.0,67.0,70.0,65,67,286,297,302,308,315,321,326,328,334,333,327,309,313.0,307.0,298.0,305,302,75,75,75,75,76,76,76,76,76,77,78,76,76.0,76.0,78.0,77.0,77.0
103,471 Urban area average,471 Areas,915,945,962,983,1014,1034,1049,1048,1043,1034,996,967,970.0,959.0,959.0,961,960,,,,,,,,,,,,,,,,,,147,158,175,188,199,212,230,251,270,286,293,283,292.0,306.0,317.0,326,338,,,,,,,,,,,,,,,,,
104,101 Urban area average,101 Areas,1174,1206,1223,1245,1281,1302,1318,1313,1304,1288,1239,1202,1204.0,1189.0,1189.0,1191,1189,,,,,,,,,,,,,,,,,,1307,1350,1374,1404,1448,1477,1498,1497,1490,1476,1422,1381,1385.0,1369.0,1369.0,1373,1371,,,,,,,,,,,,,,,,,
105,Very large area average,Very large,1482,1511,1524,1546,1588,1611,1626,1619,1605,1576,1507,1464,1458.0,1441.0,1441.0,1442,1433,,,,,,,,,,,,,,,,,,5323,5458,5526,5617,5788,5881,5945,5932,5885,5788,5531,5380,5361.0,5294.0,5291.0,5291,5259,,,,,,,,,,,,,,,,,
106,Large area average,Large,929,969,994,1025,1059,1082,1104,1102,1098,1091,1057,1023,1038.0,1028.0,1033.0,1039,1045,,,,,,,,,,,,,,,,,,1121,1172,1205,1247,1291,1322,1349,1348,1344,1336,1296,1254,1272.0,1261.0,1267.0,1274,1281,,,,,,,,,,,,,,,,,
107,Medium area average,Medium,814,845,856,863,879,897,902,900,899,910,896,870,876.0,861.0,859.0,862,867,,,,,,,,,,,,,,,,,,430,448,455,460,470,482,487,487,489,496,490,475,479.0,471.0,470.0,472,474,,,,,,,,,,,,,,,,,
108,Small area average,Small,547,576,596,624,662,691,715,731,742,746,721,702,708.0,698.0,694.0,700,704,,,,,,,,,,,,,,,,,,146,154,160,168,179,187,193,198,201,203,196,191,192.0,190.0,188.0,190,191,,,,,,,,,,,,,,,,,
