FEDERAL-AID URBANIZED AREA (3),STATE,"UN-
        REPORTED (4)",INTERNATIONAL ROUGHNESS INDEX (IRI) (1),,,,,,,,,,,,,,,,,,INTERNATIONAL ROUGHNESS INDEX (1) / PRESENT SERVICEABILITY    RATING (PSR) (2),,,,,
Huntsville,AL,49,13,0,0,0,0,13,6,1,0,0,0,7,24,2,1,0,0,26,4,1,0,0,0,6
Idaho Falls,ID,4,5,0,0,0,0,5,0,0,0,0,0,0,16,4,4,3,2,28,57,23,41,10,0,131
Indianapolis,IN,296,97,21,17,6,3,144,2,0,0,0,0,3,85,18,17,5,4,129,173,18,29,3,1,223
Indio--Cathedral    City,CA,0,16,1,0,0,0,17,5,1,0,0,0,6,1,2,3,3,3,12,1,24,53,15,43,138
Iowa City,IA,0,13,1,1,0,0,14,0,0,0,0,0,0,16,3,2,1,4,26,6,3,12,9,31,61
Ithaca,NY,0,0,0,0,0,0,0,4,0,0,1,0,5,2,1,1,2,1,7,4,12,14,8,9,47
Jackson,MI,0,4,3,2,1,0,9,9,3,1,0,0,14,4,3,4,3,4,17,15,1,91,0,42,149
Jackson,MS,0,41,5,5,1,1,53,0,0,0,0,0,0,28,19,16,11,19,92,45,26,69,57,107,304
Jackson,TN,11,5,1,0,0,0,6,0,0,0,0,0,0,6,3,4,1,1,14,8,1,2,0,0,12
Jacksonville,FL,10,22,1,1,0,0,23,9,1,2,1,0,13,23,5,4,2,0,34,366,55,124,19,13,577
Jacksonville,NC,1,0,0,0,0,0,0,6,0,0,0,0,7,19,5,2,1,1,28,9,5,14,3,3,34
Janesville,WI,0,3,0,1,0,0,4,0,1,1,0,0,3,6,3,3,1,2,14,8,3,11,24,16,62
Jefferson    City,MO,0,0,0,0,0,0,0,14,1,1,0,0,16,4,0,0,0,0,5,7,10,26,11,16,69
Johnson    City,TN,10,3,1,3,1,0,8,0,0,0,0,0,0,13,1,1,0,0,15,23,3,2,1,1,31
Johnstown,PA,0,0,0,0,0,0,0,3,0,0,0,0,4,2,2,3,1,2,9,5,14,16,6,6,47
Jonesboro,AR,7,0,0,0,0,0,0,7,1,0,0,0,9,7,4,2,1,0,14,16,30,13,10,1,70
Joplin,MO,0,8,0,0,0,0,8,5,0,0,0,0,5,15,1,1,0,0,18,10,15,26,10,14,75
Kahului,HI,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4,8,3,1,29,3,2,2,1,0,7
Kailua    (Honolulu County)--Kaneohe,HI,0,3,1,3,0,0,7,1,2,2,0,0,6,6,8,8,4,2,28,0,0,2,2,0,5
Kalamazoo,MI,0,14,1,0,0,0,15,9,5,3,1,0,18,7,5,8,5,4,30,101,0,110,0,94,305
Kankakee,IL,0,16,3,0,0,0,19,0,0,0,0,0,0,10,8,9,7,0,34,0,10,9,9,15,42
Kansas City,KS,3,27,3,2,1,1,33,19,2,1,1,0,24,12,4,3,1,0,21,94,80,116,67,32,389
Kansas City,MO,5,46,5,4,1,0,55,48,5,5,2,0,61,37,10,11,3,1,61,48,98,198,128,106,577
Kennewick--Pasco,WA,8,18,9,2,0,0,29,23,5,3,1,1,32,5,6,6,3,4,24,32,32,17,8,19,108
Kenosha,WI,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,4,3,17,0,0,2,6,20,27
Killeen,TX,3,0,0,0,0,0,0,13,1,2,0,0,16,15,4,4,1,0,24,59,33,44,46,27,209
Kingsport,TN,19,11,0,0,0,0,11,4,1,0,0,0,5,14,1,1,0,0,16,22,11,2,0,0,36
Kingsport,VA,0,0,0,0,0,0,0,2,1,0,0,0,3,4,4,1,0,0,9,2,2,4,1,0,10
Kingston,NY,0,13,1,1,1,0,16,1,1,2,0,0,4,3,1,4,2,1,11,17,12,14,7,4,54
Kissimmee,FL,0,0,0,0,0,0,0,20,0,1,0,0,21,21,6,2,0,0,29,157,4,50,1,1,212
Knoxville,TN,28,29,2,1,0,0,31,0,0,0,0,0,1,32,6,3,1,2,44,79,20,19,4,1,123
Kokomo,IN,15,0,0,0,0,0,0,9,0,0,0,0,10,10,2,2,0,0,14,0,0,0,0,0,0
La Crosse,MN,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,1,1,0,2
La Crosse,WI,1,5,4,0,0,0,8,5,1,1,0,0,7,2,2,2,2,3,10,12,4,9,7,17,48
Lady    Lake--The Villages,FL,0,0,0,0,0,0,0,1,0,0,0,0,1,18,1,0,0,0,20,115,10,36,9,1,170
Lafayette,IN,32,5,0,1,0,0,6,0,0,0,0,0,0,9,2,7,3,2,22,24,1,3,4,3,34
Lafayette,LA,6,14,3,4,2,0,24,0,0,0,0,0,0,16,13,18,20,28,95,32,24,28,20,37,140
Lafayette--Louisville--Erie,CO,0,0,0,0,0,0,0,2,1,1,1,0,5,2,3,4,1,2,11,6,8,20,6,4,45
Lake Charles,LA,1,9,4,5,3,1,23,0,0,0,0,0,0,15,3,6,5,3,32,34,17,14,9,22,96
Lake Havasu    City,AZ,15,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,1,14,0,0,0,0,0,0
Lake    Jackson--Angleton,TX,3,0,0,0,0,0,0,3,1,1,0,0,6,10,2,3,1,0,17,59,7,40,46,10,163
Lakeland,FL,1,4,1,0,0,0,6,5,0,0,0,0,6,13,2,1,0,0,15,105,6,109,1,4,223
Lancaster,PA,0,16,1,0,0,0,17,7,2,2,0,0,11,5,2,3,1,1,13,36,44,50,32,38,199
Lancaster--Palmdale,CA,0,0,0,0,0,0,0,6,0,3,1,0,11,14,7,5,3,3,31,28,48,110,10,94,289
Lansing,MI,1,14,7,3,1,0,25,9,3,1,0,0,13,9,4,6,2,3,25,112,2,164,6,76,361
Laredo,TX,10,7,1,1,0,0,9,0,0,0,0,0,0,6,5,8,4,5,27,17,14,70,45,11,158
Las Cruces,NM,6,11,2,1,0,0,14,6,1,0,0,0,7,5,2,3,1,1,12,31,22,27,18,17,114
Las    Vegas--Henderson,NV,2,23,2,1,0,0,26,12,4,3,0,0,19,22,6,6,1,1,36,261,87,98,43,35,523
Lawrence,KS,2,7,0,0,0,0,7,12,0,0,0,0,12,2,2,4,3,3,13,5,8,13,10,13,48
Lawton,OK,1,5,1,1,0,0,8,2,1,0,0,1,5,4,0,5,4,5,18,5,2,3,9,14,32
Lebanon,PA,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,1,6,0,3,6,7,10,25
Leesburg--Eustis--Tavares,FL,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,1,1,0,18,72,2,68,34,0,175
Leominster--Fitchburg,MA,0,0,0,0,0,0,0,2,0,0,0,0,2,6,3,4,3,4,19,0,0,213,1,3,216
Lewiston,ID,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,35,11,20,4,1,71
Lewiston,WA,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,1,1,0,3,9,7,4,1,2,22
Lewiston,ME,0,7,3,1,0,0,12,0,0,1,0,0,1,16,5,5,3,8,37,7,8,8,4,5,31
Lexington-Fayette,KY,37,13,0,0,0,0,13,10,1,2,1,0,13,21,6,7,3,2,39,8,4,4,2,1,18
Lexington Park--California--Chesapeake Ranch Estates,MD,1,0,0,0,0,0,0,1,0,0,0,0,1,5,1,0,0,0,6,7,3,2,1,0,13
Lima,OH,0,5,0,1,0,0,6,0,0,0,0,0,0,2,2,3,2,1,9,29,12,3,2,6,52
Lincoln,NE,31,12,3,2,0,0,17,15,2,2,0,0,19,7,4,8,6,8,32,103,26,55,21,7,213
Little Rock,AR,20,10,3,2,0,0,15,4,2,4,2,0,12,2,2,7,3,1,15,44,184,158,192,77,655
Livermore,CA,0,6,0,0,0,0,6,0,0,0,0,0,0,1,1,1,2,1,5,0,2,6,6,19,33
Lodi,CA,0,0,0,0,0,0,0,1,0,0,0,0,1,3,1,2,0,0,6,1,8,10,4,4,27
Logan,UT,0,0,0,0,0,0,0,0,0,0,0,0,0,24,3,2,1,0,30,5,4,2,0,0,11
Lompoc,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2,1,0,10,0,4,2,3,4,13
Longmont,CO,0,0,1,0,0,0,2,3,2,2,1,1,8,2,1,3,0,0,7,3,5,24,15,6,53
Longview,TX,6,5,0,0,0,0,5,0,0,0,0,0,0,8,3,4,1,0,15,65,8,35,17,3,128
Longview,OR,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,6,4,3,0,1,0,8
Longview,WA,2,8,0,0,0,0,8,2,0,0,0,0,3,5,4,3,2,4,18,6,2,9,4,20,42
Lorain--Elyria,OH,0,6,1,1,0,0,9,9,1,0,0,0,10,3,2,2,2,1,10,44,30,20,19,27,140
Los    Angeles--Long Beach--Anaheim,CA,0,7,1,1,2,0,11,19,5,5,3,2,35,1,4,11,7,10,33,13,16,35,"1,274","1,781","3,119"
Los Lunas,NM,0,4,0,0,0,0,4,0,0,0,0,0,0,3,2,3,2,0,10,19,7,4,2,1,32
Los Lunas,IN,53,20,4,3,1,0,28,1,1,2,0,0,5,3,1,1,0,0,5,23,2,4,1,0,30
Louisville/Jefferson    County,KY,41,76,10,10,4,1,101,2,4,5,2,0,13,25,23,32,10,5,95,62,68,101,48,26,306
Lubbock,TX,26,3,3,4,1,0,11,9,3,5,2,0,19,23,8,7,4,3,45,64,9,61,33,98,265
Lynchburg,VA,6,0,0,0,0,0,0,25,6,1,0,0,32,19,8,7,2,2,38,29,19,27,19,12,106
McAllen,TX,5,23,2,2,0,0,27,4,0,0,0,0,5,20,6,7,2,2,36,328,57,291,72,117,865
McKinney,TX,8,0,0,0,0,0,0,7,4,4,0,0,15,13,3,3,1,1,20,116,6,84,9,3,219
Macon,GA,0,30,7,7,3,1,47,0,0,0,0,0,0,16,6,7,3,2,35,17,5,3,5,3,32
Madera,CA,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,1,2,2,3,16,8,32,61
Madison,WI,1,5,3,5,1,0,15,9,3,7,2,1,22,5,3,6,3,4,22,6,25,62,23,55,171
Manchester,NH,0,25,0,0,0,0,25,8,0,0,0,0,8,12,3,6,2,4,27,12,27,107,3,7,155
Mandeville--Covington,LA,4,17,0,0,0,0,18,3,0,0,0,0,3,11,6,4,2,0,23,22,9,7,3,4,45
Manhattan,KS,0,0,0,0,0,0,0,8,1,0,0,0,9,7,1,2,1,0,11,5,3,7,3,5,24
Mankato,MN,2,0,0,0,0,0,0,3,3,3,1,0,10,10,4,2,1,0,17,14,0,7,0,5,26
Mansfield,OH,0,4,0,0,0,0,5,9,1,1,0,0,12,7,2,2,1,1,13,45,14,16,8,5,87
Manteca,CA,0,0,0,0,0,0,0,2,0,0,0,0,2,0,1,2,1,0,4,3,4,12,2,1,21
Marysville,WA,1,7,1,0,0,0,9,18,5,2,1,1,27,0,2,7,1,1,12,12,2,49,6,1,71
Mauldin--Simpsonville,SC,0,11,1,1,0,0,13,1,2,0,0,0,2,0,3,6,0,0,10,6,11,19,12,0,48
Medford,OR,0,25,2,0,0,0,27,0,0,0,0,0,0,26,11,9,4,4,53,116,74,87,6,30,313
Memphis,AR,2,4,1,1,0,0,5,0,0,0,0,0,0,0,1,2,0,0,4,8,16,20,1,12,57
Memphis,MS,0,13,1,1,0,0,15,12,1,0,0,0,13,15,7,6,3,2,32,10,17,21,12,14,74
Memphis,TN,32,18,2,2,0,0,23,8,1,2,1,1,13,6,5,6,5,4,26,37,11,28,34,22,133
Merced,CA,0,0,0,0,0,0,0,1,1,2,1,0,5,1,1,3,1,3,8,0,0,4,11,68,83
Miami,FL,8,23,2,1,0,0,26,42,3,2,0,0,47,34,9,10,3,2,58,721,125,466,162,86,"1,560"
Michigan City--La Porte,IN,21,1,1,1,0,0,3,0,0,0,0,0,0,17,5,4,3,2,32,5,10,4,1,0,20
Michigan    City--La Porte,MI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2
Middletown,OH,0,4,0,0,0,0,4,0,0,0,0,0,0,4,3,4,1,2,14,6,9,9,7,5,36
Midland,MI,4,0,0,0,0,0,0,19,1,1,0,0,22,2,1,5,2,3,12,8,0,66,0,48,122
Midland,TX,2,13,0,0,0,0,13,3,1,1,0,0,5,5,2,5,3,2,16,19,30,101,18,19,187
Milwaukee,WI,0,32,7,2,3,1,45,7,3,4,1,1,16,9,6,9,6,12,42,13,49,81,96,366,605
Minneapolis--St.    Paul,MN,5,127,42,30,8,3,209,84,21,15,6,3,129,114,28,19,4,4,169,551,303,359,393,137,"1,743"
Mission    Viejo--Lake Forest--San Clemente,CA,0,5,2,2,0,0,8,5,1,1,0,0,8,1,1,3,3,3,10,0,0,0,80,49,128
Missoula,MT,0,10,1,1,0,0,12,0,0,0,0,0,0,3,2,2,2,1,11,5,9,5,4,7,31
Mobile,AL,48,36,2,3,1,0,43,0,0,0,0,0,0,13,2,2,1,1,19,21,3,1,0,0,25
Modesto,CA,0,0,0,0,0,0,0,9,0,0,0,0,9,2,2,4,3,3,15,1,1,27,41,28,98
Monessen--California,PA,0,9,2,1,1,0,11,4,0,9,0,0,13,4,2,3,1,0,10,15,11,23,13,5,67
Monroe,LA,3,11,1,0,0,1,13,0,0,0,0,0,0,15,3,7,5,7,37,12,10,36,23,20,101
Monroe,MI,0,3,1,3,3,2,11,0,0,0,0,0,0,6,2,2,1,0,12,21,3,29,1,40,95
Montgomery,AL,31,29,4,2,1,0,36,4,0,0,0,0,4,15,2,2,0,0,20,23,7,5,1,0,36
Morgantown,WV,1,12,1,0,0,0,13,0,0,0,0,0,0,3,3,6,5,3,20,26,2,15,12,14,69
Morristown,TN,3,0,0,0,0,0,0,0,0,0,0,0,0,9,1,1,0,0,11,20,1,3,1,3,27
Mount Vernon,WA,1,6,1,0,0,0,7,0,0,0,0,0,0,3,2,4,1,2,12,16,2,8,10,12,48
Muncie,IN,36,0,0,0,0,0,0,4,1,2,0,0,7,18,4,3,0,0,26,5,2,2,1,1,12
Murrieta--Temecula--Menifee,CA,0,6,3,3,1,0,13,0,0,0,0,0,0,1,1,4,2,3,11,14,11,27,10,45,107
Muskegon,MI,0,5,0,0,0,0,5,18,0,1,0,0,18,8,5,9,5,5,32,95,2,118,0,65,280
Myrtle    Beach--Socastee,NC,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,16,9,0,0,0,0,9
Myrtle Beach--Socastee,SC,0,0,0,0,0,0,0,8,0,1,0,0,9,13,11,15,1,0,41,22,0,58,41,3,124
Nampa,ID,3,8,4,4,1,0,18,0,0,0,0,0,0,19,10,11,6,4,51,117,11,16,50,17,210
Napa,CA,0,0,0,0,0,0,0,4,2,2,1,0,8,1,2,2,1,1,7,0,2,3,1,12,18
Nashua,MA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nashua,NH,0,10,1,0,0,0,11,16,0,0,0,0,17,13,3,5,3,3,27,16,67,147,8,4,240
Nashville-Davidson,TN,29,37,1,0,0,0,39,22,3,2,1,0,28,32,7,5,1,1,46,162,34,41,9,6,252
Newark,OH,0,3,0,0,0,0,3,6,0,0,0,0,7,7,2,2,1,0,11,13,6,10,3,4,37
New Bedford,MA,0,37,1,1,0,0,39,10,1,0,0,0,12,1,1,1,1,1,4,8,4,211,8,5,237
New Bern,NC,2,0,0,0,0,0,0,5,1,0,0,0,7,14,2,3,1,1,20,6,4,4,1,1,17
New Haven,CT,0,18,2,1,1,0,22,15,2,1,0,0,19,2,3,7,3,6,20,11,36,58,35,167,306
New Orleans,LA,21,20,3,5,1,0,29,0,0,2,1,1,3,56,24,39,19,30,168,65,40,56,42,102,305
New    York--Newark,CT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New    York--Newark,NJ,0,44,4,4,2,2,56,37,4,5,2,2,50,22,11,16,7,13,68,676,474,910,569,499,"3,129"
New    York--Newark,NY,2,26,12,9,4,2,53,21,15,25,20,15,95,7,5,13,12,20,57,207,275,844,532,670,"2,528"
North    Port--Port Charlotte,FL,4,5,1,0,0,0,6,0,0,0,0,0,0,16,3,2,0,0,21,42,10,24,4,0,80
Norwich--New London,CT,0,19,3,1,0,0,23,3,1,1,0,1,5,5,2,3,2,2,14,3,9,40,25,26,104
Norwich--New    London,RI,0,0,0,0,0,0,0,0,0,2,1,1,4,2,1,2,1,1,7,1,4,7,4,3,18
Ocala,FL,3,12,0,0,0,0,12,0,0,0,0,0,0,18,3,1,0,0,22,172,11,17,8,2,210
Odessa,TX,5,19,0,0,0,0,20,7,0,0,0,0,8,19,6,5,3,3,36,19,36,64,74,14,206
Ogden--Layton,UT,7,53,7,4,1,0,65,11,0,0,0,0,11,71,22,19,6,2,121,17,14,18,4,1,55
Oklahoma    City,OK,3,26,7,5,4,2,43,17,3,1,0,1,21,10,10,16,5,7,49,44,52,294,184,126,699
Olympia--Lacey,WA,0,16,1,0,0,0,17,6,1,0,0,0,7,4,4,2,1,1,11,16,31,49,18,8,123
Omaha,IA,9,8,4,3,1,0,15,0,0,0,0,0,0,1,2,3,3,5,14,0,2,0,0,2,4
Omaha,NE,46,22,4,3,1,0,30,34,8,4,5,5,56,12,13,35,27,40,127,165,93,82,119,8,466
Orlando,FL,7,9,1,0,0,0,10,38,2,1,0,0,41,25,7,6,2,2,42,401,79,63,49,76,669
Oshkosh,WI,0,2,4,1,0,0,7,0,0,0,0,0,0,1,1,3,1,2,8,6,6,5,10,16,43
Owensboro,KY,29,0,0,0,0,0,0,9,1,0,0,0,10,4,2,3,3,2,13,2,1,1,1,0,6
Oxnard,CA,0,0,0,0,0,0,0,6,1,6,1,0,14,7,3,7,5,4,25,23,8,14,11,23,78
Palm    Bay--Melbourne,FL,0,12,0,0,0,0,13,9,1,0,0,0,10,26,7,4,1,0,38,81,23,87,34,13,238
Palm    Coast--Daytona Beach--Port Orange,FL,12,23,1,0,0,0,24,0,0,0,0,0,0,33,7,3,0,0,43,68,12,55,50,11,197
Panama City,FL,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,1,0,0,17,90,7,6,4,0,107
Parkersburg,OH,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,6,4,2,1,0,0,7
Parkersburg,WV,6,1,0,0,0,0,1,0,0,0,0,0,0,12,7,7,2,1,29,4,2,13,4,7,29
Pascagoula,MS,0,2,0,0,0,0,2,0,0,0,0,0,0,19,2,1,1,0,24,10,5,7,4,1,27
Pensacola,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,5,4,0,0,0,0,5
Pensacola,FL,0,16,1,0,0,0,17,0,0,0,0,0,0,14,5,2,0,1,22,150,35,43,5,4,236
Peoria,IL,0,31,3,0,0,0,35,2,0,5,3,0,10,37,24,20,15,4,99,33,11,28,52,51,174
Petaluma,CA,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,1,1,1,3,0,11,3,1,0,16
Philadelphia,DE,1,12,3,1,0,0,17,4,1,0,0,0,5,10,3,3,1,2,19,26,17,23,20,17,103
Philadelphia,MD,0,4,0,0,0,0,5,2,0,0,0,0,2,11,1,1,1,1,15,19,8,8,2,1,39
Philadelphia,NJ,0,13,3,2,1,0,19,16,2,1,0,0,20,12,8,8,4,6,38,165,70,283,154,140,812
Philadelphia,PA,0,96,18,27,5,2,148,8,3,5,2,0,19,2,6,14,9,8,39,34,73,240,384,261,992
Phoenix--Mesa,AZ,217,63,5,1,0,0,68,144,16,10,1,0,171,87,56,68,29,23,262,122,151,271,119,69,732
Pine Bluff,AR,5,1,0,1,1,0,3,0,0,0,0,0,0,1,1,2,1,1,6,5,31,26,23,11,96
Pittsburgh,PA,0,149,21,16,4,0,189,15,9,4,1,0,29,9,4,4,2,1,21,183,146,204,203,202,938
Pittsfield,MA,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,3,1,1,19,7,1,94,0,0,102
Pocatello,ID,1,13,2,1,0,0,16,0,0,0,0,0,0,10,3,5,3,2,22,33,14,18,14,0,79
Port Arthur,TX,12,2,1,0,0,0,3,7,2,1,0,0,10,11,5,5,2,2,26,41,2,33,7,32,114
Porterville,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,8,5,6,7,1,8,28
Port Huron,MI,1,9,1,0,0,0,11,1,0,0,0,0,2,8,6,6,2,1,23,98,4,37,1,7,147
Portland,ME,0,26,1,1,0,0,28,5,0,1,0,0,7,7,7,7,5,3,29,14,10,24,17,14,80
Portland,OR,1,54,7,2,1,0,66,23,1,1,1,0,27,63,43,61,35,41,243,787,358,124,55,12,"1,336"
Portland,WA,1,16,3,2,0,0,21,25,3,2,1,0,32,8,6,6,3,5,28,16,18,38,29,55,155
Port St.    Lucie,FL,1,13,0,0,0,0,13,17,0,0,0,0,18,11,11,9,2,1,33,170,25,103,10,13,321
Portsmouth,ME,0,2,0,0,0,0,2,0,0,0,0,0,1,1,0,1,1,0,2,4,2,3,1,1,11
Portsmouth,NH,0,11,0,0,0,0,12,13,1,1,0,0,15,4,3,3,1,1,12,2,25,95,1,1,124
Pottstown,PA,0,0,0,0,0,0,0,0,1,0,0,0,1,3,4,3,1,1,13,10,7,10,5,2,34
Poughkeepsie--Newburgh,NY,0,36,2,2,1,1,40,24,3,4,2,0,33,15,9,12,5,2,43,53,53,93,39,20,258
Prescott    Valley--Prescott,AZ,23,0,0,0,0,0,0,7,0,0,0,0,7,14,3,1,0,0,19,7,2,1,0,0,10
Providence,MA,0,4,0,0,0,0,4,2,1,0,0,0,3,1,4,5,3,1,15,8,11,298,13,17,346
Providence,RI,0,41,4,2,1,0,50,25,9,7,2,1,43,9,8,28,20,18,83,17,27,96,91,101,332
Provo--Orem,UT,9,32,6,1,0,0,39,0,0,0,0,0,0,55,20,15,6,2,98,9,3,4,1,0,18
Pueblo,CO,0,11,1,1,0,0,13,11,3,3,1,0,18,1,2,2,2,1,7,11,5,59,18,62,156
Racine,WI,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,3,4,17,4,3,7,8,34,57
Raleigh,NC,5,61,12,5,1,0,78,36,4,4,0,1,44,99,30,23,7,9,168,156,141,115,38,17,466
Rapid City,SD,0,19,3,2,1,0,24,8,3,1,0,0,12,7,4,5,3,1,20,12,14,15,17,15,72
Reading,PA,0,5,1,1,0,0,8,4,2,3,1,1,12,2,4,4,2,2,14,2,17,27,25,34,105
Redding,CA,0,12,0,0,0,0,12,10,2,1,1,0,14,1,1,1,0,0,3,20,0,0,0,77,97
Reno,NV,0,10,4,3,0,0,17,11,1,1,0,0,13,11,3,3,3,2,21,51,25,68,30,22,197
Richmond,VA,9,103,41,32,8,1,186,24,11,13,4,2,54,85,61,93,40,20,298,32,83,203,128,91,536
Riverside--San    Bernardino,CA,0,15,3,3,0,0,22,11,5,5,2,1,24,2,4,6,4,5,20,65,193,174,84,187,704
Roanoke,VA,4,32,5,2,0,0,39,3,0,0,0,0,3,25,12,15,6,3,61,23,23,41,17,3,107
Rochester,MN,2,0,0,0,0,0,0,4,4,2,0,0,10,7,4,3,1,0,16,12,17,17,7,17,71
Rochester,NY,0,23,5,3,1,0,32,19,6,4,1,0,30,10,8,7,2,1,27,185,106,69,41,24,425
Rockford,IL,0,20,8,3,0,0,31,10,2,0,0,0,12,42,22,22,46,15,148,3,23,71,38,37,172
Rock Hill,SC,0,5,0,0,0,0,6,0,1,2,2,0,4,2,7,3,1,0,13,4,11,11,22,9,56
Rocky Mount,NC,1,3,0,0,0,0,4,12,0,0,0,0,13,17,5,6,3,4,35,31,9,16,7,5,68
Rome,GA,0,0,0,0,0,0,0,0,0,0,0,0,0,40,5,3,2,2,52,19,2,2,0,0,24
Round Lake    Beach--McHenry--Grayslake,WI,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0
Sacramento,CA,0,8,1,1,0,0,10,18,2,1,1,0,22,2,1,4,2,4,14,27,40,190,49,107,414
Saginaw,MI,0,5,3,7,1,0,15,0,0,0,0,0,0,3,3,6,7,5,24,54,0,38,0,78,169
St.    Augustine,FL,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,1,0,0,13,13,11,15,5,3,47
St. Cloud,MN,1,5,0,0,0,0,5,0,0,0,0,0,0,29,3,2,0,1,35,15,20,24,15,13,87
St. George,UT,10,13,1,0,0,0,14,9,1,0,0,0,10,0,1,2,0,0,3,5,6,0,0,0,11
St. Joseph,KS,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,3,1,2,2,0,8
St. Joseph,MO,1,8,1,1,0,0,10,1,0,1,0,0,3,9,3,2,1,1,16,4,5,10,9,13,41
St. Louis,IL,0,60,0,21,0,0,81,14,6,2,0,0,22,111,69,53,7,6,247,49,33,153,69,19,323
St. Louis,MO,5,49,5,3,1,0,58,26,6,4,1,0,37,13,6,11,6,4,41,75,63,131,80,112,460
Salem,OR,0,12,2,0,0,0,15,10,1,0,0,0,11,17,13,13,7,8,58,142,32,49,13,8,244
Salinas,CA,0,0,0,0,0,0,0,5,3,2,0,0,10,4,2,2,1,1,9,16,4,7,2,1,30
Salisbury,DE,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,4,2,0,1,1,0,3
Salisbury,MD,1,0,0,0,0,0,0,6,0,0,0,0,7,12,0,1,0,1,15,8,10,11,3,5,37
Salt Lake    City--West Valley City,UT,40,29,16,16,3,0,65,0,0,0,0,0,0,82,34,42,14,7,179,62,4,1,3,2,72
San Angelo,TX,2,0,0,0,0,0,0,6,2,2,1,0,11,13,2,1,1,0,18,7,0,6,54,26,93
San Antonio,TX,2,39,4,2,0,0,45,18,8,5,1,0,31,14,8,11,5,8,45,183,135,682,264,321,"1,585"
San Diego,CA,0,17,1,0,0,0,18,9,4,4,1,0,18,2,4,5,5,7,22,34,5,126,180,437,783
San    Francisco--Oakland,CA,0,2,1,1,0,0,5,6,3,4,1,2,16,1,2,4,5,11,22,56,33,162,187,410,848
San Jose,CA,0,5,1,1,0,0,7,8,5,4,1,0,18,7,3,5,4,6,24,0,0,66,26,281,373
San Luis    Obispo,CA,0,0,0,0,0,0,0,3,0,0,0,0,3,1,0,2,1,0,5,0,1,6,11,10,27
San Marcos,TX,2,6,0,1,0,0,7,0,0,0,0,0,0,5,2,1,1,1,10,5,16,26,7,12,66
Santa    Barbara,CA,0,0,0,0,0,0,0,12,2,1,0,0,15,3,3,5,2,3,16,1,14,13,5,32,64
Santa    Clarita,CA,0,3,2,3,1,0,8,4,0,0,0,0,5,3,3,1,1,1,9,1,5,4,16,11,37
Santa Cruz,CA,0,0,0,0,0,0,0,5,2,0,0,0,7,0,1,1,1,2,5,4,22,17,14,16,73
Santa Fe,NM,4,7,0,0,0,0,8,0,0,0,0,0,0,9,2,1,0,0,12,6,10,31,5,11,64
Santa Maria,CA,0,0,0,0,0,0,0,7,0,0,0,0,7,5,1,1,1,0,8,24,8,11,11,8,62
Santa Rosa,CA,0,0,0,0,0,0,0,10,4,2,0,0,16,6,2,3,2,3,16,0,16,21,19,61,117
Sarasota--Bradenton,FL,0,11,0,0,0,0,12,0,0,0,0,0,0,21,6,3,1,0,31,48,24,129,33,16,250
Saratoga    Springs,NY,1,14,4,1,0,0,19,0,1,0,0,0,2,3,1,2,2,2,9,5,7,10,4,0,26
Savannah,GA,0,40,5,3,1,0,49,0,1,2,0,0,3,45,11,11,5,7,80,12,5,9,4,2,33
Scranton,PA,0,40,10,7,2,2,60,4,1,1,1,0,7,4,3,7,5,3,21,15,31,43,48,70,207
Seaside--Monterey,CA,0,0,0,0,0,0,0,2,2,1,0,0,6,2,1,4,2,3,12,1,2,16,14,3,36
Seattle,WA,4,78,13,12,7,3,113,88,22,14,3,3,131,64,56,61,30,37,248,65,80,378,276,286,"1,085"
