"State, institutional control, and institution",All R&D expenditures,Unnamed: 2,Environmental sciences,Unnamed: 4,Life sciences,Unnamed: 6,Math and computer sciences,Unnamed: 8,Physical sciences,Unnamed: 10,Psychology,Unnamed: 12,Social sciences,Unnamed: 14,"Sciences, nec",Unnamed: 16,Engineering,Unnamed: 18,All non-S&E fields,Unnamed: 20
"U. Massachusetts, Boston",62374,,4463,,9362,,2760,,2147,,3255,,7323,,562,,433,,32069,
"U. Massachusetts, central office",5056,,431,,85,,0,,0,,0,,0,,1,,0,,4539,
"U. Massachusetts, Dartmouth",26776,,10225,,2093,,1305,,1918,,358,,536,,302,,7138,,2901,
"U. Massachusetts, Lowell",70384,,472,,14770,,4489,,15085,,1337,,5069,,12,,16201,,12949,
"U. Massachusetts, Medical School",250338,,0,,250338,,0,,0,,0,,0,,0,,0,,0,
Private,3044790,,241228,,1109928,,139530,,275640,,43288,,171149,,151877,,713946,,198204,
Amherst C.,4412,,129,,752,,229,,1509,,104,,678,,0,,0,,1011,
Boston C.,47761,,6161,,7091,,1071,,8297,,2873,,630,,0,,0,,21638,
Boston U.,388336,,7419,,251829,,8564,,33547,,13607,,3661,,1629,,52011,,16069,
Brandeis U.,74700,,0,i,30606,i,3069,i,9043,i,3100,i,22872,i,0,i,0,i,6010,i
Clark U.,7050,,2165,,866,,0,,656,,1430,,1222,,18,,0,,693,
Emerson C.,1291,,0,,441,,0,,0,,0,,14,,0,,0,,836,
Franklin W. Olin C. of Engineering,2136,,0,,0,,0,,0,,0,,0,,0,,2136,,0,
Harvard U.,1013753,,31544,,533231,,16161,,72929,,6772,,97165,,123658,,73786,,58507,
Massachusetts Institute of Technology,930719,,59351,,129161,,85558,,119516,,1307,,24159,,23463,,416402,,71802,
MGH Institute of Health Professions,3931,,0,,3931,,0,,0,,0,,0,,0,,0,,0,
Mount Holyoke C.,3826,,389,,1088,,314,,1408,,184,,182,,0,,0,,261,
New England C. of Optometry,1077,,0,,1077,,0,,0,,0,,0,,0,,0,,0,
Northeastern U.,122915,,3203,,34162,,10717,,17510,,4487,,6322,,73,,39190,,7251,
Smith C.,5268,,100,,2065,,773,,623,,457,,117,,21,,850,,262,
Suffolk U.,1305,,0,,47,,38,,66,,59,,336,,0,,79,,680,
Tufts U.,168314,,160,,110856,,5747,,6504,,8651,,11152,,0,,19440,,5804,
Wellesley C.,9595,,42,,1206,,534,,516,,1,,339,,3015,,0,,3942,
Williams C.,5679,,250,,692,,749,,1424,,256,,1090,,0,,0,,1218,
Woods Hole Oceanographic Institution,216592,,130315,,0,,0,,0,,0,,0,,0,,86277,,0,
Worcester Polytechnic Institute,36130,,0,,827,,6006,,2092,,0,,1210,,0,,23775,,2220,
Michigan,2334546,,38614,,1259594,,56223,,215152,,38581,,197712,,15712,,381168,,131790,
Public,2280084,,38545,,1215900,,55412,,212303,,38452,,197483,,15712,,376468,,129809,
Central Michigan U.,12880,,432,,5990,,252,,1998,,257,,162,,0,,634,,3155,
Eastern Michigan U.,1761,,202,,361,,64,,171,,241,,308,,0,,162,,252,
Grand Valley State U.,7453,,3085,,1053,,122,,445,,66,,1978,,376,,88,,240,
Lake Superior State U.,1170,,155,,814,,3,,15,,0,,0,,0,,135,,48,
Michigan State U.,558248,,2685,,259653,,20482,,132049,,9947,,39171,,11615,,44392,,38254,
Michigan Technological U.,69607,,15554,,2617,,3448,,3103,,831,,1959,,196,,38427,,3472,
Oakland U.,17108,,0,,4918,,579,,2487,,187,,88,,0,,6756,,2093,
Saginaw Valley State U.,1220,,254,,97,,8,,32,,30,,53,,20,,344,,382,
"U. Michigan, Ann Arbor",1369278,,14609,,779922,,25434,,52449,,21989,,149805,,1627,,254505,,68938,
"U. Michigan, Dearborn",7802,,0,,133,,14,,140,,63,,117,,74,,6638,,623,
Wayne State U.,213878,,587,,157211,,4261,,17181,,4457,,3486,,1804,,18843,,6048,
Western Michigan U. and Homer Stryker M.D. School of Medicine,19679,,982,,3131,,745,,2233,,384,,356,,0,,5544,,6304,
Private,54462,,69,,43694,,811,,2849,,129,,229,,0,,4700,,1981,
Calvin C.,2945,i,55,i,1401,i,492,i,423,i,2,i,90,i,0,i,65,i,417,i
Hope C.,2932,,14,,419,,39,,1996,,57,,112,,0,,295,,0,
Kettering U.,3673,,0,,44,,80,,104,,0,,0,,0,,2457,,988,
Lawrence Technological U.,2528,,0,,0,,65,,161,,0,,0,,0,,1736,,566,
U. Detroit Mercy,1882,,0,,1328,,135,,165,,70,,27,,0,,147,,10,
Van Andel Institute,40502,,0,,40502,i,0,,0,,0,,0,,0,,0,,0,
Minnesota,928999,,37476,,584933,,31627,,45957,,26149,,37131,,1879,,117364,,46483,
Public,915877,,37096,,583646,,30514,,42677,,25810,,36511,,1812,,117364,,40447,
"Minnesota State U., Mankato",2294,,509,,32,,74,,25,,178,,64,,167,,583,,662,
St. Cloud State U.,4192,,236,,487,,58,,627,,4,,269,,415,,52,,2044,
"U. Minnesota, Duluth",27550,,21246,,1346,,499,,1513,,8,,233,,3,,2110,,592,
"U. Minnesota, Morris",1223,,98,,204,,51,,15,,81,,227,,0,,0,,547,
"U. Minnesota, Twin Cities",880618,,15007,,581577,,29832,,40497,,25539,,35718,,1227,,114619,,36602,
Private,13122,,380,,1287,,1113,,3280,,339,,620,,67,,0,,6036,
Augsburg C.,1193,,0,,80,,0,,590,,10,,0,,67,,0,,446,
C. of Saint Benedict,1179,,10,,131,,122,,197,,75,,127,,0,,0,,517,
Carleton C.,6746,,134,,459,,388,,1611,,87,,39,,0,,0,,4028,
Macalester C.,1286,,184,,242,,160,,338,,33,,139,,0,,0,,190,
"Saint John's U., Collegeville",1372,,9,,121,,95,,163,,70,,287,,0,,0,,627,
St. Olaf C.,1346,,43,,254,,348,,381,,64,,28,,0,,0,,228,
Mississippi,408232,,32137,,200386,,14109,,34743,,2092,,32037,,13012,,52867,,26849,
Public,405543,,32137,,198518,,14109,,34743,,2092,,32037,,13012,,52867,,26028,
Alcorn State U.,9396,,6,,6005,,311,,0,,0,,3074,,0,,0,,0,
Jackson State U.,23908,,1732,,2861,,2015,,7213,,0,,752,,4591,,2999,,1745,
Mississippi State U.,226359,,4250,,115291,,10836,,7635,,1235,,25207,,8203,,44160,,9542,
U. Mississippi,94040,,8186,,64625,,502,,9033,,388,,1297,,0,,5676,,4333,
U. Southern Mississippi,51840,,17963,,9736,,445,,10862,,469,,1707,,218,,32,,10408,
Private,2689,,0,,1868,,0,,0,,0,,0,,0,,0,,821,
Tougaloo C.,2689,,0,,1868,,0,,0,,0,,0,,0,,0,,821,
Missouri,1074115,,13872,,865987,,13758,,28937,,11926,,15710,,3380,,92789,,27756,
Public,331018,,6669,,209855,,8769,,13934,,5188,,14612,,415,,63032,,8544,
"Lincoln U., Jefferson City",6296,,1450,,4161,,98,,9,,0,,163,,415,,0,,0,
Missouri State U.,3540,,15,,2695,,49,,413,,0,,121,,0,,223,,24,
Missouri U. of Science and Technology,35842,,3426,,248,,2088,,3472,,4,,26,,0,,25880,,698,
"U. Missouri, Columbia",246684,,1422,,181701,,4678,,6364,,1884,,11827,,0,,35554,,3254,
"U. Missouri, Kansas City",26595,,356,,17390,,1658,,1923,,1287,,647,,0,,836,,2498,
"U. Missouri, Saint Louis",12061,,0,,3660,,198,,1753,,2013,,1828,,0,,539,,2070,
Private,743097,,7203,,656132,,4989,,15003,,6738,,1098,,2965,,29757,,19212,
A. T. Still U.,4571,,0,,2904,,0,,0,,0,,0,,0,,0,,1667,
Saint Louis U.,44457,,1137,,35570,,270,,754,,590,,36,,0,,2474,,3626,
"Washington U., Saint Louis",694069,,6066,,617658,,4719,,14249,,6148,,1062,,2965,,27283,,13919,
Montana,181680,,19356,,83343,,2073,,19102,,1274,,6791,,15618,,23973,,10150,
Public,180494,,18369,,83227,,2073,,19102,,1274,,6708,,15618,,23973,,10150,
"Montana State U., Bozeman",108414,,10073,,41460,,1349,,15638,,685,,2184,,7145,,19933,,9947,
Montana Tech of U. Montana,11595,,6867,,427,,0,,261,,0,,0,,0,,4040,,0,
"U. Montana, Missoula",60485,,1429,,41340,,724,,3203,,589,,4524,,8473,,0,,203,
Private,1186,,987,,116,,0,,0,,0,,83,,0,,0,,0,
Salish Kootenai C.,1186,,987,,116,,0,,0,,0,,83,,0,,0,,0,
Nebraska,463654,,3735,,304790,,16699,,27666,,12495,,15044,,10561,,43767,,28897,
Public,439355,,3735,,286061,,15750,,25563,,12495,,14123,,10561,,43767,,27300,
"U. Nebraska, Kearney",1496,,0,,546,,64,,498,,17,,52,,39,,0,,280,
"U. Nebraska, Lincoln",284438,,3703,,140320,,13124,,24804,,12287,,13066,,10522,,42326,,24286,
"U. Nebraska, Medical Center",143999,,0,,143999,,0,,0,,0,,0,,0,,0,,0,
"U. Nebraska, Omaha",9422,,32,,1196,,2562,,261,,191,,1005,,0,,1441,,2734,
Private,24299,,0,,18729,,949,,2103,,0,,921,,0,,0,,1597,
Creighton U.,23825,,0,i,18611,i,949,i,1747,i,0,i,921,i,0,i,0,i,1597,i
Doane C.,474,,0,,118,,0,,356,,0,,0,,0,,0,,0,
Nevada,157528,,32831,,58992,,4094,,13096,,2323,,3354,,4082,,29541,,9215,
Public,154241,,32831,,55705,,4094,,13096,,2323,,3354,,4082,,29541,,9215,
Desert Research Institute,22103,,15047,,577,,970,,4,,0,,104,,3871,,1504,,26,
"U. Nevada, Las Vegas",42000,,4254,,9951,,1182,,6745,,957,,2510,,0,,13965,,2436,
"U. Nevada, Reno",90138,,13530,,45177,,1942,,6347,,1366,,740,,211,,14072,,6753,
Private,3287,,0,,3287,,0,,0,,0,,0,,0,,0,,0,
Roseman U. of Health Sciences,3287,,0,,3287,,0,,0,,0,,0,,0,,0,,0,
New Hampshire,358154,,57437,,193900,,7191,,11228,,3528,,8969,,4388,,50216,,21297,
Public,148508,,54465,,39169,,1728,,2324,,332,,6914,,3105,,25160,,15311,
Keene State C.,966,,59,,818,,0,,12,,0,,0,,0,,77,,0,
Plymouth State U.,2807,,810,,450,,0,,0,,0,,271,,0,,0,,1276,
U. New Hampshire,144735,,53596,,37901,,1728,,2312,,332,,6643,,3105,,25083,,14035,
Private,209646,,2972,,154731,,5463,,8904,,3196,,2055,,1283,,25056,,5986,
Dartmouth C.,209646,,2972,,154731,,5463,,8904,,3196,,2055,,1283,,25056,,5986,
New Jersey,1106186,,73514,,429409,,59422,,123775,,33083,,70980,,24065,,234374,,57564,
Public,783469,,45405,,386688,,37736,,53785,,15305,,46175,,23569,,133048,,41758,
Kean U.,1064,,187,,127,,218,,0,,0,,461,,71,,0,,0,
Montclair State U.,4274,,693,,1352,,405,,593,,303,,87,,0,,0,,841,
New Jersey Institute of Technology,110512,,165,,3026,,10291,,7571,,0,,61,,15894,,59378,,14126,
Rowan U.,8044,,117,,4996,,115,,508,,221,,0,,6,,1958,,123,
"Rutgers, State U. New Jersey, Camden",5123,,0,,1482,,294,,97,,158,,1978,,431,,0,,683,
"Rutgers, State U. New Jersey, New Brunswick",628613,,41681,,366179,,25466,,43460,,13319,,38668,,6919,,71565,,21356,
"Rutgers, State U. New Jersey, Newark",24387,,1439,,9438,,947,,1518,,1304,,4872,,248,,147,,4474,
Stockton U.,1452,,1123,,88,,0,,38,,0,,48,,0,,0,,155,
Private,322717,,28109,,42721,,21686,,69990,,17778,,24805,,496,,101326,,15806,
Princeton U.,279851,,24049,,41457,,19328,,69410,,17778,,24524,,159,,75674,,7472,
Rider U.,1726,,188,,276,,29,,77,,0,,184,,0,,0,,972,
Seton Hall U.,7058,,0,,736,,0,,0,,0,,0,,0,,0,,6322,
Stevens Institute of Technology,34082,,3872,,252,,2329,,503,,0,,97,,337,,25652,,1040,
New Mexico,390913,,15820,,180413,,7762,,27568,,8469,,10480,,13994,,113037,,13370,
Public,390913,,15820,,180413,,7762,,27568,,8469,,10480,,13994,,113037,,13370,
New Mexico Institute of Mining and Technology,26265,,8492,,323,,204,,2261,,0,,973,,0,,13969,,43,
New Mexico State U.,132377,,1800,,38212,,2066,,16454,,115,,106,,3713,,64534,,5377,
U. New Mexico,232271,,5528,,141878,,5492,,8853,,8354,,9401,,10281,,34534,,7950,
New York,5700230,,201326,,3653773,,167480,,309614,,111575,,138861,,30599,,836634,,250368,
Public,1345402,,51671,,537530,,55757,,84709,,40609,,38930,,24829,,463650,,47717,
"CUNY, Advanced Science Research Center",569,,0,,270,,0,,37,,0,,0,,150,,112,,0,
"CUNY, Baruch C.",2451,,41,,36,,82,,229,,198,,640,,153,,0,,1072,
"CUNY, Brooklyn C.",9091,,572,,1751,,336,,1744,,2040,,663,,1447,,0,,538,
"CUNY, C. Staten Island",3060,,3,,607,,252,,658,,78,,79,,0,,230,,1153,
"CUNY, City C.",53223,,1599,,9841,,2165,,9361,,920,,184,,0,,27835,,1318,
"CUNY, Graduate Center",6175,,15,,603,,218,,0,,362,,2946,,0,,0,,2031,
"CUNY, Hunter C.",36368,,1205,,13586,,585,,5585,,10997,,1525,,0,,0,,2885,
"CUNY, John Jay C. of Criminal Justice",8689,,0,,260,,405,,24,,2086,,740,,0,,0,,5174,
"CUNY, Lehman C.",3130,,12,,843,,169,,657,,0,,932,,0,,0,,517,
"CUNY, Medgar Evers C.",970,,0,,673,,49,,211,,0,,1,,0,,3,,33,
"CUNY, Queens C.",19092,,754,,10353,,1197,,1804,,1515,,640,,2069,,0,,760,
"CUNY, system office",1782,,1,,6,,821,,0,,0,,0,,0,,0,,954,
"CUNY, York C.",716,,0,,47,,39,,216,,0,,0,,13,,0,,401,
"SUNY, Binghamton U.",79895,,1208,,6333,,7273,,11994,,10113,,11227,,0,,22219,,9528,
"SUNY, Buffalo State",2366,,1354,,418,,0,,37,,27,,498,,21,,0,,11,
"SUNY, C. Brockport",1367,,37,,1207,,4,,46,,14,,18,,3,,0,,38,
"SUNY, C. of Environmental Science and Forestry",22051,,1053,,18536,,138,,411,,0,,922,,0,,976,,15,
"SUNY, C. of Optometry",3906,,0,,3906,,0,,0,,0,,0,,0,,0,,0,
"SUNY, C. Plattsburgh",1135,,531,,107,,0,,448,,1,,0,,0,,0,,48,
"SUNY, Downstate Medical Center",28652,,0,,28652,,0,,0,,0,,0,,0,,0,,0,
"SUNY, Farmingdale State C.",1102,,0,,134,,0,,0,,0,,66,,0,,308,,594,
"SUNY, Geneseo",1314,,186,,128,,41,,639,,65,,103,,0,,0,,152,
"SUNY, Polytechnic Institute",295313,,0,,3658,,992,,0,,0,,0,,0,,290663,,0,
"SUNY, Stony Brook U.",220580,,30826,,88608,,17837,,31984,,5288,,1665,,20159,,23118,,1095,
"SUNY, U. Albany",111705,,9391,,75668,,7744,,4531,,2593,,10357,,0,,0,,1421,
"SUNY, U. Buffalo",382935,,2883,,238676,,13963,,13614,,4138,,4556,,814,,88489,,15802,
"SUNY, Upstate Medical U.",32453,,0,,32453,,0,,0,,0,,0,,0,,0,,0,
U.S. Military Academy,15312,,0,,170,,1447,,479,,174,,1168,,0,,9697,,2177,
Private,4354828,,149655,,3116243,,111723,,224905,,70966,,99931,,5770,,372984,,202651,
Albany C. of Pharmacy and Health Sciences,2533,,0,,2506,,11,,3,,0,,0,,0,,0,,13,
Albany Medical C.,18043,,0,,18043,,0,,0,,0,,0,,0,,0,,0,
Alfred U.,5193,,0,,9,,0,,19,,0,,0,,0,,5036,,129,
Barnard C.,2916,,86,,496,,161,,824,,960,,35,,0,,0,,354,
Clarkson U.,13406,,0,,789,,970,,1390,,30,,76,,0,,9939,,212,
Cold Spring Harbor Laboratory,84653,,0,,84653,,0,,0,,0,,0,,0,,0,,0,
Colgate U.,2721,,336,,597,,195,,640,,172,,304,,0,,0,,477,
Columbia U. in the City of New York,868159,,112052,,573063,,26074,,46022,,4192,,8844,,0,,55763,,42149,
"Columbia U., Teachers C.",23269,,0,,3317,,459,,0,,3668,,14915,,0,,0,,910,
Cornell U.,954412,,24990,,631729,,22674,,105562,,13717,,41127,,2139,,104481,,7993,
Fordham U.,20939,,0,,2026,,513,,135,,2814,,864,,0,,0,,14587,
Hamilton C.,2291,,80,,65,,48,,220,,86,,128,,0,,0,,1664,
Hobart and William Smith Colleges,946,,217,,50,,0,,240,,4,,0,,143,,0,,292,
Hofstra U.,2585,,63,,360,,45,,38,,15,,88,,0,,1430,,546,
Icahn School of Medicine at Mt. Sinai,508353,,0,,508353,,0,,0,,0,,0,,0,,0,,0,
Ithaca C.,972,,29,,225,,73,,480,,4,,25,,0,,0,,136,
Marist C.,448,,0,,0,,340,,5,,0,,0,,0,,0,,103,
"Memorial Sloan Kettering Cancer Center, Louis V. Gerstner Jr. Graduate S. of Biomedical Sciences",3089,,0,,3089,,0,,0,,0,,0,,0,,0,,0,
New School,8978,,0,,0,,318,,0,,2200,,1966,,561,,209,,3724,
New York Institute of Technology,4169,,0,,2636,,162,,0,,0,,0,,0,,709,,662,
New York Medical C.,17653,,0,,17653,,0,,0,,0,,0,,0,,0,,0,
New York U.,602041,,904,,407733,,24668,,15295,,26030,,20193,,0,,10248,,96970,
Niagara U.,1828,,0,,68,,19,,121,,6,,244,,0,,0,,1370,
Pace U.,4647,,841,,912,,474,,386,,0,,0,,0,,823,,1211,
Rensselaer Polytechnic Institute,102841,,2205,,5598,,12146,,9688,,2380,,565,,0,,69540,,719,
Rochester Institute of Technology,40442,,2155,,348,,4575,,11153,,9,,1970,,0,,15820,,4412,
Rockefeller U.,323932,,803,,304586,,9094,,9449,,0,,0,,0,,0,,0,
Siena C.,1623,,63,,193,,100,,620,,7,,55,,440,,0,,145,
Skidmore C.,1772,,256,,862,,32,,240,,100,,130,,0,,0,,152,
"St. John's U., Manhattan",2558,,0,,959,,56,,913,,289,,8,,0,,0,,333,
Syracuse U.,69896,,2224,,6956,,4782,,10311,,2135,,8020,,312,,14644,,20512,
U. Rochester,346932,,1941,,231100,,3310,,10618,,11993,,30,,2174,,83755,,2011,
"Union C., Schenectady",1560,,319,,125,,64,,198,,149,,140,,0,,436,,129,
Vassar C.,2854,,91,i,970,i,360,i,335,i,6,i,204,i,1,i,151,i,736,i
Yeshiva U.,306174,,0,,306174,,0,,0,,0,,0,,0,,0,,0,
North Carolina,2815343,,81106,,2016479,,91324,,84408,,66245,,134162,,14095,,257238,,70286,
Public,1600330,,63253,,991219,,72951,,62349,,56865,,107483,,14095,,171616,,60499,
Appalachian State U.,3878,,769,,1708,,183,,434,,258,,64,,91,,0,,371,
East Carolina U.,26549,,1778,,22368,,45,,436,,550,,532,,0,,539,,301,
Elizabeth City State U.,2277,,205,,12,,873,,746,,0,,1,,0,,0,,440,
Fayetteville State U.,13746,,300,,862,,325,,298,,0,,143,,36,,128,,11654,
North Carolina Agricultural and Technical State U.,35172,,392,,17509,,2706,,503,,29,,278,,466,,12631,,658,
North Carolina Central U.,12448,,226,,6308,,0,,3932,,5,,500,,0,,0,,1477,
North Carolina State U.,468293,,24908,,208852,,35535,,20955,,3398,,12745,,12666,,143288,,5946,
"U. North Carolina, Asheville",2384,,561,,136,,5,,868,,170,,301,,0,,5,,338,
"U. North Carolina, Chapel Hill",966781,,28972,,716708,,25242,,27727,,46707,,88667,,215,,5014,,27529,
"U. North Carolina, Charlotte",24870,,213,,2503,,5809,,3413,,155,,2047,,0,,7696,,3034,
"U. North Carolina, general administration",4197,,20,,508,,1607,,68,,0,,7,,62,,1925,,0,
"U. North Carolina, Greensboro",23026,,0,,6726,,286,,2492,,5345,,1824,,0,,0,,6353,
"U. North Carolina, Wilmington",15564,,4551,,6273,,327,,477,,248,,357,,559,,374,,2398,
Western Carolina U.,1145,,358,,746,,8,,0,,0,,17,,0,,16,,0,
Private,1215013,,17853,,1025260,,18373,,22059,,9380,,26679,,0,,85622,,9787,
Davidson C.,2377,,20,,942,,76,,157,,598,,512,,0,,0,,72,
Duke U.,1036698,,17810,,855980,,17819,,18093,,8239,,25672,,0,,85580,,7505,
Elon U.,2608,,23,,195,,141,,237,,84,,332,,0,,42,,1554,
Shaw U.,1404,i,0,i,594,i,91,i,268,i,53,i,130,i,0,i,0,i,268,i
Wake Forest U.,171926,,0,,167549,,246,,3304,,406,,33,,0,,0,,388,
North Dakota,217926,,9204,,113352,,4954,,12281,,3639,,16995,,5870,,46229,,5402,
Public,217926,,9204,,113352,,4954,,12281,,3639,,16995,,5870,,46229,,5402,
North Dakota State U.,153542,,705,,95345,,4726,,10951,,3590,,16906,,4033,,12678,,4608,
U. North Dakota,64384,,8499,,18007,,228,,1330,,49,,89,,1837,,33551,,794,
Ohio,2152826,,23292,,1288231,,50686,,124658,,22163,,45834,,24829,,437622,,135511,
Public,1648801,,20810,,946300,,46942,,112483,,19840,,43327,,23149,,306978,,128972,
Air Force Institute of Technology,26866,,112,,0,,7659,,5764,,0,,0,,0,,12788,,543,
Bowling Green State U.,7995,,147,,805,,156,,3232,,301,,1622,,0,,0,,1732,
Central State U.,1508,,176,,69,,12,,39,,0,,421,,700,,91,,0,
Cleveland State U.,57662,,0,i,42101,i,344,i,923,i,231,i,2571,i,0,i,10513,i,979,i
Kent State U.,38069,,616,,5416,,2435,,8974,,2447,,4829,,227,,973,,12152,
Miami U.,16108,,1212,,4279,,654,,3004,,1463,,1979,,631,,1682,,1204,
Northeast Ohio Medical U.,17103,,0,,16825,,0,,0,,0,,128,,150,,0,,0,
Ohio State U.,817881,,10700,,473752,,27981,,41311,,7224,,20138,,19916,,144216,,72643,
Ohio U.,61078,,2470,i,14334,i,191,i,9644,i,2780,i,1494,i,22,i,26851,i,3292,i
U. Akron,58512,,609,,3120,,722,,17406,,1353,,984,,0,,29895,,4423,
U. Cincinnati,436028,,1320,,347134,,1788,,6775,,2505,,8604,,1178,,39108,,27616,
U. Toledo,52354,,2715,,21320,,57,,10467,,18,,494,,0,,13320,,3963,
Wright State U.,54289,,681,,17002,,4939,,2865,,1413,,46,,325,,26610,,408,
Youngstown State U.,3348,,52,,143,,4,,2079,,105,,17,,0,,931,,17,
Private,504025,,2482,,341931,,3744,,12175,,2323,,2507,,1680,,130644,,6539,
C. Wooster,1275,i,146,i,305,i,119,i,394,i,62,i,66,i,0,i,0,i,183,i
Case Western Reserve U.,401527,,893,,340040,,949,,9583,,2117,,2225,,876,,43484,,1360,
Heidelberg U.,1109,,1096,,9,,0,,2,,0,,0,,0,,0,,2,
Oberlin C.,1932,,241,,766,,153,,532,,71,,38,,0,,0,,131,
U. Dayton,98182,,106,,811,,2523,,1664,,73,,178,,804,,87160,,4863,
Oklahoma,419602,,47676,,212631,,10131,,22689,,6480,,23512,,4138,,65223,,27122,
Public,394536,,47481,,212081,,6798,,21672,,5656,,23118,,4138,,47401,,26191,
East Central U.,655,,0,,120,,74,,0,,0,,0,,0,,52,,409,
Langston U.,8126,,0,,7963,,0,,163,,0,,0,,0,,0,,0,
"Oklahoma State U., Center for Health Sciences",1625,,0,,1624,,0,,0,,0,,0,,0,,1,,0,
"Oklahoma State U., Stillwater",129968,,5673,,72605,,4592,,8636,,3905,,7543,,4138,,19515,,3361,
U. Central Oklahoma,7691,,0,,541,,145,,17,,0,,2,,0,,914,,6072,
"U. Oklahoma, Norman and Health Science Center",242367,,41808,,127529,,1987,,12856,,1733,,15493,,0,,26162,,14799,
"U. Oklahoma, Tulsa",4104,,0,,1699,,0,,0,,18,,80,,0,,757,,1550,
Private,25066,,195,,550,,3333,,1017,,824,,394,,0,,17822,,931,
U. Tulsa,25066,,195,,550,,3333,,1017,,824,,394,,0,,17822,,931,
Oregon,719881,,62292,,456483,,17280,,20713,,16458,,16502,,25561,,64450,,40142,
Public,707858,,61677,,451899,,16249,,19294,,15383,,15998,,25561,,64450,,37347,
Oregon Health and Science U.,326915,,7629,,296468,,0,,0,,2901,,0,,7207,,11063,,1647,
Oregon Institute of Technology,2056,,150,,0,,0,,0,,0,,9,,0,,629,,1268,
Oregon State U.,245317,,43631,,122704,,9284,,2968,,49,,5019,,16109,,43110,,2443,
Portland State U.,53872,,6580,,2335,,2224,,3403,,2256,,8523,,2245,,8789,,17517,
U. Oregon,79698,,3687,,30392,,4741,,12923,,10177,,2447,,0,,859,,14472,
Private,12023,,615,,4584,,1031,,1419,,1075,,504,,0,,0,,2795,
Lewis and Clark C.,3873,,498,,930,,307,,710,,35,,0,,0,,0,,1393,
Pacific U.,2016,,28,,539,,9,,51,,341,,10,,0,,0,,1038,
Reed C.,3050,,0,,1456,,165,,424,,677,,328,,0,,0,,0,
U. Western States,1077,,0,,1077,,0,,0,,0,,0,,0,,0,,0,
Willamette U.,2007,,89,,582,,550,,234,,22,,166,,0,,0,,364,
Pennsylvania,3356723,,80061,,2052160,,220489,,154182,,90836,,85536,,22544,,543487,,107428,
Public,1891829,,71146,,1144877,,83222,,92248,,53699,,46808,,11983,,342392,,45454,
"Pennsylvania State U., Behrend",3737,,1653,,75,,171,,151,,31,,61,,0,,1472,,123,
"Pennsylvania State U., Harrisburg",3379,,1,,3,,481,,6,,74,,2047,,0,,767,,0,
"Pennsylvania State U., University Park and Hershey Medical Center",791031,,54902,,241215,,67824,,51598,,24406,,37747,,0,,296692,,16647,
Temple U.,227468,,828,,169010,,4830,,12886,,11985,,2910,,1554,,6368,,17097,
"U. Pittsburgh, Pittsburgh",861205,,13683,,733926,,9725,,27229,,16920,,3336,,10421,,37093,,8872,
West Chester U. Pennsylvania,5009,,79,,648,,191,,378,,283,,707,,8,,0,,2715,
Private,1464894,,8915,,907283,,137267,,61934,,37137,,38728,,10561,,201095,,61974,
Bryn Mawr C.,11692,,510,,1042,,1307,,1129,,909,,1472,,0,,0,,5323,
Bucknell U.,4140,,212,,829,,93,,878,,146,,81,,141,,1410,,350,
Carnegie Mellon U.,242004,,348,,11212,,109026,,14162,,7757,,6791,,3479,,89054,,175,
Commonwealth Medical C.,2171,,0,,2171,,0,,0,,0,,0,,0,,0,,0,
Dickinson C.,1492,,171,,144,,7,,242,,15,,154,,27,,0,,732,
Drexel U.,128027,,4337,,70139,,6110,,2327,,4157,,705,,204,,34387,,5661,
Duquesne U.,16159,,187,,8411,,368,,3959,,19,,115,,0,,708,,2392,
Franklin and Marshall C.,3888,,309,,1111,,9,,515,,38,,898,,1,,164,,843,
Haverford C.,2633,,61,i,776,i,55,i,1195,i,37,i,141,i,1,i,0,i,367,i
La Salle U.,1079,,0,,82,,102,,95,,93,,61,,62,,0,,584,
Lafayette C.,1693,,75,,121,,227,,196,,0,,4,,161,,417,,492,
Lehigh U.,36788,,1163,,2091,,1477,,5290,,509,,1111,,0,,22052,,3095,
Mercyhurst U.,1987,,32,,212,,0,,30,,0,,354,,3,,0,,1356,
Philadelphia C. of Osteopathic Medicine,2561,,0,,2519,,0,,0,,42,,0,,0,,0,,0,
Saint Joseph's U.,2093,,3,,244,,6,,257,,52,,88,,0,,0,,1443,
Salus U.,1257,,0,,1257,,0,,0,,0,,0,,0,,0,,0,
Swarthmore C.,2943,,0,,474,,126,,457,,239,,178,,197,,544,,728,
Thomas Jefferson U.,119631,,0,,119631,,0,,0,,0,,0,,0,,0,,0,
U. of the Sciences Philadelphia,4076,,0,,2824,,0,,503,,0,,39,,0,,0,,710,
U. Pennsylvania,864068,,1359,,680065,,17045,,29134,,22774,,25956,,6285,,46031,,35419,
Villanova U.,14512,,148,,1928,,1309,,1565,,350,,580,,0,,6328,,2304,
Rhode Island,453291,,47871,,158353,,39866,,31932,,11248,,29898,,15375,,42413,,76335,
Public,106561,,40356,,22142,,463,,5803,,2105,,4639,,6138,,5889,,19026,
Naval War C.,2653,,0,,0,,0,,0,,0,,0,,0,,0,,2653,
Rhode Island C.,10080,,0,,780,,0,,80,,533,,3,,0,,0,,8684,
U. Rhode Island,93828,,40356,,21362,,463,,5723,,1572,,4636,,6138,,5889,,7689,
Private,346730,,7515,,136211,,39403,,26129,,9143,,25259,,9237,,36524,,57309,
