"State, institutional control, and institution",Total,Federally financed,All R&D expenditures passed through,Unnamed: 4,To educational subrecipients,Unnamed: 6,To business,Unnamed: 8,To nonprofit organizations,Unnamed: 10,To other subrecipients,Unnamed: 12,All R&D expenditures passed through.1,Unnamed: 14,To educational subrecipients.1,Unnamed: 16,To business.1,Unnamed: 18,To nonprofit organizations.1,Unnamed: 20,To other subrecipients.1,Unnamed: 22
U. Northern Iowa,524.0,,456.0,,0.0,,0.0,,68.0,,437.0,,437.0,,0.0,,0.0,,0.0,,,
Private,,,,,,,,,,,,,,,,,,,,,,
Grinnell C.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
"Palmer C. of Chiropractic, Davenport",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Kansas,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
Kansas State U.,10401.0,,6940.0,,726.0,,566.0,,2169.0,,9870.0,,6546.0,,701.0,,564.0,,2059.0,,,
Pittsburg State U.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
U. Kansas,29220.0,,20367.0,,4013.0,,4425.0,,415.0,,24593.0,,16845.0,,2995.0,,4355.0,,398.0,,,
Wichita State U.,1115.0,,732.0,,0.0,,25.0,,358.0,,998.0,,640.0,,0.0,,0.0,,358.0,,,
Kentucky,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
Eastern Kentucky U.,40.0,,40.0,,0.0,,0.0,,0.0,,40.0,,40.0,,0.0,,0.0,,0.0,,,
Kentucky State U.,7.0,,7.0,,0.0,,0.0,,0.0,,7.0,,7.0,,0.0,,0.0,,0.0,,,
Morehead State U.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Murray State U.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Northern Kentucky U.,50.0,,50.0,,0.0,,0.0,,0.0,,50.0,,50.0,,0.0,,0.0,,0.0,,,
U. Kentucky,10790.0,,6795.0,,2166.0,,1629.0,,200.0,,8594.0,,5821.0,,1719.0,,879.0,,175.0,,,
U. Louisville,8598.0,,5935.0,i,1315.0,i,826.0,i,522.0,i,7934.0,,5603.0,i,1169.0,i,722.0,i,440.0,i,,
Western Kentucky U.,445.0,,445.0,,0.0,,0.0,,0.0,,360.0,,360.0,,0.0,,0.0,,0.0,,,
Louisiana,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
Grambling State U.,232.0,,0.0,,0.0,,232.0,,0.0,,232.0,,0.0,,0.0,,232.0,,0.0,,,
"Louisiana State U., Baton Rouge",11700.0,,10674.0,,436.0,,336.0,,254.0,,9651.0,,9059.0,,53.0,,285.0,,254.0,,,
"Louisiana State U., Health Sciences Center – New Orleans",6218.0,,3424.0,,103.0,,1949.0,,742.0,,6116.0,,3373.0,,96.0,,1905.0,,742.0,,,
"Louisiana State U., Health Sciences Center - Shreveport",70.0,,15.0,,55.0,,0.0,,0.0,,70.0,,15.0,,55.0,,0.0,,0.0,,,
Louisiana Tech U.,705.0,,389.0,,181.0,,135.0,,0.0,,662.0,,346.0,,181.0,,135.0,,0.0,,,
McNeese State U.,1.0,,1.0,,0.0,,0.0,,0.0,,1.0,,1.0,,0.0,,0.0,,0.0,,,
Nicholls State U.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Southeastern Louisiana U.,135.0,,44.0,,69.0,,22.0,,0.0,,135.0,,44.0,,69.0,,22.0,,0.0,,,
"Southern U. and A&M C., Agricultural Research and Extension Center",500.0,,500.0,,0.0,,0.0,,0.0,,500.0,,500.0,,0.0,,0.0,,0.0,,,
"Southern U. and A&M C., Baton Rouge",376.0,,218.0,,108.0,,30.0,,20.0,,376.0,,218.0,,108.0,,30.0,,20.0,,,
"U. Louisiana, Lafayette",862.0,,507.0,,337.0,,0.0,,18.0,,646.0,,309.0,,337.0,,0.0,,0.0,,,
"U. Louisiana, Monroe",83.0,,75.0,,8.0,,0.0,,0.0,,83.0,,75.0,,8.0,,0.0,,0.0,,,
U. New Orleans,2719.0,,844.0,,132.0,,840.0,,903.0,,2164.0,,395.0,,26.0,,840.0,,903.0,,,
Private,,,,,,,,,,,,,,,,,,,,,,
Dillard U.,744.0,,726.0,,0.0,,0.0,,18.0,,744.0,,726.0,,0.0,,0.0,,18.0,,,
Tulane U.,12708.0,,8056.0,,1921.0,,525.0,,2206.0,,8595.0,,4614.0,,1857.0,,91.0,,2033.0,,,
Xavier U. Louisiana,651.0,,421.0,,0.0,,230.0,,0.0,,421.0,,421.0,,0.0,,0.0,,0.0,,,
Maine,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
Maine Maritime Academy,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
U. Maine,5319.0,,2948.0,,1400.0,,967.0,,4.0,,5044.0,,2886.0,,1400.0,,754.0,,4.0,,,
U. Southern Maine,911.0,i,0.0,i,21.0,i,337.0,i,553.0,i,0.0,i,0.0,i,0.0,i,0.0,i,0.0,i,,
Private,,,,,,,,,,,,,,,,,,,,,,
Bates C.,4.0,,4.0,,0.0,,0.0,,0.0,,4.0,,4.0,,0.0,,0.0,,0.0,,,
Bowdoin C.,384.0,,307.0,,77.0,,0.0,,0.0,,384.0,,307.0,,77.0,,0.0,,0.0,,,
Colby C.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
U. New England,195.0,,0.0,,49.0,,146.0,,0.0,,146.0,,0.0,,0.0,,146.0,,0.0,,,
Maryland,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
Bowie State U.,135.0,,135.0,,0.0,,0.0,,0.0,,135.0,,135.0,,0.0,,0.0,,0.0,,,
Morgan State U.,298.0,,298.0,,0.0,,0.0,,0.0,,298.0,,298.0,,0.0,,0.0,,0.0,,,
Salisbury U.,96.0,,11.0,,0.0,,85.0,,0.0,,11.0,,11.0,,0.0,,0.0,,0.0,,,
Towson U.,325.0,,300.0,,25.0,,0.0,,0.0,,325.0,,300.0,,25.0,,0.0,,0.0,,,
U. Baltimore,146.0,,80.0,,0.0,,66.0,,0.0,,146.0,,80.0,,0.0,,66.0,,0.0,,,
"U. Maryland, Center for Environmental Science",3241.0,,2220.0,,21.0,,810.0,,190.0,,2464.0,,1788.0,,21.0,,465.0,,190.0,,,
"U. Maryland, Baltimore",43368.0,,34694.0,,3785.0,i,2660.0,i,2229.0,i,34095.0,,27276.0,,3000.0,i,2116.0,i,1703.0,i,,
"U. Maryland, Baltimore County",4908.0,,3784.0,,876.0,,167.0,,81.0,,4851.0,,3732.0,,871.0,,167.0,,81.0,,,
"U. Maryland, College Park",54102.0,,33979.0,,10276.0,,2096.0,,7751.0,,51649.0,,32983.0,,9356.0,,1865.0,,7445.0,,,
"U. Maryland, Eastern Shore",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
U.S. Naval Academy,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Uniformed Services U. of the Health Sciences,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Private,,,,,,,,,,,,,,,,,,,,,,
Johns Hopkins U.a,144842.0,,81479.0,i,14543.0,i,30023.0,i,18797.0,i,116129.0,,69029.0,i,10720.0,i,22233.0,i,14147.0,i,,
Massachusetts,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
"U. Massachusetts, Amherst",13723.0,,8260.0,,2794.0,,922.0,,1747.0,,11611.0,,7738.0,,1493.0,,859.0,,1521.0,,,
"U. Massachusetts, Boston",4987.0,,1866.0,,430.0,,1961.0,,730.0,,3763.0,,1653.0,,375.0,,1102.0,,633.0,,,
"U. Massachusetts, central office",221.0,,120.0,,101.0,,0.0,,0.0,,120.0,,120.0,,0.0,,0.0,,0.0,,,
"U. Massachusetts, Dartmouth",654.0,,290.0,,203.0,,17.0,,144.0,,503.0,,290.0,,152.0,,0.0,,61.0,,,
"U. Massachusetts, Lowell",4197.0,,3285.0,,134.0,,686.0,,92.0,,4164.0,,3266.0,,134.0,,673.0,,91.0,,,
"U. Massachusetts, Medical School",38941.0,,8900.0,,1771.0,,6279.0,,21991.0,,37630.0,,8751.0,,1599.0,,5545.0,,21735.0,,,
Private,,,,,,,,,,,,,,,,,,,,,,
Amherst C.,6.0,,6.0,,0.0,,0.0,,0.0,,6.0,,6.0,,0.0,,0.0,,0.0,,,
Boston C.,3535.0,,1592.0,,264.0,,1514.0,,165.0,,2511.0,,1299.0,,146.0,,1016.0,,50.0,,,
Boston U.,35661.0,,17069.0,,3721.0,,14293.0,,578.0,,34237.0,,16807.0,,3721.0,,13131.0,,578.0,,,
Brandeis U.,3743.0,,1921.0,,475.0,,1025.0,,322.0,,3637.0,,1921.0,,431.0,,963.0,,322.0,,,
Clark U.,414.0,,45.0,,0.0,,369.0,,0.0,,231.0,,45.0,,0.0,,186.0,,0.0,,,
Emerson C.,169.0,,169.0,,0.0,,0.0,,0.0,,169.0,,169.0,,0.0,,0.0,,0.0,,,
Franklin W. Olin C. of Engineering,63.0,,63.0,,0.0,,0.0,,0.0,,63.0,,63.0,,0.0,,0.0,,0.0,,,
Harvard U.,118798.0,,36720.0,,6612.0,,25283.0,,50183.0,,105517.0,,34076.0,,6025.0,,20584.0,,44832.0,,,
Massachusetts Institute of Technology,67534.0,,33603.0,,6477.0,,3858.0,,23596.0,,54955.0,,30716.0,,5246.0,,3140.0,,15853.0,,,
MGH Institute of Health Professions,400.0,,400.0,,0.0,,0.0,,0.0,,400.0,,400.0,,0.0,,0.0,,0.0,,,
Mount Holyoke C.,749.0,,749.0,,0.0,,0.0,,0.0,,749.0,,749.0,,0.0,,0.0,,0.0,,,
New England C. of Optometry,22.0,,22.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Northeastern U.,14035.0,,9303.0,,1419.0,,2620.0,,693.0,,13062.0,,9233.0,,1243.0,,2037.0,,549.0,,,
Smith C.,218.0,,218.0,,0.0,,0.0,,0.0,,218.0,,218.0,,0.0,,0.0,,0.0,,,
Suffolk U.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Tufts U.,16258.0,,8796.0,,1217.0,,5708.0,,537.0,,15407.0,,8617.0,,855.0,,5398.0,,537.0,,,
Wellesley C.,116.0,,109.0,,0.0,,0.0,,7.0,,116.0,,109.0,,0.0,,0.0,,7.0,,,
Williams C.,312.0,,312.0,,0.0,,0.0,,0.0,,108.0,,108.0,,0.0,,0.0,,0.0,,,
Woods Hole Oceanographic Institution,21137.0,,12890.0,,5677.0,,1486.0,,1084.0,,19687.0,,12266.0,,4939.0,,1398.0,,1084.0,,,
Worcester Polytechnic Institute,10046.0,,4767.0,,4240.0,,4.0,,1035.0,,9961.0,,4767.0,,4240.0,,4.0,,950.0,,,
Michigan,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
Central Michigan U.,1648.0,,1198.0,,0.0,,45.0,,405.0,,1648.0,,1198.0,,0.0,,45.0,,405.0,,,
Eastern Michigan U.,254.0,,214.0,,34.0,,6.0,,0.0,,254.0,,214.0,,34.0,,6.0,,0.0,,,
Grand Valley State U.,78.0,,49.0,,,,29.0,,,,78.0,,49.0,,0.0,,29.0,,0.0,,,
Lake Superior State U.,106.0,,106.0,,0.0,,0.0,,0.0,,106.0,,106.0,,0.0,,0.0,,0.0,,,
Michigan State U.,39768.0,,22330.0,,1632.0,,8661.0,,7145.0,,34567.0,,20891.0,,1423.0,,7780.0,,4473.0,,,
Michigan Technological U.,3644.0,,1782.0,,1350.0,,306.0,,206.0,,3049.0,,1777.0,,843.0,,295.0,,134.0,,,
Oakland U.,75.0,,44.0,,0.0,,31.0,,0.0,,75.0,,44.0,,0.0,,31.0,,0.0,,,
Saginaw Valley State U.,144.0,,0.0,,123.0,,21.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
"U. Michigan, Ann Arbor",114147.0,,62986.0,,11345.0,,34995.0,,4821.0,,102221.0,,57522.0,,7757.0,,32746.0,,4196.0,,,
"U. Michigan, Dearborn",110.0,,0.0,,110.0,,0.0,,0.0,,110.0,,0.0,,110.0,,0.0,,0.0,,,
Wayne State U.,10471.0,,5420.0,,1526.0,,3356.0,,169.0,,8836.0,,4284.0,,1455.0,,2931.0,,166.0,,,
Western Michigan U. and Homer Stryker M.D. School of Medicine,1579.0,,1218.0,,1.0,,151.0,,209.0,,1450.0,,1218.0,,1.0,,104.0,,127.0,,,
Private,,,,,,,,,,,,,,,,,,,,,,
Calvin C.,0.0,i,0.0,i,0.0,i,0.0,i,0.0,i,0.0,i,0.0,i,0.0,i,0.0,i,0.0,i,,
Hope C.,21.0,,21.0,,0.0,,0.0,,0.0,,21.0,,21.0,,0.0,,0.0,,0.0,,,
Kettering U.,75.0,,70.0,,0.0,,5.0,,0.0,,75.0,,70.0,,0.0,,5.0,,0.0,,,
Lawrence Technological U.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
U. Detroit Mercy,314.0,,314.0,,0.0,,0.0,,0.0,,314.0,,314.0,,0.0,,0.0,,0.0,,,
Van Andel Institute,1300.0,,1300.0,,0.0,,0.0,,0.0,,1274.0,,1274.0,,0.0,,0.0,,0.0,,,
Minnesota,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
"Minnesota State U., Mankato",289.0,i,159.0,i,56.0,i,39.0,i,35.0,i,254.0,i,143.0,i,48.0,i,34.0,i,29.0,i,,
St. Cloud State U.,73.0,,0.0,,0.0,,0.0,,73.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
"U. Minnesota, Duluth",813.0,,446.0,i,149.0,i,103.0,i,115.0,i,399.0,,227.0,i,75.0,i,53.0,i,44.0,i,,
"U. Minnesota, Morris",12.0,,0.0,i,0.0,i,0.0,i,12.0,i,12.0,,0.0,i,0.0,i,0.0,i,12.0,i,,
"U. Minnesota, Twin Cities",93354.0,,52654.0,i,17778.0,i,12501.0,i,10421.0,i,84018.0,,47819.0,i,15923.0,i,11239.0,i,9037.0,i,,
Private,,,,,,,,,,,,,,,,,,,,,,
Augsburg C.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
C. of Saint Benedict,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Carleton C.,361.0,,361.0,,0.0,,0.0,,0.0,,361.0,,361.0,,0.0,,0.0,,0.0,,,
Macalester C.,11.0,,5.0,,0.0,,6.0,,0.0,,11.0,,5.0,,0.0,,6.0,,0.0,,,
"Saint John's U., Collegeville",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
St. Olaf C.,12.0,,12.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Mississippi,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
Alcorn State U.,102.0,,102.0,,0.0,,0.0,,0.0,,102.0,,102.0,,0.0,,0.0,,0.0,,,
Jackson State U.,1453.0,,1061.0,,0.0,,40.0,,352.0,,1393.0,,1061.0,,0.0,,40.0,,292.0,,,
Mississippi State U.,14193.0,,10296.0,,2581.0,,1019.0,,297.0,,13407.0,,9592.0,,2502.0,,1019.0,,294.0,,,
U. Mississippi,11370.0,,8189.0,,424.0,,2267.0,,490.0,,6867.0,,4689.0,,424.0,,1264.0,,490.0,,,
U. Southern Mississippi,5019.0,,3746.0,,381.0,,127.0,,765.0,,4656.0,,3637.0,,306.0,,127.0,,586.0,,,
Private,,,,,,,,,,,,,,,,,,,,,,
Tougaloo C.,19.0,,19.0,,0.0,,0.0,,0.0,,19.0,,19.0,,0.0,,0.0,,0.0,,,
Missouri,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
"Lincoln U., Jefferson City",521.0,,498.0,,0.0,,0.0,,23.0,,521.0,,498.0,,0.0,,0.0,,23.0,,,
Missouri State U.,1452.0,,1452.0,,0.0,,0.0,,0.0,,1452.0,,1452.0,,0.0,,0.0,,0.0,,,
Missouri U. of Science and Technology,2710.0,,2343.0,,331.0,,2.0,,34.0,,2523.0,,2156.0,,331.0,,2.0,,34.0,,,
"U. Missouri, Columbia",9142.0,,6491.0,,1746.0,,697.0,,208.0,,8050.0,,5462.0,,1690.0,,691.0,,207.0,,,
"U. Missouri, Kansas City",1332.0,,882.0,,106.0,,322.0,,22.0,,977.0,,731.0,,69.0,,155.0,,22.0,,,
"U. Missouri, Saint Louis",355.0,,355.0,,0.0,,0.0,,0.0,,355.0,,355.0,,0.0,,0.0,,0.0,,,
Private,,,,,,,,,,,,,,,,,,,,,,
A. T. Still U.,87.0,,87.0,,0.0,,0.0,,0.0,,87.0,,87.0,,0.0,,0.0,,0.0,,,
Saint Louis U.,4214.0,,2517.0,,1337.0,,359.0,,1.0,,2376.0,,1321.0,,715.0,,340.0,,0.0,,,
"Washington U., Saint Louis",44405.0,,25989.0,,1102.0,,13503.0,,3811.0,,37959.0,,22227.0,,819.0,,11285.0,,3628.0,,,
Montana,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
"Montana State U., Bozeman",14933.0,,5598.0,,2240.0,,3361.0,,3734.0,,14687.0,,5477.0,,2210.0,,3316.0,,3684.0,,,
Montana Tech of U. Montana,237.0,,183.0,,0.0,,0.0,,54.0,,237.0,,183.0,,0.0,,0.0,,54.0,,,
"U. Montana, Missoula",1246.0,,509.0,,324.0,,131.0,,282.0,,1072.0,,492.0,,264.0,,49.0,,267.0,,,
Private,,,,,,,,,,,,,,,,,,,,,,
Salish Kootenai C.,26.0,,26.0,,0.0,,0.0,,0.0,,26.0,,26.0,,0.0,,0.0,,0.0,,,
Nebraska,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
"U. Nebraska, Kearney",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
"U. Nebraska, Lincoln",15352.0,,11828.0,,707.0,,1022.0,,1795.0,,13430.0,,10836.0,,330.0,,719.0,,1545.0,,,
"U. Nebraska, Medical Center",11399.0,,6407.0,,1205.0,,3518.0,,269.0,,9847.0,,6407.0,,1152.0,,2281.0,,7.0,,,
"U. Nebraska, Omaha",522.0,,495.0,,9.0,,0.0,,18.0,,522.0,,495.0,,9.0,,0.0,,18.0,,,
Private,,,,,,,,,,,,,,,,,,,,,,
Creighton U.,763.0,i,503.0,i,117.0,i,143.0,i,0.0,i,763.0,i,503.0,i,117.0,i,143.0,i,0.0,i,,
Doane C.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Nevada,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
Desert Research Institute,712.0,,124.0,,440.0,,55.0,,93.0,,646.0,,119.0,,379.0,,55.0,,93.0,,,
"U. Nevada, Las Vegas",6449.0,,4037.0,,2238.0,,15.0,,159.0,,6432.0,,4037.0,,2238.0,,0.0,,157.0,,,
"U. Nevada, Reno",6573.0,,3698.0,,1587.0,,291.0,,997.0,,6343.0,,3574.0,,1481.0,,291.0,,997.0,,,
Private,,,,,,,,,,,,,,,,,,,,,,
Roseman U. of Health Sciences,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
New Hampshire,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
Keene State C.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Plymouth State U.,231.0,,147.0,,0.0,,84.0,,0.0,,231.0,,147.0,,0.0,,84.0,,0.0,,,
U. New Hampshire,16679.0,,8091.0,,3144.0,,3664.0,,1780.0,,16369.0,,8002.0,,3144.0,,3664.0,,1559.0,,,
Private,,,,,,,,,,,,,,,,,,,,,,
Dartmouth C.,29278.0,,18516.0,,2413.0,,5555.0,,2794.0,,27981.0,,17915.0,,2034.0,,5289.0,,2743.0,,,
New Jersey,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
Kean U.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Montclair State U.,267.0,,264.0,,0.0,,3.0,,0.0,,264.0,,264.0,,0.0,,0.0,,0.0,,,
New Jersey Institute of Technology,17892.0,,3107.0,,8340.0,,3961.0,,2484.0,,17233.0,,2677.0,,8235.0,,3837.0,,2484.0,,,
Rowan U.,669.0,,452.0,,214.0,,3.0,,0.0,,506.0,,389.0,,114.0,,3.0,,0.0,,,
"Rutgers, State U. New Jersey, Camden",9.0,,0.0,,0.0,,9.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
"Rutgers, State U. New Jersey, New Brunswick",66898.0,,37248.0,,22351.0,,5219.0,,2080.0,,60552.0,,33608.0,,20387.0,,4621.0,,1936.0,,,
"Rutgers, State U. New Jersey, Newark",1660.0,,1554.0,,1.0,,105.0,,0.0,,1209.0,,1103.0,,1.0,,105.0,,0.0,,,
Stockton U.,17.0,,9.0,,8.0,,0.0,,0.0,,9.0,,9.0,,0.0,,0.0,,0.0,,,
Private,,,,,,,,,,,,,,,,,,,,,,
Princeton U.,25188.0,,20724.0,,768.0,,3405.0,,291.0,,23908.0,,20111.0,,729.0,,3068.0,,0.0,,,
Rider U.,25.0,,25.0,,0.0,,0.0,,0.0,,25.0,,25.0,,0.0,,0.0,,0.0,,,
Seton Hall U.,425.0,,425.0,,0.0,,0.0,,0.0,,425.0,,425.0,,0.0,,0.0,,0.0,,,
Stevens Institute of Technology,7138.0,,6468.0,,312.0,,76.0,,282.0,,6906.0,,6468.0,,312.0,,76.0,,50.0,,,
New Mexico,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
New Mexico Institute of Mining and Technology,10470.0,,980.0,,9295.0,,0.0,,195.0,,10470.0,,980.0,,9295.0,,0.0,,195.0,,,
New Mexico State U.,15535.0,,3220.0,,11455.0,,853.0,,7.0,,15054.0,,2827.0,,11374.0,,853.0,,0.0,,,
U. New Mexico,18320.0,,11466.0,,2914.0,,2947.0,,993.0,,18208.0,,11419.0,,2914.0,,2882.0,,993.0,,,
New York,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
"CUNY, Advanced Science Research Center",22.0,,22.0,,0.0,,0.0,,0.0,,22.0,,22.0,,0.0,,0.0,,0.0,,,
"CUNY, Baruch C.",121.0,,3.0,,0.0,,0.0,,118.0,,30.0,,0.0,,0.0,,0.0,,30.0,,,
"CUNY, Brooklyn C.",528.0,,270.0,,258.0,,0.0,,0.0,,528.0,,270.0,,258.0,,0.0,,0.0,,,
"CUNY, C. Staten Island",32.0,,0.0,,0.0,,0.0,,32.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
"CUNY, City C.",6736.0,,6700.0,,36.0,,0.0,,0.0,,6697.0,,6697.0,,0.0,,0.0,,0.0,,,
"CUNY, Graduate Center",533.0,,154.0,,0.0,,339.0,,40.0,,454.0,,127.0,,0.0,,287.0,,40.0,,,
"CUNY, Hunter C.",2001.0,,730.0,,18.0,,969.0,,284.0,,1759.0,,712.0,,0.0,,763.0,,284.0,,,
"CUNY, John Jay C. of Criminal Justice",1269.0,,504.0,,0.0,,765.0,,0.0,,607.0,,480.0,,0.0,,127.0,,0.0,,,
"CUNY, Lehman C.",374.0,,374.0,,0.0,,0.0,,0.0,,374.0,,374.0,,0.0,,0.0,,0.0,,,
"CUNY, Medgar Evers C.",12.0,,12.0,,0.0,,0.0,,0.0,,12.0,,12.0,,0.0,,0.0,,0.0,,,
"CUNY, Queens C.",2324.0,,791.0,,559.0,,974.0,,0.0,,2324.0,,791.0,,559.0,,974.0,,0.0,,,
"CUNY, system office",105.0,,0.0,,0.0,,105.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
"CUNY, York C.",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
"SUNY, Binghamton U.",2113.0,,1714.0,,49.0,,350.0,,0.0,,2097.0,,1698.0,,49.0,,350.0,,0.0,,,
"SUNY, Buffalo State",183.0,,51.0,,0.0,,0.0,,132.0,,30.0,,30.0,,0.0,,0.0,,0.0,,,
"SUNY, C. Brockport",4.0,,4.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
"SUNY, C. of Environmental Science and Forestry",464.0,,126.0,,63.0,,275.0,,0.0,,153.0,,26.0,,23.0,,104.0,,0.0,,,
"SUNY, C. of Optometry",8.0,,8.0,,0.0,,0.0,,0.0,,8.0,,8.0,,0.0,,0.0,,0.0,,,
"SUNY, C. Plattsburgh",170.0,,147.0,,23.0,,0.0,,0.0,,170.0,,147.0,,23.0,,0.0,,0.0,,,
"SUNY, Downstate Medical Center",6289.0,,5309.0,,0.0,,569.0,,411.0,,6017.0,,5232.0,,0.0,,478.0,,307.0,,,
"SUNY, Farmingdale State C.",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
"SUNY, Geneseo",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
"SUNY, Polytechnic Institute",3960.0,,3831.0,,129.0,,0.0,,0.0,,2638.0,,2541.0,,97.0,,0.0,,0.0,,,
"SUNY, Stony Brook U.",9293.0,,7014.0,,578.0,,1463.0,,238.0,,9065.0,,6907.0,,477.0,,1443.0,,238.0,,,
"SUNY, U. Albany",2411.0,,1131.0,,834.0,,49.0,,397.0,,2406.0,,1126.0,,834.0,,49.0,,397.0,,,
"SUNY, U. Buffalo",14923.0,,7339.0,,750.0,,6834.0,,0.0,,13456.0,,7123.0,,748.0,,5585.0,,0.0,,,
"SUNY, Upstate Medical U.",2288.0,,27.0,,0.0,,27.0,,2234.0,,1008.0,,27.0,,0.0,,0.0,,981.0,,,
U.S. Military Academy,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Private,,,,,,,,,,,,,,,,,,,,,,
Albany C. of Pharmacy and Health Sciences,109.0,,0.0,,109.0,,0.0,,0.0,,109.0,,0.0,,109.0,,0.0,,0.0,,,
Albany Medical C.,596.0,,551.0,,0.0,,45.0,,0.0,,496.0,,477.0,,0.0,,19.0,,0.0,,,
Alfred U.,100.0,,0.0,,0.0,,0.0,,100.0,,100.0,,0.0,,0.0,,0.0,,100.0,,,
Barnard C.,233.0,,198.0,,0.0,,35.0,,0.0,,198.0,,198.0,,0.0,,0.0,,0.0,,,
Clarkson U.,706.0,,146.0,,243.0,,317.0,,0.0,,525.0,,96.0,,121.0,,308.0,,0.0,,,
Cold Spring Harbor Laboratory,6074.0,i,3642.0,i,1187.0,i,1170.0,i,75.0,i,5546.0,i,3642.0,i,824.0,i,1017.0,i,63.0,i,,
