Rank,Institution,2012,Unnamed: 3,2013,Unnamed: 5,2014,Unnamed: 7,2015,All life sciences,Unnamed: 10,Agricultural sciences,Unnamed: 12,Biological sciences,Unnamed: 14,Medical sciences,Unnamed: 16,"Life sciences, nec",Unnamed: 18,shift
233.0,Fort Valley State U.,2669,,2911,,4034,,3908.0,,3908.0,,0.0,,0.0,,0.0,,,0
234.0,U. New England,2477,,3539,,3629,,3826.0,,0.0,,2294.0,,1470.0,,62.0,,,0
235.0,Tarleton State U.,4892,,3411,,3560,,3797.0,,3797.0,,0.0,,0.0,,0.0,,,0
236.0,MGH Institute of Health Professions,ne,,ne,,ne,,3766.0,,0.0,,1300.0,,2466.0,,0.0,,,0
237.0,"U. Texas Health Science Center, Tyler",ne,,ne,,ne,,3713.0,,0.0,,3713.0,,0.0,,0.0,,,0
238.0,Virginia State U.,4445,,4153,,3519,,3684.0,,3684.0,,0.0,,0.0,,0.0,,,0
239.0,Texas A&M U.-Kingsville,3171,,2890,,3042,,3570.0,,2735.0,,834.0,,1.0,,0.0,,,0
240.0,"U. Puerto Rico, Rio Piedras",8280,,5056,,5337,,3458.0,,4.0,,3144.0,,310.0,,0.0,,,0
241.0,"U. Arkansas, Pine Bluff",3856,,3842,,3180,,3402.0,,3250.0,,50.0,,0.0,,102.0,,,0
242.0,"Lincoln U., Jefferson City",4620,,3234,,3259,,3390.0,,2941.0,,415.0,,0.0,,34.0,,,0
243.0,Nova Southeastern U.,3240,,2675,,3230,,3298.0,,0.0,,0.0,,2609.0,,689.0,,,0
244.0,"U. Alabama, Tuscaloosa",3874,,3702,,3214,,3128.0,,0.0,,1912.0,,489.0,,727.0,,,0
245.0,St. Edward's U.,700,,760,,748,,3100.0,,0.0,,3100.0,,0.0,,0.0,,,0
246.0,"U. North Texas, Denton",3704,,3305,,2978,,3028.0,,0.0,,3028.0,,0.0,,0.0,,,0
247.0,Central Michigan U.,3197,,3786,,3934,,3015.0,,394.0,,2478.0,,124.0,,19.0,,,0
248.0,"U. Alaska, Anchorage",4343,,3423,,3215,,3012.0,,382.0,,1708.0,,475.0,,447.0,,,0
249.0,"California State U., San Marcos",2868,i,2870,,2432,,3009.0,,402.0,,1492.0,,0.0,,1115.0,,,0
250.0,Texas State U.,2138,,2185,,3153,,2999.0,,951.0,,1237.0,,189.0,,622.0,,,0
251.0,Old Dominion U.,5003,,4662,,3351,,2990.0,,0.0,,1160.0,,1821.0,,9.0,,,0
252.0,"California State U., Fullerton",4099,,4212,,3856,,2917.0,,0.0,,869.0,,0.0,,2048.0,,,0
253.0,Xavier U. Louisiana,2587,,2025,,2528,,2824.0,,0.0,,1126.0,,1698.0,,0.0,,,0
254.0,"U. Louisiana, Lafayette",7792,,5878,,4014,,2820.0,,0.0,,2820.0,,0.0,,0.0,,,0
255.0,Rowan U.,70,,0,,2655,,2815.0,,0.0,,941.0,,1874.0,,0.0,,,0
256.0,"Columbia U., Teachers C.",841,,1956,,2432,,2785.0,,0.0,,0.0,,0.0,,2785.0,,,0
257.0,Idaho State U.,3332,,2388,,2255,,2723.0,,0.0,,1688.0,,926.0,,109.0,,,0
258.0,Jackson State U.,2859,,2422,,3695,,2699.0,,0.0,,623.0,,2076.0,,0.0,,,0
259.0,"Texas Tech U., Health Sciences Center, El Paso",ne,,ne,,5316,,2689.0,,0.0,,1385.0,,1304.0,,0.0,,,0
260.0,"Arkansas State U., Jonesboro",3327,,2348,,2138,,2655.0,,487.0,,1858.0,,0.0,,310.0,,,0
261.0,"California Polytechnic State U., San Luis Obispo",1242,,991,,2390,,2590.0,,480.0,,130.0,,1980.0,,0.0,,,0
262.0,"U. California, Merced",2117,,2760,,2595,,2563.0,,0.0,,2500.0,,63.0,,0.0,,,0
263.0,Duquesne U.,2342,,1648,,1934,,2553.0,,0.0,,592.0,,1749.0,,212.0,,,0
264.0,Miami U.,6482,,3903,,3715,,2543.0,,7.0,,2220.0,,316.0,,0.0,,,0
265.0,"Southern U. and A&M C., Agricultural Research and Extension Center",5926,,3481,,3363,,2514.0,,2514.0,,0.0,,0.0,,0.0,,,0
266.0,"SUNY, C. of Optometry",3162,,2757,,2567,,2490.0,,0.0,,0.0,,2490.0,,0.0,,,0
267.0,"California State U., Monterey Bay",3480,,2721,,2525,,2456.0,,162.0,,2294.0,,0.0,,0.0,,,0
268.0,"U. Maryland, Baltimore County",4784,,5047,,3453,,2448.0,,0.0,,2448.0,,0.0,,0.0,,,0
269.0,A. T. Still U.,117,i,210,i,302,,2442.0,,0.0,,0.0,,2442.0,,0.0,,,0
270.0,Catholic U. of America,1823,,1701,,1728,,2440.0,,0.0,,2205.0,,235.0,,0.0,,,0
271.0,Missouri State U.,2421,,2017,,2231,,2418.0,,2173.0,,55.0,,190.0,,0.0,,,0
272.0,U. Southern Maine,3388,,3323,,3178,i,2365.0,i,0.0,i,790.0,i,1408.0,i,167.0,i,,0
273.0,"California State U., Long Beach",4137,i,3940,,2981,,2319.0,,0.0,,766.0,,0.0,,1553.0,,,0
274.0,Alabama State U.,13607,,1927,,2236,,2303.0,,0.0,,2303.0,,0.0,,0.0,,,0
275.0,"U. North Carolina, Wilmington",4018,,4330,,2309,,2208.0,,370.0,,1482.0,,144.0,,212.0,,,0
276.0,Ohio U.,4940,,4531,,3041,,2206.0,,0.0,,1273.0,,867.0,,66.0,,,0
277.0,"SUNY, Polytechnic Institute",na,,na,,2199,,2185.0,,0.0,,2185.0,,0.0,,0.0,,,0
278.0,C. Charleston,1849,,1699,,1411,,2128.0,,0.0,,2128.0,,0.0,,0.0,,,0
279.0,Rensselaer Polytechnic Institute,2029,,2046,,2346,,2101.0,,0.0,,2101.0,,0.0,,0.0,,,0
280.0,Florida Institute of Technology,1352,,1215,,1628,,2066.0,,0.0,,2066.0,,0.0,,0.0,,,0
281.0,Western Michigan U. and Homer Stryker M.D. School of Medicine,1967,,1493,,1733,,2013.0,,0.0,,1084.0,,0.0,,929.0,,,0
282.0,Mercer U.,2255,,1950,,1783,,1964.0,,0.0,,0.0,,1532.0,,432.0,,,0
283.0,"California State U., Fresno",2447,,1596,,1981,,1960.0,,663.0,,1066.0,,0.0,,231.0,,,0
284.0,Georgia Southern U.,784,,1121,,2049,,1934.0,,10.0,,416.0,,1422.0,,86.0,,,0
285.0,Kent State U.,2398,,2182,,2050,,1906.0,,0.0,,1756.0,,40.0,,110.0,,,0
286.0,Portland State U.,2373,,2116,,1795,,1884.0,,0.0,,1827.0,,0.0,,57.0,,,0
287.0,Tougaloo C.,1865,,1857,,1894,,1868.0,,0.0,,732.0,,1136.0,,0.0,,,0
288.0,"U. North Carolina, Charlotte",2052,,2180,,2112,,1847.0,,0.0,,1258.0,,0.0,,589.0,,,0
289.0,Oakland U.,1859,,1191,,1633,,1785.0,,0.0,,969.0,,0.0,,816.0,,,0
290.0,U. Texas Pan American,1177,,1260,,1751,,1765.0,,0.0,,1741.0,,0.0,,24.0,,,0
291.0,C. of William and Mary and Virginia Institute of Marine Science,1837,,2090,,1307,,1754.0,,324.0,,1430.0,,0.0,,0.0,,,0
292.0,Morgan State U.,1262,,1320,,1230,,1647.0,,99.0,,652.0,,8.0,,888.0,,,0
293.0,"U. Missouri, Saint Louis",3270,,2169,,2164,,1569.0,,0.0,,1102.0,,347.0,,120.0,,,0
294.0,"Palmer C. of Chiropractic, Davenport",2906,,1991,,1775,i,1558.0,,0.0,,0.0,,0.0,,1558.0,,,0
295.0,Wesleyan U.,1739,,1371,,1535,,1475.0,,0.0,,1475.0,,0.0,,0.0,,,0
296.0,Texas Southern U.,2118,,1934,,669,,1440.0,,0.0,,1440.0,,0.0,,0.0,,,0
297.0,Illinois State U.,1296,,1540,,1253,,1420.0,,14.0,,1406.0,,0.0,,0.0,,,0
298.0,U. of the District of Columbia,1857,,1341,,849,,1411.0,,860.0,,551.0,,0.0,,0.0,,,0
299.0,"Rutgers, State U. New Jersey, Camden",501,,1007,,1264,,1400.0,,0.0,,1400.0,,0.0,,0.0,,,0
300.0,Texas A&M U.-Corpus Christi,799,,1003,,607,,1380.0,,77.0,,1209.0,,94.0,,0.0,,,0
301.0,Humboldt State U.,2660,,1817,,1739,,1376.0,,967.0,,155.0,,0.0,,254.0,,,0
302.0,"CUNY, Brooklyn C.",1779,,1837,,1156,,1375.0,,0.0,,1375.0,,0.0,,0.0,,,0
303.0,Bowdoin C.,1099,,1499,,1411,,1374.0,,0.0,,1047.0,,327.0,,0.0,,,0
304.0,"U. Texas, Brownsville",2037,,1476,,1853,,1362.0,,0.0,,412.0,,533.0,,417.0,,,0
305.0,"U. Louisiana, Monroe",1198,,975,,1691,,1341.0,,0.0,,174.0,,1167.0,,0.0,,,0
306.0,American Samoa Community C.,ne,,ne,,ne,,1337.0,,945.0,,0.0,,0.0,,392.0,,,0
307.0,"California State U., Northridge",2342,,1170,,1468,,1333.0,,0.0,,1312.0,,0.0,,21.0,,,0
308.0,"Touro U., Vallejo",1390,,1351,,1374,,1332.0,,0.0,,114.0,,1218.0,,0.0,,,0
309.0,New York Institute of Technology,878,,1210,,1780,,1330.0,,0.0,,0.0,,1184.0,,146.0,,,0
310.0,Hampton U.,1558,,752,,828,,1323.0,,0.0,,394.0,,929.0,,0.0,,,0
311.0,Bates C.,338,,315,,310,,1300.0,,0.0,,1300.0,,0.0,,0.0,,,0
312.0,"California State U., San Bernardino",603,,296,,1292,,1207.0,,581.0,,360.0,,0.0,,266.0,,,0
313.0,Salus U.,1086,,1032,,1044,,1198.0,,0.0,,1198.0,,0.0,,0.0,,,0
313.0,Wellesley C.,787,,1267,,1569,,1198.0,,0.0,,1198.0,,0.0,,0.0,,,0
315.0,Ball State U.,1396,,463,,1020,,1171.0,,2.0,,501.0,,142.0,,526.0,,,0
316.0,U. Wisconsin-Stevens Point,701,,325,,315,i,1114.0,i,92.0,i,342.0,i,608.0,i,72.0,i,,0
317.0,Smith C.,1054,,1117,,901,,1101.0,,0.0,,1101.0,,0.0,,0.0,,,0
318.0,Western U. of Health Sciences,1268,,1130,,1368,,1099.0,,79.0,,713.0,,307.0,,0.0,,,0
319.0,"U. Arkansas, Little Rock",1867,,1065,,1377,,1075.0,,0.0,,682.0,,261.0,,132.0,,,0
320.0,Albany C. of Pharmacy and Health Sciences,1182,,1329,,1379,,1065.0,,0.0,,895.0,,170.0,,0.0,,,0
321.0,Southern Connecticut State U.,0,i,0,,12,,1061.0,i,0.0,i,355.0,i,631.0,i,75.0,i,,0
321.0,Southern Methodist U.,967,,830,,805,,1061.0,,0.0,,1061.0,,0.0,,0.0,,,0
323.0,Lehigh U.,844,,1339,,1304,,1043.0,,0.0,,1043.0,,0.0,,0.0,,,0
324.0,Saint Michael's C.,ne,,863,,906,,989.0,,0.0,,989.0,,0.0,,0.0,,,0
325.0,Northern Illinois U.,4033,,4318,,1526,,979.0,,0.0,,484.0,,351.0,,144.0,,,0
326.0,Western Kentucky U.,1080,,753,,808,,970.0,,220.0,,659.0,,91.0,,0.0,,,0
327.0,New Jersey Institute of Technology,92,,364,,517,,959.0,,0.0,,959.0,,0.0,,0.0,,,0
328.0,"U. Puerto Rico, Mayaguez",1100,,729,,753,,954.0,,215.0,,739.0,,0.0,,0.0,,,0
329.0,"California State U., Los Angeles",1581,,1617,,1301,,939.0,,0.0,,805.0,,0.0,,134.0,,,0
330.0,Keck Graduate Institute,1671,,1227,,1267,,937.0,,0.0,,937.0,,0.0,,0.0,,,0
331.0,Norwich U.,549,,586,,420,,928.0,,0.0,,928.0,,0.0,,0.0,,,0
332.0,Baylor U.,484,,912,,1103,,893.0,,0.0,,486.0,,350.0,,57.0,,,0
333.0,"U. Texas, Arlington",2922,,2230,,1521,,891.0,,0.0,,554.0,,6.0,,331.0,,,0
334.0,Villanova U.,1139,i,823,,1034,,872.0,,0.0,,795.0,,0.0,,77.0,,,0
335.0,Reed C.,350,,319,,386,,867.0,,0.0,,860.0,,0.0,,7.0,,,0
336.0,Michigan Technological U.,936,,654,,940,,866.0,,0.0,,735.0,,0.0,,131.0,,,0
337.0,Fayetteville State U.,807,,657,,862,,862.0,,0.0,,92.0,,146.0,,624.0,,,0
338.0,Stephen F. Austin State U.,793,,861,,1025,,861.0,,844.0,,17.0,,0.0,,0.0,,,0
339.0,"U. Minnesota, Duluth",1521,,1224,,962,,851.0,,0.0,,851.0,,0.0,,0.0,,,0
340.0,Florida Gulf Coast U.,572,,574,,593,,843.0,,0.0,,843.0,,0.0,,0.0,,,0
341.0,Fisk U.,0,,663,i,900,,830.0,i,0.0,i,830.0,i,0.0,i,0.0,i,,0
342.0,U. Akron,1121,,869,,789,,826.0,,0.0,,797.0,,0.0,,29.0,,,0
343.0,Keene State C.,438,i,318,,343,,818.0,,0.0,,178.0,,0.0,,640.0,,,0
344.0,Milwaukee School of Engineering,626,,685,,867,,817.0,,0.0,,0.0,,0.0,,817.0,,,0
345.0,"CUNY, Lehman C.",1079,,615,,501,,787.0,,0.0,,152.0,,317.0,,318.0,,,0
346.0,Providence C.,ne,,650,,ne,,782.0,,0.0,,782.0,,0.0,,0.0,,,0
347.0,Davidson C.,166,,412,,520,,773.0,,0.0,,773.0,,0.0,,0.0,,,0
348.0,Eastern Kentucky U.,1704,,1317,,919,,766.0,,0.0,,766.0,,0.0,,0.0,,,0
349.0,San Jose State U.,505,,807,,771,,765.0,,0.0,,763.0,,0.0,,2.0,,,0
350.0,American U.,99,,1595,,589,,758.0,,0.0,,687.0,,0.0,,71.0,,,0
350.0,"California State U., Sacramento",398,,1452,,821,,758.0,,174.0,,166.0,,0.0,,418.0,,,0
352.0,Montclair State U.,1365,,976,,558,,739.0,,0.0,,739.0,,0.0,,0.0,,,0
353.0,Seton Hall U.,634,,641,,688,,736.0,,0.0,,736.0,,0.0,,0.0,,,0
354.0,Fordham U.,613,,945,,1044,,729.0,,0.0,,729.0,,0.0,,0.0,,,0
355.0,Southeastern Louisiana U.,449,,501,,370,,726.0,,0.0,,338.0,,0.0,,388.0,,,0
356.0,"U. Maryland, Center for Environmental Science",0,,0,,0,,718.0,,240.0,,478.0,,0.0,,0.0,,,0
357.0,U. Western States,ne,,1014,,1053,,699.0,,0.0,,0.0,,0.0,,699.0,,,0
358.0,Chapman U.,419,,242,,131,,693.0,,0.0,,373.0,,320.0,,0.0,,,0
359.0,"SUNY, Binghamton U.",1279,,1291,,1319,,692.0,,0.0,,634.0,,0.0,,58.0,,,0
360.0,"U. Nebraska, Omaha",923,,939,,665,,690.0,,0.0,,381.0,,0.0,,309.0,,,0
361.0,Eastern Washington U.,412,,462,,474,,687.0,,0.0,,417.0,,134.0,,136.0,,,0
362.0,Mount Holyoke C.,45,,123,,545,,682.0,,0.0,,682.0,,0.0,,0.0,,,0
363.0,"Southern Illinois U., Edwardsville",833,,615,,539,,680.0,,0.0,,27.0,,653.0,,0.0,,,0
364.0,Oberlin C.,222,,294,,377,,667.0,,0.0,,611.0,,56.0,,0.0,,,0
365.0,U. Wisconsin-La Crosse,971,,685,,668,,662.0,,0.0,,590.0,,20.0,,52.0,,,0
366.0,Middle Tennessee State U.,674,,231,,346,,658.0,,43.0,,484.0,,131.0,,0.0,,,0
367.0,U. Dayton,914,,771,,892,,656.0,,0.0,,656.0,,0.0,,0.0,,,0
368.0,Midwestern U.,427,,369,,517,,654.0,,0.0,,494.0,,160.0,,0.0,,,0
369.0,Savannah State U.,680,,1046,,771,,653.0,,0.0,,256.0,,397.0,,0.0,,,0
370.0,U. of the Sciences Philadelphia,758,,711,,622,,645.0,,0.0,,398.0,,247.0,,0.0,,,0
371.0,Middlebury C.,687,,507,,514,,641.0,,0.0,,641.0,,0.0,,0.0,,,0
372.0,James Madison U.,474,,492,,566,,635.0,,0.0,,548.0,,0.0,,87.0,,,0
373.0,Calvin C.,110,,203,,678,,626.0,i,0.0,i,626.0,i,0.0,i,0.0,i,,0
374.0,U. Denver,1432,,1143,,1006,,617.0,,0.0,,617.0,,0.0,,0.0,,,0
374.0,U. Detroit Mercy,45,,ne,,6,,617.0,,0.0,,596.0,,0.0,,21.0,,,0
376.0,"U. Massachusetts, Dartmouth",1240,,835,,713,,603.0,,0.0,,603.0,,0.0,,0.0,,,0
377.0,Grand Valley State U.,870,i,1087,,816,,597.0,,0.0,,446.0,,0.0,,151.0,,,0
378.0,"U. Tennessee, Chattanooga",99,,117,,166,,570.0,,0.0,,570.0,,0.0,,0.0,,,0
379.0,U. Central Arkansas,801,,478,,500,,569.0,,0.0,,480.0,,0.0,,89.0,,,0
380.0,"St. John's U., Manhattan",180,,452,,394,,556.0,,0.0,,556.0,,0.0,,0.0,,,0
381.0,Appalachian State U.,977,,630,,333,,552.0,,39.0,,418.0,,0.0,,95.0,,,0
382.0,U. Central Oklahoma,224,,157,,194,,541.0,,3.0,,424.0,,0.0,,114.0,,,0
383.0,Bastyr U.,2764,,2567,,3147,,540.0,,0.0,,0.0,,540.0,,0.0,,,0
384.0,Amherst C.,350,i,357,,499,,539.0,,0.0,,330.0,,209.0,,0.0,,,0
385.0,Bowling Green State U.,613,,1120,,960,,538.0,,89.0,,347.0,,0.0,,102.0,,,0
386.0,U. del Este,1130,,972,,656,,530.0,,0.0,,517.0,,0.0,,13.0,,,0
387.0,Murray State U.,801,,436,,426,,529.0,,0.0,,501.0,,7.0,,21.0,,,0
387.0,U. Wisconsin-Oshkosh,849,,694,i,243,i,529.0,i,0.0,i,177.0,i,315.0,i,37.0,i,,0
389.0,Skidmore C.,102,,308,,699,,527.0,,0.0,,17.0,,0.0,,510.0,,,0
390.0,"SUNY, C. Brockport",824,,592,,541,,521.0,,385.0,,136.0,,0.0,,0.0,,,0
391.0,Indiana State U.,749,,412,,437,,507.0,,0.0,,492.0,,0.0,,15.0,,,0
392.0,"Augustana C., Sioux Falls",583,,531,,274,,505.0,,0.0,,505.0,,0.0,,0.0,,,0
393.0,"U. Oklahoma, Tulsa",ne,,ne,,ne,,495.0,,0.0,,0.0,,411.0,,84.0,,,0
394.0,Clark U.,475,,538,,492,,493.0,,0.0,,493.0,,0.0,,0.0,,,0
395.0,Franklin and Marshall C.,257,,178,,190,,477.0,,44.0,,375.0,,58.0,,0.0,,,0
396.0,Christopher Newport U.,508,,449,,471,,475.0,,0.0,,475.0,,0.0,,0.0,,,0
397.0,"California State Polytechnic U., Pomona",1745,,1852,,1130,,472.0,,331.0,,141.0,,0.0,,0.0,,,0
397.0,Shaw U.,1586,i,ne,,1000,,472.0,i,0.0,i,403.0,i,0.0,i,69.0,i,,0
399.0,"CUNY, Medgar Evers C.",209,,213,,242,,471.0,,0.0,,471.0,,0.0,,0.0,,,0
400.0,"U. Washington, Bothell",0,,0,,0,,470.0,,185.0,,0.0,,285.0,,0.0,,,0
401.0,Worcester Polytechnic Institute,301,,305,,245,,468.0,,0.0,,468.0,,0.0,,0.0,,,0
402.0,U. Northern Colorado,727,,449,,434,,467.0,,0.0,,368.0,,0.0,,99.0,,,0
403.0,Morehouse C.,320,,312,,311,,455.0,,0.0,,103.0,,0.0,,352.0,,,0
404.0,Claflin U.,3538,,1594,,878,,452.0,,0.0,,452.0,,0.0,,0.0,,,0
405.0,Black Hills State U.,753,,738,,405,,449.0,,0.0,,449.0,,0.0,,0.0,,,0
405.0,"CUNY, Graduate Center",172,,411,,239,,449.0,,0.0,,60.0,,16.0,,373.0,,,0
407.0,Kennesaw State U.,879,i,991,,781,,448.0,,0.0,,448.0,,0.0,,0.0,,,0
408.0,"U. Alabama, Huntsville",1552,,1199,,662,,443.0,,0.0,,443.0,,0.0,,0.0,,,0
409.0,"Trinity C., Hartford",1217,,739,,833,,437.0,,0.0,,185.0,,252.0,,0.0,,,0
410.0,Plymouth State U.,535,,557,,513,,433.0,,8.0,,425.0,,0.0,,0.0,,,0
411.0,Wichita State U.,1805,,2446,,1115,,423.0,,0.0,,423.0,,0.0,,0.0,,,0
412.0,Salisbury U.,91,,376,,209,,422.0,,0.0,,69.0,,0.0,,353.0,,,0
413.0,Colby C.,192,,219,,219,,420.0,,0.0,,420.0,,0.0,,0.0,,,0
414.0,Grinnell C.,139,,124,,313,,419.0,,0.0,,419.0,,0.0,,0.0,,,0
414.0,New England C. of Optometry,1685,,1588,,533,,419.0,,0.0,,0.0,,419.0,,0.0,,,0
416.0,Commonwealth Medical C.,869,,536,,535,,415.0,,0.0,,116.0,,299.0,,0.0,,,0
417.0,Emerson C.,ne,,ne,,ne,,410.0,,0.0,,0.0,,0.0,,410.0,,,0
418.0,U. West Florida,496,,297,,379,,407.0,,0.0,,273.0,,0.0,,134.0,,,0
419.0,Hawaii Pacific U.,284,,250,,521,,398.0,,0.0,,398.0,,0.0,,0.0,,,0
420.0,Santa Clara U.,643,,488,,772,,397.0,,0.0,,288.0,,0.0,,109.0,,,0
421.0,Tennessee Technological U.,993,,980,,669,,394.0,,249.0,,145.0,,0.0,,0.0,,,0
422.0,U. Metropolitana,473,,375,,296,,393.0,,19.0,,0.0,,0.0,,374.0,,,0
423.0,Western Carolina U.,452,,264,,419,,389.0,,93.0,,296.0,,0.0,,0.0,,,0
424.0,Northern Kentucky U.,527,,480,,531,,386.0,,0.0,,386.0,,0.0,,0.0,,,0
425.0,"Indiana U.-Purdue U., Fort Wayne",669,,283,,342,,379.0,,0.0,,114.0,,265.0,,0.0,,,0
426.0,U. New Orleans,498,,523,,642,,378.0,,0.0,,378.0,,0.0,,0.0,,,0
427.0,Louisiana Tech U.,447,,479,,501,,373.0,,189.0,,93.0,,0.0,,91.0,,,0
428.0,Western Washington U.,187,,302,,399,,368.0,,0.0,,355.0,,13.0,,0.0,,,0
429.0,Albany State U.,858,,564,,440,,367.0,,15.0,,239.0,,113.0,,0.0,,,0
430.0,Haverford C.,585,,495,,591,,363.0,,0.0,,363.0,,0.0,,0.0,,,0
430.0,"U. Nebraska, Kearney",663,,754,,571,,363.0,,0.0,,327.0,,0.0,,36.0,,,0
432.0,Rhode Island C.,527,,376,,419,,361.0,,0.0,,334.0,,0.0,,27.0,,,0
433.0,Clarkson U.,445,,332,,288,,352.0,,0.0,,341.0,,0.0,,11.0,,,0
434.0,Willamette U.,645,,173,,80,,346.0,,0.0,,346.0,,0.0,,0.0,,,0
435.0,Hope C.,81,,305,,623,,344.0,,0.0,,344.0,,0.0,,0.0,,,0
436.0,Vassar C.,184,,238,,229,,341.0,,0.0,,261.0,,80.0,,0.0,,,0
437.0,"Southern U. and A&M C., Baton Rouge",265,,106,,219,,334.0,,209.0,,125.0,,0.0,,0.0,,,0
438.0,Sul Ross State U.,939,,670,,523,,333.0,,73.0,,260.0,,0.0,,0.0,,,0
439.0,"U. South Carolina, Beaufort",ne,,ne,,ne,,329.0,,0.0,,102.0,,227.0,,0.0,,,0
439.0,U. Tulsa,343,,269,,209,,329.0,,0.0,,217.0,,0.0,,112.0,,,0
441.0,Bryn Mawr C.,127,,262,,130,,326.0,,0.0,,326.0,,0.0,,0.0,,,0
442.0,U.S. Air Force Academy,623,,3,,254,,325.0,,0.0,,325.0,,0.0,,0.0,,,0
443.0,New Mexico Institute of Mining and Technology,373,,499,,14,,323.0,,0.0,,323.0,,0.0,,0.0,,,0
444.0,"Oklahoma State U., Center for Health Sciences",37,,34,,19,,320.0,,0.0,,213.0,,107.0,,0.0,,,0
445.0,Connecticut C.,364,,239,,245,,318.0,,0.0,,318.0,,0.0,,0.0,,,0
445.0,Montana Tech of U. Montana,274,,213,,177,,318.0,,0.0,,318.0,,0.0,,0.0,,,0
447.0,Lewis and Clark C.,482,,529,,753,,316.0,,0.0,,316.0,,0.0,,0.0,,,0
448.0,U. of the Pacific,355,,370,,327,,314.0,,0.0,,263.0,,51.0,,0.0,,,0
449.0,Towson U.,560,,646,,795,,313.0,,43.0,,262.0,,8.0,,0.0,,,0
450.0,Swarthmore C.,223,,351,,210,,300.0,,0.0,,300.0,,0.0,,0.0,,,0
451.0,Texas Woman's U.,1013,,541,,423,,299.0,,0.0,,263.0,,0.0,,36.0,,,0
452.0,Hofstra U.,610,,273,,569,,294.0,,0.0,,294.0,,0.0,,0.0,,,0
452.0,Sonoma State U.,ne,,430,,353,,294.0,,0.0,,294.0,,0.0,,0.0,,,0
454.0,National U.,0,i,0,,0,,288.0,,0.0,,0.0,,0.0,,288.0,,,0
455.0,Spelman C.,1097,,408,,246,,284.0,,0.0,,200.0,,0.0,,84.0,,,0
456.0,Barnard C.,330,,437,,381,,282.0,,0.0,,282.0,,0.0,,0.0,,,0
457.0,Occidental C.,435,,297,,691,,279.0,,0.0,,279.0,,0.0,,0.0,,,0
458.0,Gallaudet U.,1823,,1741,,705,,275.0,,0.0,,262.0,,0.0,,13.0,,,0
459.0,Pace U.,563,,188,,274,,270.0,,0.0,,256.0,,14.0,,0.0,,,0
460.0,Barry U.,1317,,1645,,1130,,269.0,,0.0,,269.0,,0.0,,0.0,,,0
461.0,Seattle U.,277,,ne,,0,,266.0,,123.0,,143.0,,0.0,,0.0,,,0
462.0,"Memorial Sloan Kettering Cancer Center, Louis V. Gerstner Jr. Graduate S. of Biomedical Sciences",179,,340,,523,,264.0,,0.0,,167.0,,97.0,,0.0,,,0
462.0,Texas Christian U.,105,,110,,185,,264.0,,2.0,,80.0,,0.0,,182.0,,,0
464.0,Williams C.,359,,131,,110,,261.0,,0.0,,261.0,,0.0,,0.0,,,0
465.0,Colgate U.,366,,401,,291,,256.0,,0.0,,256.0,,0.0,,0.0,,,0
466.0,"California State U., Bakersfield",355,,128,,166,,255.0,,0.0,,255.0,,0.0,,0.0,,,0
467.0,St. Cloud State U.,92,,105,,235,,254.0,,0.0,,254.0,,0.0,,0.0,,,0
468.0,Bucknell U.,344,,230,,272,,253.0,,0.0,,193.0,,0.0,,60.0,,,0
469.0,Eastern Michigan U.,895,,580,,258,,252.0,,0.0,,187.0,,0.0,,65.0,,,0
470.0,Sam Houston State U.,743,,413,,204,,251.0,,0.0,,251.0,,0.0,,0.0,,,0
471.0,Morehead State U.,396,,449,,303,,244.0,,0.0,,244.0,,0.0,,0.0,,,0
471.0,Naval Postgraduate School,201,,149,,303,,244.0,,0.0,,95.0,,50.0,,99.0,,,0
473.0,West Chester U. Pennsylvania,359,,191,,150,,240.0,,0.0,,240.0,,0.0,,0.0,,,0
474.0,West Texas A&M U.,292,,320,,464,,237.0,,235.0,,2.0,,0.0,,0.0,,,0
474.0,Western Illinois U.,286,,326,,276,,237.0,,6.0,,231.0,,0.0,,0.0,,,0
476.0,DePaul U.,260,,317,,311,,236.0,,0.0,,91.0,,0.0,,145.0,,,0
477.0,Stevens Institute of Technology,68,,54,,46,,225.0,,0.0,,125.0,,100.0,,0.0,,,0
478.0,Marshall B. Ketchum U.,ne,,ne,,48,,224.0,,0.0,,0.0,,224.0,,0.0,,,0
479.0,Texas A&M International U.,346,,164,,204,,220.0,,64.0,,156.0,,0.0,,0.0,,,0
479.0,U. San Francisco,1424,,606,,481,,220.0,,0.0,,219.0,,1.0,,0.0,,,0
481.0,Austin Peay State U.,103,,81,,140,,219.0,,0.0,,219.0,,0.0,,0.0,,,0
482.0,"CUNY, John Jay C. of Criminal Justice",160,,166,,10,,217.0,,0.0,,157.0,,0.0,,60.0,,,0
483.0,"California State U., Dominguez Hills",752,,506,,274,i,205.0,,0.0,,205.0,,0.0,,0.0,,,0
484.0,U. Colorado Colorado Springs,186,,153,,241,,203.0,,0.0,,203.0,,0.0,,0.0,,,0
485.0,Quinnipiac U.,291,i,239,i,ne,,199.0,i,0.0,i,103.0,i,79.0,i,17.0,i,,0
486.0,Washington and Lee U.,ne,,87,,ne,,196.0,,0.0,,196.0,,0.0,,0.0,,,0
487.0,U. Richmond,261,,367,,397,,194.0,,0.0,,194.0,,0.0,,0.0,,,0
488.0,"CUNY, Advanced Science Research Center",na,,na,,na,,187.0,,0.0,,187.0,,0.0,,0.0,,,0
