"State, institutional control, and institution",All R&D expenditures,Unnamed: 2,Source of funds,Federal government,Unnamed: 5,State and local government,Unnamed: 7,Institution funds,Unnamed: 9,Business,Unnamed: 11,Nonprofit organizations,Unnamed: 13,All other sources
Oakland U.,17108,,6161,,53,,9600.0,,920.0,,309.0,,65,
Saginaw Valley State U.,1220,,223,,6,,686.0,,4.0,,301.0,,0,
"U. Michigan, Ann Arbor",1369278,,735447,,1696,,497063.0,,60408.0,,58478.0,,16186,
"U. Michigan, Dearborn",7802,,1844,,91,,3919.0,,1668.0,,214.0,,66,
Wayne State U.,213878,,109586,,2744,,78172.0,,6596.0,,12123.0,,4657,
Western Michigan U. and Homer Stryker M.D. School of Medicine,19679,,11869,,463,,4014.0,,1754.0,,387.0,,1192,
Private,54462,,13647,,3873,,27491.0,,5642.0,,3550.0,,259,
Calvin C.,2945,i,1175,i,18,i,0.0,i,39.0,i,1481.0,i,232,i
Hope C.,2932,,1436,,0,,360.0,,0.0,,1136.0,,0,
Kettering U.,3673,,1032,,168,,1021.0,,901.0,,524.0,,27,
Lawrence Technological U.,2528,,976,,648,,22.0,,501.0,,381.0,,0,
U. Detroit Mercy,1882,,890,,0,,911.0,,53.0,,28.0,,0,
Van Andel Institute,40502,,8138,,3039,,25177.0,,4148.0,,0.0,,0,
Minnesota,928999,,494116,,59388,,294558.0,,26388.0,,13059.0,,41490,
Public,915877,,488205,,59160,,289157.0,,26383.0,,11907.0,,41065,
"Minnesota State U., Mankato",2294,,546,,210,,1146.0,,0.0,,15.0,,377,
St. Cloud State U.,4192,,1299,,353,,1473.0,,227.0,,840.0,,0,
"U. Minnesota, Duluth",27550,,10025,,4406,,11948.0,,551.0,,399.0,,221,
"U. Minnesota, Morris",1223,,306,,35,,721.0,,85.0,,63.0,,13,
"U. Minnesota, Twin Cities",880618,,476029,,54156,,273869.0,,25520.0,,10590.0,,40454,
Private,13122,,5911,,228,,5401.0,,5.0,,1152.0,,425,
Augsburg C.,1193,,669,,58,,388.0,,5.0,,6.0,,67,
C. of Saint Benedict,1179,,53,,0,,1126.0,,0.0,,0.0,,0,
Carleton C.,6746,,3813,,103,,1579.0,,0.0,,893.0,,358,
Macalester C.,1286,,708,,29,,459.0,,0.0,,90.0,,0,
"Saint John's U., Collegeville",1372,,0,,0,,1372.0,,0.0,,0.0,,0,
St. Olaf C.,1346,,668,,38,,477.0,,0.0,,163.0,,0,
Mississippi,408232,,194209,,92269,,90166.0,,22370.0,,7682.0,,1536,
Public,405543,,191520,,92269,,90166.0,,22370.0,,7682.0,,1536,
Alcorn State U.,9396,,6784,,121,,2261.0,,178.0,,52.0,,0,
Jackson State U.,23908,,19656,,1313,,2011.0,,0.0,,898.0,,30,
Mississippi State U.,226359,,80097,,77189,,57142.0,,10854.0,,705.0,,372,
U. Mississippi,94040,,59978,,2108,,19260.0,,8476.0,,3112.0,,1106,
U. Southern Mississippi,51840,,25005,,11538,,9492.0,,2862.0,,2915.0,,28,
Private,2689,,2689,,0,,0.0,,0.0,,0.0,,0,
Tougaloo C.,2689,,2689,,0,,0.0,,0.0,,0.0,,0,
Missouri,1074115,,611250,,6764,,276362.0,,71308.0,,97972.0,,10459,
Public,331018,,149000,,3406,,145534.0,,11773.0,,12786.0,,8519,
"Lincoln U., Jefferson City",6296,,5492,,804,,0.0,,0.0,,0.0,,0,
Missouri State U.,3540,,3165,,53,,0.0,,274.0,,11.0,,37,
Missouri U. of Science and Technology,35842,,17632,,161,,10748.0,,5171.0,,1164.0,,966,
"U. Missouri, Columbia",246684,,105015,,2029,,118193.0,,5429.0,,9713.0,,6305,
"U. Missouri, Kansas City",26595,,13327,,153,,10533.0,,735.0,,1238.0,,609,
"U. Missouri, Saint Louis",12061,,4369,,206,,6060.0,,164.0,,660.0,,602,
Private,743097,,462250,,3358,,130828.0,,59535.0,,85186.0,,1940,
A. T. Still U.,4571,,2442,,161,,462.0,,0.0,,1506.0,,0,
Saint Louis U.,44457,,27580,,313,,8207.0,,3011.0,,5036.0,,310,
"Washington U., Saint Louis",694069,,432228,,2884,,122159.0,,56524.0,,78644.0,,1630,
Montana,181680,,107460,,11072,,51920.0,,3325.0,,3204.0,,4699,
Public,180494,,106274,,11072,,51920.0,,3325.0,,3204.0,,4699,
"Montana State U., Bozeman",108414,,69136,,3540,,28817.0,,1662.0,,2490.0,,2769,
Montana Tech of U. Montana,11595,,3420,,5736,,1788.0,,651.0,,0.0,,0,
"U. Montana, Missoula",60485,,33718,,1796,,21315.0,,1012.0,,714.0,,1930,
Private,1186,,1186,,0,,0.0,,0.0,,0.0,,0,
Salish Kootenai C.,1186,,1186,,0,,0.0,,0.0,,0.0,,0,
Nebraska,463654,,184081,,11462,,208708.0,,23192.0,,26968.0,,9243,
Public,439355,,174332,,8327,,201945.0,,19757.0,,26462.0,,8532,
"U. Nebraska, Kearney",1496,,515,,12,,916.0,,2.0,,51.0,,0,
"U. Nebraska, Lincoln",284438,,95831,,4906,,159693.0,,12085.0,,3401.0,,8522,
"U. Nebraska, Medical Center",143999,,71920,,3058,,38596.0,,7585.0,,22840.0,,0,
"U. Nebraska, Omaha",9422,,6066,,351,,2740.0,,85.0,,170.0,,10,
Private,24299,,9749,,3135,,6763.0,,3435.0,,506.0,,711,
Creighton U.,23825,,9359,,3135,,6681.0,,3435.0,,504.0,,711,
Doane C.,474,,390,,0,,82.0,,0.0,,2.0,,0,
Nevada,157528,,95728,,15777,,34103.0,,2948.0,,2252.0,,6720,
Public,154241,,95728,,15777,,30819.0,,2946.0,,2252.0,,6719,
Desert Research Institute,22103,,16511,,2050,,2240.0,,674.0,,457.0,,171,
"U. Nevada, Las Vegas",42000,,27493,,2930,,7662.0,,781.0,,244.0,,2890,
"U. Nevada, Reno",90138,,51724,,10797,,20917.0,,1491.0,,1551.0,,3658,
Private,3287,,0,,0,,3284.0,,2.0,,0.0,,1,
Roseman U. of Health Sciences,3287,,0,,0,,3284.0,,2.0,,0.0,,1,
New Hampshire,358154,,241352,,4993,,77447.0,,15189.0,,14030.0,,5143,
Public,148508,,95119,,4267,,36430.0,,8568.0,,3468.0,,656,
Keene State C.,966,,820,,0,,122.0,,0.0,,24.0,,0,
Plymouth State U.,2807,,2259,,114,,54.0,,0.0,,372.0,,8,
U. New Hampshire,144735,,92040,,4153,,36254.0,,8568.0,,3072.0,,648,
Private,209646,,146233,,726,,41017.0,,6621.0,,10562.0,,4487,
Dartmouth C.,209646,,146233,,726,,41017.0,,6621.0,,10562.0,,4487,
New Jersey,1106186,,587931,,93269,,293618.0,,38036.0,,73701.0,,19631,
Public,783469,,401427,,89828,,201715.0,,26491.0,,50431.0,,13577,
Kean U.,1064,,244,,378,,342.0,,90.0,,10.0,,0,
Montclair State U.,4274,,2716,,154,,552.0,,309.0,,116.0,,427,
New Jersey Institute of Technology,110512,,55094,,3355,,44038.0,,1687.0,,4741.0,,1597,
Rowan U.,8044,,4674,,634,,1109.0,,666.0,,862.0,,99,
"Rutgers, State U. New Jersey, Camden",5123,,2215,,460,,1410.0,,29.0,,999.0,,10,
"Rutgers, State U. New Jersey, New Brunswick",628613,,323675,,79931,,148707.0,,23398.0,,41803.0,,11099,
"Rutgers, State U. New Jersey, Newark",24387,,12611,,4021,,5239.0,,312.0,,1859.0,,345,
Stockton U.,1452,,198,,895,,318.0,,0.0,,41.0,,0,
Private,322717,,186504,,3441,,91903.0,,11545.0,,23270.0,,6054,
Princeton U.,279851,,158313,,408,,85666.0,,8641.0,,20795.0,,6028,
Rider U.,1726,,292,,33,,1375.0,,2.0,,24.0,,0,
Seton Hall U.,7058,,1919,,2230,,0.0,,989.0,,1920.0,,0,
Stevens Institute of Technology,34082,,25980,,770,,4862.0,,1913.0,,531.0,,26,
New Mexico,390913,,253715,,26378,,80440.0,,8529.0,,12260.0,,9591,
Public,390913,,253715,,26378,,80440.0,,8529.0,,12260.0,,9591,
New Mexico Institute of Mining and Technology,26265,,20018,,4361,,926.0,,954.0,,6.0,,0,
New Mexico State U.,132377,,78903,,19122,,20732.0,,3846.0,,1941.0,,7833,
U. New Mexico,232271,,154794,,2895,,58782.0,,3729.0,,10313.0,,1758,
New York,5700230,,3026224,,233483,,1384988.0,,432561.0,,460767.0,,162207,
Public,1345402,,561673,,84968,,363804.0,,234410.0,,66206.0,,34341,
"CUNY, Advanced Science Research Center",569,,257,,0,,312.0,,0.0,,0.0,,0,
"CUNY, Baruch C.",2451,,845,,153,,1021.0,,135.0,,31.0,,266,
"CUNY, Brooklyn C.",9091,,5771,,46,,2184.0,,191.0,,96.0,,803,
"CUNY, C. Staten Island",3060,,1222,,511,,921.0,,282.0,,124.0,,0,
"CUNY, City C.",53223,,38434,,2833,,9306.0,,1683.0,,33.0,,934,
"CUNY, Graduate Center",6175,,2106,,96,,1533.0,,5.0,,1376.0,,1059,
"CUNY, Hunter C.",36368,,19193,,1450,,12457.0,,212.0,,2522.0,,534,
"CUNY, John Jay C. of Criminal Justice",8689,,3392,,62,,1854.0,,2371.0,,316.0,,694,
"CUNY, Lehman C.",3130,,2394,,13,,666.0,,51.0,,6.0,,0,
"CUNY, Medgar Evers C.",970,,686,,12,,264.0,,0.0,,8.0,,0,
"CUNY, Queens C.",19092,,14080,,817,,3710.0,,193.0,,292.0,,0,
"CUNY, system office",1782,,828,,0,,375.0,,0.0,,519.0,,60,
"CUNY, York C.",716,,534,,0,,178.0,,0.0,,4.0,,0,
"SUNY, Binghamton U.",79895,,16171,,2339,,57308.0,,3096.0,,388.0,,593,
"SUNY, Buffalo State",2366,,846,,401,,447.0,,10.0,,662.0,,0,
"SUNY, C. Brockport",1367,,535,,147,,560.0,,5.0,,40.0,,80,
"SUNY, C. of Environmental Science and Forestry",22051,,7784,,6233,,5792.0,,881.0,,1133.0,,228,
"SUNY, C. of Optometry",3906,,2490,,0,,810.0,,598.0,,1.0,,7,
"SUNY, C. Plattsburgh",1135,,717,,48,,366.0,,0.0,,4.0,,0,
"SUNY, Downstate Medical Center",28652,,20779,,608,,4679.0,,803.0,,1308.0,,475,
"SUNY, Farmingdale State C.",1102,,508,,0,,594.0,,0.0,,0.0,,0,
"SUNY, Geneseo",1314,,663,,3,,646.0,,2.0,,0.0,,0,
"SUNY, Polytechnic Institute",295313,,14641,,27531,,39434.0,,187237.0,,26379.0,,91,
"SUNY, Stony Brook U.",220580,,115150,,6251,,83173.0,,6957.0,,7457.0,,1592,
"SUNY, U. Albany",111705,,79681,,2058,,16846.0,,866.0,,984.0,,11270,
"SUNY, U. Buffalo",382935,,177441,,31156,,111688.0,,27077.0,,20326.0,,15247,
"SUNY, Upstate Medical U.",32453,,19213,,2200,,6680.0,,1755.0,,2197.0,,408,
U.S. Military Academy,15312,,15312,,0,,0.0,,0.0,,0.0,,0,
Private,4354828,,2464551,,148515,,1021184.0,,198151.0,,394561.0,,127866,
Albany C. of Pharmacy and Health Sciences,2533,,1065,,0,,695.0,,634.0,,43.0,,96,
Albany Medical C.,18043,,9481,,97,,4186.0,,3423.0,,508.0,,348,
Alfred U.,5193,,1434,,1882,,1026.0,,851.0,,0.0,,0,
Barnard C.,2916,,2384,,0,,137.0,,126.0,,269.0,,0,
Clarkson U.,13406,,5440,,2291,,3623.0,,1509.0,,543.0,,0,
Cold Spring Harbor Laboratory,84653,,49063,,219,,9964.0,,3906.0,,21501.0,,0,
Colgate U.,2721,,1109,,0,,1565.0,,0.0,,47.0,,0,
Columbia U. in the City of New York,868159,,592545,,11144,,117648.0,,39629.0,,80911.0,,26282,
"Columbia U., Teachers C.",23269,,12775,,109,,,,299.0,,9197.0,,889,
Cornell U.,954412,,446360,,79146,,233532.0,,40690.0,,123102.0,,31582,
Fordham U.,20939,,3969,,306,,15534.0,,0.0,,0.0,,1130,
Hamilton C.,2291,,559,,0,,669.0,,10.0,,1032.0,,21,
Hobart and William Smith Colleges,946,,442,,226,,174.0,,7.0,,97.0,,0,
Hofstra U.,2585,,2119,,126,,191.0,,4.0,,145.0,,0,
Icahn School of Medicine at Mt. Sinai,508353,,329641,,4920,,87113.0,,40181.0,,43589.0,,2909,
Ithaca C.,972,,635,,20,,200.0,,0.0,,117.0,,0,
Marist C.,448,,113,,51,,131.0,,40.0,,6.0,,107,
"Memorial Sloan Kettering Cancer Center, Louis V. Gerstner Jr. Graduate S. of Biomedical Sciences",3089,,264,,0,,2769.0,,0.0,,56.0,,0,
New School,8978,,2300,,147,,3390.0,,74.0,,3067.0,,0,
New York Institute of Technology,4169,,2375,,364,,1248.0,,0.0,,182.0,,0,
New York Medical C.,17653,,11326,,205,,453.0,,3075.0,,2291.0,,303,
New York U.,602041,,344570,,10294,,122961.0,,22825.0,,55929.0,,45462,
Niagara U.,1828,,117,,714,,627.0,,0.0,,368.0,,2,
Pace U.,4647,,1681,,0,,2585.0,,52.0,,329.0,,0,
Rensselaer Polytechnic Institute,102841,,59528,,7592,,26143.0,,7715.0,,1863.0,,0,
Rochester Institute of Technology,40442,,20147,,5404,,11479.0,,2388.0,,1024.0,,0,
Rockefeller U.,323932,,81949,,606,,224343.0,,5539.0,,10479.0,,1016,
Siena C.,1623,,1136,,27,,348.0,,0.0,,112.0,,0,
Skidmore C.,1772,,969,,0,,543.0,,0.0,,260.0,,0,
"St. John's U., Manhattan",2558,,992,,0,,647.0,,580.0,,61.0,,278,
Syracuse U.,69896,,32378,,5541,,23879.0,,3610.0,,4488.0,,0,
U. Rochester,346932,,262681,,8826,,38418.0,,18056.0,,16307.0,,2644,
"Union C., Schenectady",1560,,1080,,0,,405.0,,10.0,,61.0,,4,
Vassar C.,2854,,1133,,3,,140.0,,8.0,,1007.0,,563,
Yeshiva U.,306174,,180791,,8255,,84418.0,,2910.0,,15570.0,,14230,
North Carolina,2815343,,1600445,,147577,,540057.0,,337324.0,,152002.0,,37938,
Public,1600330,,889620,,140727,,393996.0,,87597.0,,70674.0,,17716,
Appalachian State U.,3878,,1796,,499,,632.0,,350.0,,503.0,,98,
East Carolina U.,26549,,15079,,1512,,6790.0,,1733.0,,1372.0,,63,
Elizabeth City State U.,2277,,2058,,13,,0.0,,0.0,,0.0,,206,
Fayetteville State U.,13746,,9243,,596,,3643.0,,163.0,,101.0,,0,
North Carolina Agricultural and Technical State U.,35172,,22413,,94,,12068.0,,55.0,,542.0,,0,
North Carolina Central U.,12448,,10874,,371,,,,158.0,,781.0,,264,
North Carolina State U.,468293,,199862,,99165,,115230.0,,52836.0,,1114.0,,86,
"U. North Carolina, Asheville",2384,,1531,,388,,350.0,,29.0,,82.0,,4,
"U. North Carolina, Chapel Hill",966781,,585758,,26104,,246490.0,,28998.0,,62736.0,,16695,
"U. North Carolina, Charlotte",24870,,19132,,955,,618.0,,2058.0,,2064.0,,43,
"U. North Carolina, general administration",4197,,337,,3860,,0.0,,0.0,,0.0,,0,
"U. North Carolina, Greensboro",23026,,14978,,1313,,5345.0,,561.0,,600.0,,229,
"U. North Carolina, Wilmington",15564,,5819,,5839,,2665.0,,655.0,,558.0,,28,
Western Carolina U.,1145,,740,,18,,165.0,,1.0,,221.0,,0,
Private,1215013,,710825,,6850,,146061.0,,249727.0,,81328.0,,20222,
Davidson C.,2377,,1703,,0,,448.0,,74.0,,152.0,,0,
Duke U.,1036698,,559217,,779,,141999.0,,240640.0,,73928.0,,20135,
Elon U.,2608,,376,,0,,2135.0,,0.0,,97.0,,0,
Shaw U.,1404,i,1078,i,0,i,326.0,i,0.0,i,0.0,i,0,i
Wake Forest U.,171926,,148451,,6071,,1153.0,,9013.0,,7151.0,,87,
North Dakota,217926,,73179,,59993,,63830.0,,13941.0,,1955.0,,5028,
Public,217926,,73179,,59993,,63830.0,,13941.0,,1955.0,,5028,
North Dakota State U.,153542,,35482,,51839,,58394.0,,1761.0,,1406.0,,4660,
U. North Dakota,64384,,37697,,8154,,5436.0,,12180.0,,549.0,,368,
Ohio,2152826,,1268925,,122312,,436346.0,,185174.0,,100864.0,,39205,
Public,1648801,,880509,,107328,,380258.0,,168013.0,,77530.0,,35163,
Air Force Institute of Technology,26866,,16727,,30,,9905.0,,198.0,,6.0,,0,
Bowling Green State U.,7995,,5544,,731,,1405.0,,63.0,,243.0,,9,
Central State U.,1508,,1508,,0,,0.0,,0.0,,0.0,,0,
Cleveland State U.,57662,,41851,,1416,,5805.0,,4069.0,,4318.0,,203,
Kent State U.,38069,,11158,,1737,,22947.0,,752.0,,1217.0,,258,
Miami U.,16108,,10008,,1377,,3645.0,,534.0,,361.0,,183,
Northeast Ohio Medical U.,17103,,7607,,236,,6748.0,,134.0,,1802.0,,576,
Ohio State U.,817881,,446048,,71902,,113918.0,,119272.0,,34977.0,,31764,
Ohio U.,61078,,17303,,1238,,33270.0,,6118.0,,3059.0,,90,
U. Akron,58512,,14676,,3739,,29908.0,,5284.0,,3106.0,,1799,
U. Cincinnati,436028,,251717,,10648,,121238.0,,26109.0,,26069.0,,247,
U. Toledo,52354,,27085,,4547,,16519.0,,3453.0,,744.0,,6,
Wright State U.,54289,,26931,,9376,,14343.0,,1983.0,,1628.0,,28,
Youngstown State U.,3348,,2346,,351,,607.0,,44.0,,0.0,,0,
Private,504025,,388416,,14984,,56088.0,,17161.0,,23334.0,,4042,
C. Wooster,1275,i,373,i,0,i,365.0,i,0.0,i,304.0,i,233,i
Case Western Reserve U.,401527,,308434,,5519,,50950.0,,10782.0,,22238.0,,3604,
Heidelberg U.,1109,,272,,522,,180.0,,85.0,,50.0,,0,
Oberlin C.,1932,,1364,,0,,402.0,,23.0,,143.0,,0,
U. Dayton,98182,,77973,,8943,,4191.0,,6271.0,,599.0,,205,
Oklahoma,419602,,183279,,61798,,124834.0,,29262.0,,11443.0,,8986,
Public,394536,,176895,,61375,,121303.0,,15117.0,,11148.0,,8698,
East Central U.,655,,571,,34,,0.0,,0.0,,50.0,,0,
Langston U.,8126,,5621,,2505,,0.0,,0.0,,0.0,,0,
"Oklahoma State U., Center for Health Sciences",1625,,321,,147,,921.0,,236.0,,0.0,,0,
"Oklahoma State U., Stillwater",129968,,38585,,28183,,56712.0,,5676.0,,569.0,,243,
U. Central Oklahoma,7691,,3193,,1398,,2607.0,,14.0,,479.0,,0,
"U. Oklahoma, Norman and Health Science Center",242367,,127709,,28961,,59364.0,,9114.0,,8893.0,,8326,
"U. Oklahoma, Tulsa",4104,,895,,147,,1699.0,,77.0,,1157.0,,129,
Private,25066,,6384,,423,,3531.0,,14145.0,,295.0,,288,
U. Tulsa,25066,,6384,,423,,3531.0,,14145.0,,295.0,,288,
Oregon,719881,,503422,,55116,,73465.0,,30011.0,,42640.0,,15227,
Public,707858,,498506,,54966,,68950.0,,29826.0,,40383.0,,15227,
Oregon Health and Science U.,326915,,245509,,189,,29458.0,,18816.0,,29924.0,,3019,
Oregon Institute of Technology,2056,,270,,725,,752.0,,1.0,,308.0,,0,
Oregon State U.,245317,,153017,,43165,,25320.0,,9792.0,,2085.0,,11938,
Portland State U.,53872,,29987,,9781,,8923.0,,624.0,,4287.0,,270,
U. Oregon,79698,,69723,,1106,,4497.0,,593.0,,3779.0,,0,
Private,12023,,4916,,150,,4515.0,,185.0,,2257.0,,0,
Lewis and Clark C.,3873,,872,,0,,1579.0,,0.0,,1422.0,,0,
Pacific U.,2016,,962,,150,,530.0,,185.0,,189.0,,0,
Reed C.,3050,,1638,,0,,1233.0,,0.0,,179.0,,0,
U. Western States,1077,,699,,0,,378.0,,0.0,,0.0,,0,
Willamette U.,2007,,745,,0,,795.0,,0.0,,467.0,,0,
Pennsylvania,3356723,,2178850,,80140,,603113.0,,196577.0,,197887.0,,100156,
Public,1891829,,1206705,,57340,,381448.0,,58730.0,,104673.0,,82933,
"Pennsylvania State U., Behrend",3737,,1510,,442,,1055.0,,574.0,,156.0,,0,
"Pennsylvania State U., Harrisburg",3379,,565,,1394,,1109.0,,186.0,,125.0,,0,
"Pennsylvania State U., University Park and Hershey Medical Center",791031,,513410,,44324,,162251.0,,33715.0,,35448.0,,1883,
Temple U.,227468,,129499,,2816,,63462.0,,7632.0,,17315.0,,6744,
"U. Pittsburgh, Pittsburgh",861205,,561210,,8330,,149256.0,,16531.0,,51596.0,,74282,
West Chester U. Pennsylvania,5009,,511,,34,,4315.0,,92.0,,33.0,,24,
Private,1464894,,972145,,22800,,221665.0,,137847.0,,93214.0,,17223,
Bryn Mawr C.,11692,,1713,,0,,8575.0,,2.0,,1402.0,,0,
Bucknell U.,4140,,1489,,270,,1466.0,,434.0,,374.0,,107,
Carnegie Mellon U.,242004,,187259,,1630,,15254.0,,22833.0,,5938.0,,9090,
Commonwealth Medical C.,2171,,415,,1,,1711.0,,16.0,,0.0,,28,
Dickinson C.,1492,,517,,36,,382.0,,0.0,,557.0,,0,
Drexel U.,128027,,69462,,4640,,40175.0,,3078.0,,10672.0,,0,
Duquesne U.,16159,,5004,,805,,8339.0,,574.0,,1437.0,,0,
Franklin and Marshall C.,3888,,1017,,0,,1191.0,,165.0,,969.0,,546,
Haverford C.,2633,,1476,,17,,674.0,,0.0,,466.0,,0,
La Salle U.,1079,,82,,0,,997.0,,0.0,,0.0,,0,
Lafayette C.,1693,,1066,,10,,478.0,,139.0,,0.0,,0,
Lehigh U.,36788,,22910,,2351,,9046.0,,1533.0,,652.0,,296,
Mercyhurst U.,1987,,616,,254,,574.0,,70.0,,473.0,,0,
Philadelphia C. of Osteopathic Medicine,2561,,192,,13,,2023.0,,0.0,,333.0,,0,
Saint Joseph's U.,2093,,526,,686,,578.0,,1.0,,302.0,,0,
Salus U.,1257,,1198,,2,,44.0,,0.0,,13.0,,0,
Swarthmore C.,2943,,1379,,0,,1300.0,,0.0,,264.0,,0,
Thomas Jefferson U.,119631,,58536,,966,,38545.0,,9315.0,,8145.0,,4124,
U. of the Sciences Philadelphia,4076,,1096,,15,,1014.0,,1302.0,,601.0,,48,
U. Pennsylvania,864068,,611620,,10798,,81050.0,,97755.0,,60165.0,,2680,
Villanova U.,14512,,4572,,306,,8249.0,,630.0,,451.0,,304,
Rhode Island,453291,,209874,,10584,,204610.0,,6317.0,,17197.0,,4709,
Public,106561,,74622,,9242,,16485.0,,2890.0,,1349.0,,1973,
Naval War C.,2653,,2653,,0,,0.0,,0.0,,0.0,,0,
Rhode Island C.,10080,,7258,,1613,,886.0,,0.0,,323.0,,0,
U. Rhode Island,93828,,64711,,7629,,15599.0,,2890.0,,1026.0,,1973,
Private,346730,,135252,,1342,,188125.0,,3427.0,,15848.0,,2736,
Brown U.,342040,,132142,,1058,,187228.0,,3197.0,,15679.0,,2736,
Providence C.,1329,,1162,,0,,126.0,,0.0,,41.0,,0,
Rhode Island School of Design,1013,,252,,43,,438.0,,228.0,,52.0,,0,
Roger Williams U.,2348,,1696,,241,,333.0,,2.0,,76.0,,0,
South Carolina,665319,,283177,,33637,,276415.0,,43138.0,,20536.0,,8416,
Public,660763,,279510,,33633,,275908.0,,43104.0,,20259.0,,8349,
C. Charleston,10607,,6200,,383,,2692.0,,407.0,,906.0,,19,
Clemson U.,171215,,53136,,20935,,73959.0,,18265.0,,4147.0,,773,
Coastal Carolina U.,1862,,1041,,658,,26.0,,0.0,,137.0,,0,
Medical U. South Carolina,243534,,117255,,4519,,91169.0,,15021.0,,8022.0,,7548,
South Carolina State U.,12607,,4456,,4852,,3290.0,,0.0,,0.0,,9,
"U. South Carolina, Aiken",1154,,689,,0,,465.0,,0.0,,0.0,,0,
"U. South Carolina, Beaufort",892,,478,,9,,365.0,,0.0,,40.0,,0,
"U. South Carolina, Columbia",208736,,90453,,980,,100890.0,,9411.0,,7002.0,,0,
Winthrop U.,10156,,5802,,1297,,3052.0,,0.0,,5.0,,0,
Private,4556,,3667,,4,,507.0,,34.0,,277.0,,67,
Benedict C.,1373,,1373,,0,,0.0,,0.0,,0.0,,0,
Claflin U.,1255,,1158,,3,,0.0,,34.0,,60.0,,0,
Furman U.,1928,,1136,,1,,507.0,,0.0,,217.0,,67,
South Dakota,103368,,50280,,19330,,21669.0,,3066.0,,7193.0,,1830,
Public,102586,,49609,,19330,,21655.0,,2971.0,,7191.0,,1830,
Black Hills State U.,2430,,1674,,193,,536.0,,25.0,,2.0,,0,
Dakota State U.,1152,,765,,60,,204.0,,118.0,,0.0,,5,
South Dakota School of Mines and Technology,14970,,9286,,1978,,1872.0,,1651.0,,151.0,,32,
South Dakota State U.,58373,,28670,,15908,,5473.0,,1175.0,,5354.0,,1793,
U. South Dakota,25661,,9214,,1191,,13570.0,,2.0,,1684.0,,0,
Private,782,,671,,0,,14.0,,95.0,,2.0,,0,
"Augustana C., Sioux Falls",782,,671,,0,,14.0,,95.0,,2.0,,0,
Tennessee,1075972,,626143,,31129,,315223.0,,52200.0,,38807.0,,12470,
Public,404285,,203361,,29752,,132078.0,,17522.0,,11615.0,,9957,
Austin Peay State U.,2113,,334,,1202,,504.0,,71.0,,0.0,,2,
East Tennessee State U.,6930,,5135,,194,,283.0,,502.0,,774.0,,42,
Middle Tennessee State U.,4350,,2302,,93,,1511.0,,295.0,,149.0,,0,
Tennessee State U.,19955,,11145,,783,,7533.0,,470.0,,24.0,,0,
Tennessee Technological U.,11082,,3578,,3216,,3364.0,,99.0,,29.0,,796,
U. Memphis,46675,,18825,,3784,,18354.0,,2835.0,,2262.0,,615,
"U. Tennessee, Chattanooga",6817,,1949,,775,,2878.0,,326.0,,127.0,,762,
"U. Tennessee, Health Science Center",65771,,39356,,3187,,11229.0,,2544.0,,4810.0,,4645,
"U. Tennessee, Knoxville",173533,,105417,,14061,,44246.0,,6333.0,,1784.0,,1692,
"U. Tennessee, Knoxville, Institute of Agriculture",67059,,15320,,2457,,42176.0,,4047.0,,1656.0,,1403,
Private,671687,,422782,,1377,,183145.0,,34678.0,,27192.0,,2513,
Fisk U.,8758,i,7901,i,857,i,0.0,i,0.0,i,0.0,i,0,i
Meharry Medical C.,13998,,13068,,0,,391.0,,5.0,,534.0,,0,
Sewanee: U. of the South,1115,,75,,13,,611.0,,0.0,,416.0,,0,
Vanderbilt U.,647816,,401738,,507,,182143.0,,34673.0,,26242.0,,2513,
Texas,5082598,,2015871,,814058,,1278458.0,,351996.0,,373200.0,,249015,
Public,4340596,,1650296,,778101,,1061948.0,,317903.0,,289535.0,,242813,
Lamar U.,2824,,352,,1273,,471.0,,134.0,,510.0,,84,
Prairie View A&M U.,13123,,7994,,2938,,1957.0,,7.0,,60.0,,167,
Sam Houston State U.,3086,,1491,,111,,1355.0,,0.0,,129.0,,0,
Stephen F. Austin State U.,5170,,2340,,1756,,750.0,,125.0,,152.0,,47,
Sul Ross State U.,2204,,333,,341,,747.0,,6.0,,777.0,,0,
Tarleton State U.,9825,,3927,,2637,,2857.0,,29.0,,375.0,,0,
Texas A&M International U.,2917,,658,,770,,502.0,,49.0,,938.0,,0,
"Texas A&M U., College Station and Health Science Center",866678,,304437,,180289,,247330.0,,71559.0,,44519.0,,18544,
Texas A&M U.-Commerce,3755,,1121,,1159,,1042.0,,94.0,,266.0,,73,
Texas A&M U.-Corpus Christi,24507,,9491,,4440,,5022.0,,623.0,,2088.0,,2843,
Texas A&M U.-Kingsville,20894,,7080,,4332,,3500.0,,821.0,,5161.0,,0,
Texas Southern U.,5005,,3458,,284,,926.0,,84.0,,253.0,,0,
Texas State U.,47694,,18289,,7145,,16827.0,,1843.0,,3590.0,,0,
Texas Tech U.,163897,,32987,,24767,,86682.0,,11033.0,,7566.0,,862,
"Texas Tech U., Health Sciences Center",40438,,10251,,15640,,9303.0,,235.0,,2976.0,,2033,
"Texas Tech U., Health Sciences Center, El Paso",18889,,2893,,13877,,1362.0,,248.0,,441.0,,68,
Texas Woman's U.,2310,,722,,403,,563.0,,29.0,,593.0,,0,
U. Houston,150628,,58458,,32478,,38995.0,,9604.0,,7449.0,,3644,
