"State, institutional control, and institution",2012,Unnamed: 2,2013,Unnamed: 4,2014,Unnamed: 6,2015,All personnel,Postdocsa,Unnamed: 10,Total,Unnamed: 12,Principal investigators,Unnamed: 14
Tougaloo C.,10,,15,,31,,34.0,,11.0,,23.0,,2.0,
Missouri,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,
"Lincoln U., Jefferson City",227,,246,,273,,216.0,,55.0,,161.0,,7.0,
Missouri State U.,171,,186,,218,,177.0,,25.0,,152.0,,0.0,
Missouri U. of Science and Technology,1075,i,1075,,927,,878.0,,148.0,,730.0,,32.0,
"U. Missouri, Columbia",3454,i,3454,i,3454,,3487.0,,583.0,,2904.0,,234.0,
"U. Missouri, Kansas City",597,i,597,,566,,399.0,,117.0,,282.0,,22.0,
"U. Missouri, Saint Louis",475,i,475,,597,,269.0,,63.0,,206.0,,7.0,
Private,,,,,,,,,,,,,,
A. T. Still U.,84,i,84,i,84,i,84.0,,32.0,,52.0,,1.0,
Saint Louis U.,771,,1703,,1521,,1593.0,,261.0,,1332.0,,45.0,
"Washington U., Saint Louis",8287,,7962,,7785,,7538.0,,1314.0,,6224.0,,719.0,
Montana,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,
"Montana State U., Bozeman",797,,732,,714,,759.0,,479.0,,280.0,,49.0,
Montana Tech of U. Montana,121,,125,,135,,160.0,,60.0,,100.0,,4.0,
"U. Montana, Missoula",2288,,1921,,1455,,1421.0,,310.0,,1111.0,,41.0,
Private,,,,,,,,,,,,,,
Salish Kootenai C.,48,,34,,17,i,17.0,,5.0,,12.0,,0.0,
Nebraska,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,
"U. Nebraska, Kearney",264,,243,,280,,173.0,,14.0,,159.0,,0.0,
"U. Nebraska, Lincoln",5573,,6002,,6284,,6293.0,,625.0,,5668.0,,334.0,
"U. Nebraska, Medical Center",1778,,1667,,1667,,1735.0,,613.0,,1122.0,,118.0,
"U. Nebraska, Omaha",488,,474,,469,,474.0,,72.0,,402.0,,1.0,
Private,,,,,,,,,,,,,,
Creighton U.,290,i,533,i,343,i,46.0,i,4.0,i,42.0,i,3.0,i
Doane C.,51,,ne,,27,,45.0,,9.0,,36.0,,1.0,
Nevada,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,
Desert Research Institute,429,,392,,362,,354.0,,117.0,,237.0,,15.0,
"U. Nevada, Las Vegas",859,,932,,982,,1104.0,,129.0,,975.0,,31.0,
"U. Nevada, Reno",1856,,1879,,2367,,2065.0,,357.0,,1708.0,,99.0,
Private,,,,,,,,,,,,,,
Roseman U. of Health Sciences,ne,,ne,,22,,79.0,,15.0,,64.0,,7.0,
New Hampshire,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,
Keene State C.,214,i,214,,223,,85.0,,9.0,,76.0,,9.0,
Plymouth State U.,161,i,244,i,268,i,237.0,i,22.0,,215.0,i,0.0,
U. New Hampshire,2401,,2368,,2365,,2425.0,,280.0,,2145.0,,50.0,
Private,,,,,,,,,,,,,,
Dartmouth C.,1996,,2157,,1935,,1989.0,,402.0,,1587.0,,102.0,
New Jersey,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,
Kean U.,46,i,46,,ne,,46.0,i,19.0,i,27.0,i,0.0,
Montclair State U.,244,,265,,261,,221.0,,63.0,,158.0,,3.0,
New Jersey Institute of Technology,1183,,1052,,1009,,1207.0,,128.0,,1079.0,,35.0,
Rowan U.,206,,208,,431,,369.0,,60.0,,309.0,,14.0,
"Rutgers, State U. New Jersey, Camden",330,i,367,i,370,i,361.0,i,61.0,i,300.0,i,16.0,i
"Rutgers, State U. New Jersey, New Brunswick",5876,i,6502,i,8359,i,7860.0,i,1396.0,i,6464.0,i,542.0,i
"Rutgers, State U. New Jersey, Newark",729,i,761,i,660,i,592.0,i,102.0,i,490.0,i,26.0,i
Stockton U.,53,i,ne,,98,,102.0,,17.0,,85.0,,0.0,
Private,,,,,,,,,,,,,,
Princeton U.,2603,,2626,,2618,,2793.0,,338.0,,2455.0,,776.0,
Rider U.,47,,61,,100,,100.0,,40.0,,60.0,,0.0,
Seton Hall U.,85,,90,,107,,123.0,,48.0,,75.0,,10.0,
Stevens Institute of Technology,459,i,459,,417,,448.0,,114.0,,334.0,,25.0,
New Mexico,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,
New Mexico Institute of Mining and Technology,529,,605,,590,,531.0,,90.0,,441.0,,1.0,
New Mexico State U.,1579,,1400,,1489,,1390.0,,471.0,,919.0,,22.0,
U. New Mexico,3890,,3886,,3975,,4296.0,,689.0,,3607.0,,190.0,
New York,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,
"CUNY, Advanced Science Research Center",na,,na,,na,,1.0,,0.0,,1.0,,1.0,
"CUNY, Baruch C.",380,,114,,390,,200.0,,5.0,,195.0,,1.0,
"CUNY, Brooklyn C.",332,i,332,i,332,,332.0,i,8.0,i,324.0,i,16.0,i
"CUNY, C. Staten Island",400,,280,,419,i,419.0,,185.0,,234.0,,12.0,
"CUNY, City C.",1025,,1048,,1147,,1230.0,,360.0,,870.0,,117.0,
"CUNY, Graduate Center",308,,268,,245,,205.0,,11.0,,194.0,,10.0,
"CUNY, Hunter C.",489,,475,,510,,510.0,,151.0,,359.0,,40.0,
"CUNY, John Jay C. of Criminal Justice",252,,268,,395,,284.0,,8.0,,276.0,,2.0,
"CUNY, Lehman C.",1355,,79,,85,,201.0,,28.0,,173.0,,6.0,
"CUNY, Medgar Evers C.",63,,63,,62,,59.0,,16.0,,43.0,,0.0,
"CUNY, Queens C.",530,,464,,553,,480.0,,45.0,,435.0,,34.0,
"CUNY, system office",21,,18,,23,,32.0,,4.0,,28.0,,2.0,
"CUNY, York C.",30,i,30,,ne,,30.0,i,1.0,i,29.0,i,0.0,
"SUNY, Binghamton U.",846,,767,,782,,1197.0,,146.0,,1051.0,,34.0,
"SUNY, Buffalo State",89,,78,,92,,90.0,,27.0,,63.0,,0.0,
"SUNY, C. Brockport",41,,65,,50,,48.0,,14.0,,34.0,,0.0,
"SUNY, C. of Environmental Science and Forestry",602,i,602,i,602,,564.0,,159.0,,405.0,,19.0,
"SUNY, C. of Optometry",46,,41,,40,,37.0,,14.0,,23.0,,9.0,
"SUNY, C. Plattsburgh",40,,ne,,31,,27.0,,12.0,,15.0,,0.0,
"SUNY, Downstate Medical Center",431,,386,,239,,178.0,,43.0,,135.0,,8.0,
"SUNY, Farmingdale State C.",11,,13,,12,,10.0,,3.0,,7.0,,3.0,
"SUNY, Geneseo",80,,76,,40,,60.0,,18.0,,42.0,,0.0,
"SUNY, Polytechnic Institute",na,,na,,631,,647.0,,39.0,,608.0,,15.0,
"SUNY, Stony Brook U.",2798,,2717,,2686,,2500.0,,475.0,,2025.0,,187.0,
"SUNY, U. Albany",926,,906,,742,,746.0,,213.0,,533.0,,30.0,
"SUNY, U. Buffalo",4979,i,5012,i,5064,i,4671.0,i,813.0,i,3858.0,i,322.0,i
"SUNY, Upstate Medical U.",494,,436,,408,,376.0,,95.0,,281.0,,25.0,
U.S. Military Academy,339,i,54,i,148,i,109.0,i,21.0,i,88.0,i,0.0,
Private,,,,,,,,,,,,,,
Albany C. of Pharmacy and Health Sciences,40,,79,,75,,65.0,,6.0,,59.0,,11.0,
Albany Medical C.,392,i,384,i,351,i,381.0,i,80.0,i,301.0,i,23.0,i
Alfred U.,133,,126,,111,,123.0,,11.0,,112.0,,7.0,
Barnard C.,150,,74,,80,,75.0,,18.0,,57.0,,2.0,
Clarkson U.,420,,373,,343,,251.0,,75.0,,176.0,,62.0,
Cold Spring Harbor Laboratory,959,i,1009,i,854,i,622.0,i,94.0,i,528.0,i,68.0,i
Colgate U.,209,,220,,213,,250.0,,11.0,,239.0,,0.0,
Columbia U. in the City of New York,8175,,7980,,7810,,7927.0,,1306.0,,6621.0,,893.0,
"Columbia U., Teachers C.",309,i,399,i,306,i,360.0,i,67.0,,293.0,i,22.0,i
Cornell U.,8676,,10077,,10518,,10020.0,,1753.0,,8267.0,,987.0,
Fordham U.,402,,306,,311,,325.0,,113.0,,212.0,,6.0,
Hamilton C.,88,,103,,142,,146.0,,11.0,,135.0,,0.0,
Hobart and William Smith Colleges,40,,32,,36,,24.0,,10.0,,14.0,,0.0,
Hofstra U.,79,,79,,77,,62.0,,11.0,,51.0,,0.0,
Icahn School of Medicine at Mt. Sinai,2403,,2497,,2492,,2774.0,,841.0,,1933.0,,427.0,
Ithaca C.,37,,40,,37,,43.0,,24.0,,19.0,,1.0,
Marist C.,ne,,ne,,ne,,53.0,,5.0,,48.0,,0.0,
"Memorial Sloan Kettering Cancer Center, Louis V. Gerstner Jr. Graduate S. of Biomedical Sciences",86,,47,,33,,30.0,,16.0,,14.0,,0.0,
New School,294,,302,,368,,343.0,,37.0,,306.0,,6.0,
New York Institute of Technology,33,,23,,36,,30.0,,17.0,,13.0,,0.0,
New York Medical C.,683,i,600,i,539,i,533.0,i,125.0,,408.0,i,32.0,i
New York U.,4768,,4990,,6712,,6950.0,,1138.0,,5812.0,,661.0,
Niagara U.,114,,122,,125,,141.0,,38.0,,103.0,,0.0,
Pace U.,159,,143,,149,,174.0,,25.0,,149.0,,0.0,
Rensselaer Polytechnic Institute,1539,,1523,,1465,,1415.0,,242.0,,1173.0,,94.0,
Rochester Institute of Technology,937,,1044,,973,,986.0,,186.0,,800.0,,18.0,
Rockefeller U.,1118,,1068,,1095,,1152.0,,225.0,,927.0,,219.0,
Siena C.,72,,67,,73,,127.0,,65.0,,62.0,,0.0,
Skidmore C.,37,,80,,116,,194.0,,23.0,,171.0,,1.0,
"St. John's U., Manhattan",87,,69,,69,i,69.0,i,13.0,i,56.0,i,1.0,i
Syracuse U.,1755,,1469,,1670,,1866.0,,204.0,,1662.0,,62.0,
U. Rochester,5061,,4850,,4539,,4427.0,,918.0,,3509.0,,290.0,
"Union C., Schenectady",127,,143,,151,,97.0,,13.0,,84.0,,4.0,
Vassar C.,78,,30,,61,,183.0,,25.0,,158.0,,3.0,
Yeshiva U.,1584,,1536,,1827,,1745.0,,345.0,,1400.0,,419.0,
North Carolina,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,
Appalachian State U.,213,,235,,253,,200.0,,56.0,,144.0,,3.0,
East Carolina U.,911,,858,,756,,608.0,,103.0,,505.0,,24.0,
Elizabeth City State U.,90,,90,,100,,81.0,,19.0,,62.0,,0.0,
Fayetteville State U.,647,,660,,453,,459.0,,45.0,,414.0,,28.0,
North Carolina Agricultural and Technical State U.,1016,,1058,,1238,,1359.0,,160.0,,1199.0,,20.0,
North Carolina Central U.,429,,269,,238,,387.0,,80.0,,307.0,,24.0,
North Carolina State U.,5088,,4684,,5005,,4824.0,,913.0,,3911.0,,630.0,
"U. North Carolina, Asheville",43,,88,,87,,91.0,,36.0,,55.0,,3.0,
"U. North Carolina, Chapel Hill",10577,,9480,,9331,,8419.0,,1756.0,,6663.0,,746.0,
"U. North Carolina, Charlotte",1650,,962,,879,,851.0,,153.0,,698.0,,21.0,
"U. North Carolina, general administration",ne,,ne,,ne,,0.0,,0.0,,0.0,,0.0,
"U. North Carolina, Greensboro",536,,490,,682,,834.0,,89.0,,745.0,,28.0,
"U. North Carolina, Wilmington",370,,490,,361,,522.0,,133.0,,389.0,,4.0,
Western Carolina U.,76,,87,,76,,58.0,,13.0,,45.0,,0.0,
Private,,,,,,,,,,,,,,
Davidson C.,90,,191,,213,,192.0,,61.0,,131.0,,3.0,
Duke U.,8125,,8587,,8425,,8247.0,,1499.0,,6748.0,,645.0,
Elon U.,141,,159,,246,,208.0,,5.0,,203.0,,0.0,
Shaw U.,28,i,ne,,7,,7.0,i,2.0,i,5.0,i,0.0,i
Wake Forest U.,2212,,1722,,1745,,1397.0,,613.0,,784.0,,124.0,
North Dakota,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,
North Dakota State U.,2782,,2975,,3134,,2811.0,,669.0,,2142.0,,60.0,
U. North Dakota,213,i,631,i,1009,i,1009.0,i,165.0,,844.0,i,18.0,
Ohio,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,
Air Force Institute of Technology,289,,295,,278,,354.0,,88.0,,266.0,,7.0,
Bowling Green State U.,270,,391,,302,,229.0,,94.0,,135.0,,16.0,
Central State U.,120,,135,,109,,88.0,,11.0,,77.0,,14.0,
Cleveland State U.,1068,i,1142,i,1082,i,995.0,i,174.0,i,821.0,i,43.0,i
Kent State U.,753,,796,,754,,1071.0,,111.0,,960.0,,45.0,
Miami U.,775,,725,,655,,583.0,,140.0,,443.0,,98.0,
Northeast Ohio Medical U.,154,,170,,176,,208.0,,42.0,,166.0,,21.0,
Ohio State U.,9381,,9364,,10121,,9076.0,,1726.0,,7350.0,,637.0,
Ohio U.,1342,,704,,635,,636.0,,187.0,,449.0,,43.0,
U. Akron,764,,1060,,1077,,826.0,,190.0,,636.0,,58.0,
U. Cincinnati,3580,,3655,,3216,,3336.0,,570.0,,2766.0,,187.0,
U. Toledo,1195,,1146,,1219,,1076.0,,296.0,,780.0,,39.0,
Wright State U.,1005,,1061,,996,,1153.0,,222.0,,931.0,,49.0,
Youngstown State U.,150,,106,,94,,69.0,,7.0,,62.0,,3.0,
Private,,,,,,,,,,,,,,
C. Wooster,176,,ne,,219,,219.0,i,18.0,i,201.0,i,0.0,i
Case Western Reserve U.,2339,,2321,,3120,,3064.0,,859.0,,2205.0,,188.0,
Heidelberg U.,ne,,11,,11,,12.0,,4.0,,8.0,,1.0,
Oberlin C.,109,,109,,92,,100.0,,19.0,,81.0,,0.0,
U. Dayton,885,,877,,896,,1016.0,,222.0,,794.0,,6.0,
Oklahoma,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,
East Central U.,97,i,ne,,43,,34.0,,6.0,,28.0,,0.0,
Langston U.,60,,31,,46,,40.0,,10.0,,30.0,,10.0,
"Oklahoma State U., Center for Health Sciences",307,i,323,i,330,i,321.0,i,54.0,i,267.0,i,12.0,i
"Oklahoma State U., Stillwater",2422,i,1988,i,1889,i,1862.0,i,328.0,i,1534.0,i,80.0,i
U. Central Oklahoma,107,,90,,81,,349.0,,7.0,,342.0,,0.0,
"U. Oklahoma, Norman and Health Science Center",3530,,3905,,3035,,2513.0,,461.0,,2052.0,,196.0,
"U. Oklahoma, Tulsa",ne,,ne,,ne,,113.0,,23.0,,90.0,,1.0,
Private,,,,,,,,,,,,,,
U. Tulsa,378,,378,,398,,412.0,,61.0,,351.0,,6.0,
Oregon,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,
Oregon Health and Science U.,3994,,4748,,3548,,3579.0,,701.0,,2878.0,,494.0,
Oregon Institute of Technology,ne,,ne,,ne,,92.0,,13.0,,79.0,,0.0,
Oregon State U.,4625,,4569,,4435,,4531.0,,1089.0,,3442.0,,176.0,
Portland State U.,1245,,832,,896,,941.0,,283.0,,658.0,,15.0,
U. Oregon,4428,,5121,,4550,,1657.0,,348.0,,1309.0,,51.0,
Private,,,,,,,,,,,,,,
Lewis and Clark C.,181,,224,,259,,268.0,,12.0,,256.0,,0.0,
Pacific U.,27,,27,i,110,i,112.0,i,52.0,i,60.0,i,2.0,i
Reed C.,55,,56,,65,,45.0,,15.0,,30.0,,5.0,
U. Western States,ne,,21,,12,,8.0,,1.0,,7.0,,0.0,
Willamette U.,60,,53,,81,,59.0,,15.0,,44.0,,0.0,
Pennsylvania,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,
"Pennsylvania State U., Behrend",170,i,160,i,100,i,235.0,i,64.0,,171.0,i,0.0,
"Pennsylvania State U., Harrisburg",222,i,209,i,230,i,268.0,i,32.0,,236.0,i,0.0,
"Pennsylvania State U., University Park and Hershey Medical Center",11723,i,11652,i,10862,i,12016.0,i,2517.0,,9499.0,i,276.0,
Temple U.,2426,,2987,,2485,,3349.0,,592.0,,2757.0,,227.0,
"U. Pittsburgh, Pittsburgh",10574,,10257,,9996,,9681.0,,1703.0,,7978.0,,581.0,
West Chester U. Pennsylvania,194,i,111,,261,,361.0,,131.0,,230.0,,0.0,
Private,,,,,,,,,,,,,,
Bryn Mawr C.,54,,52,,50,,108.0,,91.0,,17.0,,3.0,
Bucknell U.,490,,478,,527,,526.0,,104.0,,422.0,,4.0,
Carnegie Mellon U.,4595,,4828,,4813,,4675.0,,567.0,,4108.0,,200.0,
Commonwealth Medical C.,43,,22,,18,,15.0,,7.0,,8.0,,0.0,
Dickinson C.,152,,124,,158,,156.0,,14.0,,142.0,,2.0,
Drexel U.,4995,,2372,,2482,,2855.0,,381.0,,2474.0,,129.0,
Duquesne U.,539,,790,,464,,465.0,,51.0,,414.0,,8.0,
Franklin and Marshall C.,22,,102,,100,,336.0,,20.0,,316.0,,0.0,
Haverford C.,98,,98,,125,,234.0,,17.0,,217.0,,11.0,
La Salle U.,25,,24,,26,,29.0,,29.0,,0.0,,0.0,
Lafayette C.,181,,174,,178,,180.0,,135.0,,45.0,,0.0,
Lehigh U.,887,,925,,936,,971.0,,108.0,,863.0,,40.0,
Mercyhurst U.,50,,45,,51,,41.0,,11.0,,30.0,,0.0,
Philadelphia C. of Osteopathic Medicine,15,,11,,11,,16.0,,5.0,,11.0,,2.0,
Saint Joseph's U.,292,,303,,94,,82.0,,13.0,,69.0,,0.0,
Salus U.,27,,26,,15,,14.0,,5.0,,9.0,,0.0,
Swarthmore C.,271,,258,,335,,316.0,,28.0,,288.0,,4.0,
Thomas Jefferson U.,1093,,1108,,1250,,1524.0,,291.0,,1233.0,,156.0,
U. of the Sciences Philadelphia,114,,104,,141,,140.0,,18.0,,122.0,,5.0,
U. Pennsylvania,14017,,13570,,13254,,13011.0,,1733.0,,11278.0,,276.0,
Villanova U.,310,i,310,i,310,,223.0,,49.0,,174.0,,9.0,
Rhode Island,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,
Naval War C.,0,i,0,i,0,i,0.0,i,0.0,i,0.0,i,0.0,i
Rhode Island C.,78,,99,,95,,133.0,,45.0,,88.0,,1.0,
U. Rhode Island,1996,,1820,,1129,,1656.0,,237.0,,1419.0,,44.0,
Private,,,,,,,,,,,,,,
Brown U.,3881,i,3790,i,3602,i,3450.0,i,559.0,i,2891.0,i,375.0,i
Providence C.,ne,,54,,ne,,77.0,,18.0,,59.0,,0.0,
Rhode Island School of Design,ne,,ne,,ne,,225.0,,180.0,,45.0,,0.0,
Roger Williams U.,136,,165,i,165,,137.0,,23.0,,114.0,,0.0,
South Carolina,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,
C. Charleston,473,,539,,507,,467.0,,75.0,,392.0,,4.0,
Clemson U.,2504,,2017,,1497,,1557.0,,299.0,,1258.0,,27.0,
Coastal Carolina U.,150,i,102,i,335,i,322.0,i,54.0,i,268.0,i,12.0,i
Medical U. South Carolina,1409,,1341,,1480,,1563.0,,746.0,,817.0,,88.0,
South Carolina State U.,70,,100,i,100,i,100.0,,30.0,,70.0,,60.0,
"U. South Carolina, Aiken",ne,,45,,44,,44.0,,7.0,,37.0,,1.0,
"U. South Carolina, Beaufort",ne,,ne,,ne,,15.0,,9.0,,6.0,,0.0,
"U. South Carolina, Columbia",1608,,1598,,1605,,1606.0,,694.0,,912.0,,473.0,
Winthrop U.,382,,430,,549,,472.0,,52.0,,420.0,,0.0,
Private,,,,,,,,,,,,,,
Benedict C.,41,,36,,67,,59.0,,19.0,,40.0,,1.0,
Claflin U.,128,,111,,98,,92.0,,13.0,,79.0,,0.0,
Furman U.,156,,134,,128,,150.0,,14.0,,136.0,,3.0,
South Dakota,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,
Black Hills State U.,183,,161,,94,,98.0,,18.0,,80.0,,2.0,
Dakota State U.,27,,11,,24,,22.0,,5.0,,17.0,,0.0,
South Dakota School of Mines and Technology,422,,383,,370,,203.0,,81.0,,122.0,,17.0,
South Dakota State U.,1540,,1687,,1633,,1341.0,,198.0,,1143.0,,35.0,
U. South Dakota,599,,392,,327,,290.0,,71.0,,219.0,,21.0,
Private,,,,,,,,,,,,,,
"Augustana C., Sioux Falls",116,i,116,,100,,81.0,,9.0,,72.0,,0.0,
Tennessee,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,
Austin Peay State U.,44,,43,,55,,63.0,,23.0,,40.0,,0.0,
East Tennessee State U.,544,i,546,,459,,413.0,,80.0,,333.0,,18.0,i
Middle Tennessee State U.,371,,235,,235,,299.0,,98.0,,201.0,,1.0,
Tennessee State U.,447,,485,,417,,574.0,,67.0,,507.0,,6.0,
Tennessee Technological U.,482,,445,,445,,512.0,,57.0,,455.0,,2.0,
U. Memphis,713,,710,,749,,1348.0,,276.0,,1072.0,,35.0,
"U. Tennessee, Chattanooga",315,,295,,264,,236.0,,37.0,,199.0,,0.0,
"U. Tennessee, Health Science Center",1135,,1107,,1087,,1063.0,,152.0,,911.0,,111.0,
"U. Tennessee, Knoxville",3593,,3734,,3761,,3754.0,,330.0,,3424.0,,218.0,
"U. Tennessee, Knoxville, Institute of Agriculture",1480,,1459,,1430,,1476.0,,113.0,,1363.0,,50.0,
Private,,,,,,,,,,,,,,
Fisk U.,19,,22,i,22,,22.0,i,12.0,i,10.0,i,0.0,i
Meharry Medical C.,194,,185,,138,,147.0,,80.0,,67.0,,20.0,
Sewanee: U. of the South,36,,ne,,55,,65.0,,15.0,,50.0,,0.0,
Vanderbilt U.,5842,i,5862,i,7022,i,6342.0,i,1010.0,i,5332.0,i,690.0,i
Texas,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,
Lamar U.,109,,99,,124,,138.0,,24.0,,114.0,,2.0,
Prairie View A&M U.,465,,438,,381,,392.0,,80.0,,312.0,,4.0,
Sam Houston State U.,157,,195,,210,,190.0,,66.0,,124.0,,3.0,
Stephen F. Austin State U.,239,i,198,i,198,i,200.0,,47.0,,153.0,,0.0,
Sul Ross State U.,81,,82,,84,,82.0,,4.0,,78.0,,0.0,
Tarleton State U.,402,i,419,i,446,i,418.0,i,71.0,i,347.0,i,18.0,i
Texas A&M International U.,42,,108,i,108,,73.0,,2.0,,71.0,,0.0,
"Texas A&M U., College Station and Health Science Center",10855,,12110,,12203,,12224.0,,2458.0,,9766.0,,731.0,
Texas A&M U.-Commerce,104,,111,,134,,132.0,,13.0,,119.0,,7.0,
Texas A&M U.-Corpus Christi,454,,468,,463,,496.0,,69.0,,427.0,,16.0,
Texas A&M U.-Kingsville,697,,700,,564,,692.0,,67.0,,625.0,,196.0,
Texas Southern U.,71,,72,,74,,64.0,,33.0,,31.0,,5.0,
Texas State U.,692,,803,,1046,,1372.0,,187.0,,1185.0,,166.0,
Texas Tech U.,3227,,3315,,3398,,3667.0,,290.0,,3377.0,,121.0,
"Texas Tech U., Health Sciences Center",996,,996,,804,,814.0,,126.0,,688.0,,33.0,
"Texas Tech U., Health Sciences Center, El Paso",ne,,ne,,241,,215.0,,79.0,,136.0,,23.0,
Texas Woman's U.,95,,146,,140,,157.0,,41.0,,116.0,,0.0,
U. Houston,2644,,2719,,1852,,1821.0,,294.0,,1527.0,,191.0,
U. Houston system administration,ne,,ne,,ne,,13.0,,0.0,,13.0,,0.0,
U. Houston-Clear Lake,76,,76,,62,,69.0,,8.0,,61.0,,1.0,
U. Houston-Downtown,44,,67,,108,,61.0,,53.0,,8.0,,0.0,
"U. North Texas, Denton",863,,819,,752,,748.0,,104.0,,644.0,,46.0,
"U. North Texas, Health Science Center",555,,693,,596,,497.0,,170.0,,327.0,,34.0,
"U. Texas Health Science Center, Houston",2838,,2741,,2758,,2758.0,,733.0,,2025.0,,255.0,
"U. Texas Health Science Center, San Antonio",2466,,1969,,1725,,1755.0,,308.0,,1447.0,,89.0,
"U. Texas Health Science Center, Tyler",ne,,ne,,ne,,73.0,,23.0,,50.0,,18.0,
U. Texas M. D. Anderson Cancer Center,6222,,6477,i,6477,i,6477.0,,665.0,,5812.0,,653.0,
U. Texas Medical Branch,2350,,2687,,1631,,1528.0,,282.0,,1246.0,,172.0,
U. Texas Pan American,561,,505,,646,,808.0,,49.0,,759.0,,2.0,
U. Texas Southwestern Medical Center,4861,,4517,,4703,,4689.0,,767.0,,3922.0,,551.0,
"U. Texas, Arlington",946,,939,,939,,1383.0,,214.0,,1169.0,,38.0,
"U. Texas, Austin",3523,,3451,,3812,,3798.0,,708.0,,3090.0,,390.0,
"U. Texas, Brownsville",264,,179,,119,,193.0,,25.0,,168.0,,8.0,i
"U. Texas, Dallas",1343,,1820,,1827,,2094.0,,268.0,,1826.0,,90.0,i
"U. Texas, El Paso",2044,,1877,,1607,,1739.0,,188.0,,1551.0,,45.0,
"U. Texas, Permian Basin",35,,45,,68,,73.0,,6.0,,67.0,,0.0,
"U. Texas, San Antonio",1259,,890,,890,i,890.0,,190.0,,700.0,,54.0,
"U. Texas, Tyler",157,,116,,150,,134.0,,19.0,,115.0,,0.0,
West Texas A&M U.,165,,176,,201,,122.0,,26.0,,96.0,,0.0,
Private,,,,,,,,,,,,,,
Baylor C. of Medicine,3572,,3817,,3480,,3503.0,,628.0,,2875.0,,511.0,
Baylor U.,332,,380,,400,,485.0,,76.0,,409.0,,34.0,
Rice U.,2399,,2496,,2517,,2572.0,,240.0,,2332.0,,304.0,
Southern Methodist U.,461,i,458,i,517,i,489.0,i,97.0,i,392.0,i,29.0,i
St. Edward's U.,60,,72,,60,,94.0,,28.0,,66.0,,4.0,
Texas Christian U.,249,,303,,281,,341.0,,33.0,,308.0,,10.0,
Trinity U.,40,,61,,85,,91.0,,22.0,,69.0,,8.0,
U. of the Incarnate Word,ne,,ne,,ne,,29.0,,3.0,,26.0,,1.0,
Wiley C.,47,,49,,45,,43.0,,5.0,,38.0,,0.0,
Utah,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,
U. Utah,6779,,6839,,6700,,6883.0,,804.0,,6079.0,,503.0,
Utah State U.,3198,,2848,,3403,,2770.0,,350.0,,2420.0,,35.0,
Private,,,,,,,,,,,,,,
"Brigham Young U., Provo",1829,,1849,,1872,,1939.0,,216.0,,1723.0,,56.0,
Vermont,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,
U. Vermont,1850,,1752,,1626,,1628.0,,344.0,,1284.0,,124.0,
Private,,,,,,,,,,,,,,
Middlebury C.,151,,124,,74,,93.0,,25.0,,68.0,,0.0,
Norwich U.,49,,84,,102,,80.0,,64.0,,16.0,,0.0,
Saint Michael's C.,ne,,137,,121,,125.0,,5.0,,120.0,,0.0,
Virginia,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,
C. of William and Mary and Virginia Institute of Marine Science,1217,,1250,,1198,,1189.0,,344.0,,845.0,,36.0,
Christopher Newport U.,55,,64,,132,,90.0,,46.0,,44.0,,0.0,
George Mason U.,1802,,1877,,1897,,2100.0,,481.0,,1619.0,,29.0,
James Madison U.,396,i,368,i,365,i,344.0,i,58.0,i,286.0,i,13.0,i
Norfolk State U.,303,,315,,205,,102.0,,23.0,,79.0,,23.0,
Old Dominion U.,1808,,1764,,1696,,1385.0,,358.0,,1027.0,,41.0,
U. of Mary Washington,30,,ne,,ne,,36.0,,21.0,,15.0,,0.0,
"U. Virginia, Charlottesville",5055,,4384,,4380,,4279.0,,883.0,,3396.0,,293.0,
Virginia Commonwealth U.,3527,,3086,,2523,,2990.0,,674.0,,2316.0,,224.0,
Virginia Polytechnic Institute and State U.,7739,,8156,,8275,,8140.0,,1242.0,,6898.0,,284.0,
Virginia State U.,333,,251,,226,,190.0,,32.0,,158.0,,0.0,
Private,,,,,,,,,,,,,,
Eastern Virginia Medical School,336,,366,,249,,257.0,,60.0,,197.0,,18.0,
Edward Via C. of Osteopathic Medicine,41,,69,,38,,41.0,,6.0,,35.0,,0.0,
Hampton U.,283,,287,,287,,293.0,,47.0,,246.0,,0.0,
