"State, institutional control, and institution",All R&D expenditures,Unnamed: 2,Environmental sciences,Unnamed: 4,Life sciences,Unnamed: 6,Math and computer sciences,Unnamed: 8,Physical sciences,Unnamed: 10,Psychology,Unnamed: 12,Social sciences,Unnamed: 14,"Sciences, nec",Unnamed: 16,Engineering,Unnamed: 18,All non-S&E fields,Unnamed: 20
Green Mountain C.,150,i,15,i,102,i,0,i,0,i,8,i,25,i,0,i,0,i,0,i
Virginia,2047,,135,,363,,80,,687,,54,,203,,148,,91,,286,
Public,797,,18,,224,,71,,164,,33,,55,,54,,91,,87,
Radford U.,490,,18,,224,,57,,8,,33,,43,,20,,0,,87,
Virginia Military Institute,307,,0,,0,,14,,156,,0,,12,,34,,91,,0,
Private,1250,,117,,139,,9,,523,,21,,148,,94,,0,,199,
Ferrum C.,182,,88,,0,,0,,0,,0,,0,,94,,0,,0,
Roanoke C.,602,,28,,122,,8,,189,,15,,145,,0,,0,,95,
Sweet Briar C.,466,,1,,17,,1,,334,,6,,3,,0,,0,,104,
Washington,2702,,330,,948,,125,,604,,110,,154,,41,,0,,390,
Public,441,,226,,139,,49,,7,,0,,20,,0,,0,,0,
Evergreen State C.,441,,226,,139,,49,,7,,0,,20,,0,,0,,0,
Private,2261,,104,,809,,76,,597,,110,,134,,41,,0,,390,
Pacific Lutheran U.,370,,60,,60,,0,,145,,32,,57,,0,,0,,16,
U. Puget Sound,725,,36,,340,,8,,227,,5,,66,,0,,0,,43,
Whitman C.,653,,0,,364,,0,,123,,56,,11,,41,,0,,58,
Whitworth U.,513,,8,,45,,68,,102,,17,,0,,0,,0,,273,
West Virginia,2200,,51,,702,,210,,183,,0,,0,,7,,392,,655,
Public,2050,,39,,620,,210,,183,,0,,0,,0,,392,,606,
Bluefield State C.,160,,0,,160,,0,,0,,0,,0,,0,,0,,0,
Concord U.,445,,19,,0,,0,,176,,0,,0,,0,,0,,250,
Shepherd U.,200,,20,,22,,151,,7,,0,,0,,0,,0,,0,
West Liberty U.,354,i,0,i,0,i,0,i,0,i,0,i,0,i,0,i,0,i,354,i
West Virginia School of Osteopathic Medicine,438,,0,,438,,0,,0,,0,,0,,0,,0,,0,
"West Virginia U., Institute of Technology",453,,0,,0,,59,,0,,0,,0,,0,,392,,2,
Private,150,,12,,82,,0,,0,,0,,0,,7,,0,,49,
Future Generations Graduate School,150,i,12,i,82,i,0,i,0,i,0,i,0,i,7,i,0,i,49,i
Wisconsin,5927,,674,,1453,,183,,923,,126,,136,,288,,845,,1299,
Public,3837,,479,,558,,170,,694,,111,,116,,240,,845,,624,
U. Wisconsin-Eau Claire,2051,,400,,6,,40,,548,,44,,16,,18,,680,,299,
U. Wisconsin-River Falls,408,i,46,i,112,i,14,i,26,i,10,i,29,i,12,i,57,i,102,i
U. Wisconsin-Stout,614,,0,,219,,41,,3,,51,,0,,51,,63,,186,
U. Wisconsin-Superior,150,i,19,i,53,i,9,i,16,i,5,i,11,i,0,i,0,i,37,i
U. Wisconsin-Whitewater,614,,14,,168,,66,,101,,1,,60,,159,,45,,0,
Private,2090,,195,,895,,13,,229,,15,,20,,48,,0,,675,
Alverno C.,457,,0,,0,,0,,0,,0,,0,,0,,0,,457,
Beloit C.,316,,107,,175,,0,,32,,0,,2,,0,,0,,0,
"Concordia U., Wisconsin",519,,0,,519,,0,,0,,0,,0,,0,,0,,0,
Lawrence U.,393,,53,,122,,3,,178,,6,,0,,0,,0,,31,
St. Norbert C.,405,,35,,79,,10,,19,,9,,18,,48,,0,,187,
Puerto Rico,1385,,9,,644,,0,,0,,198,,0,,113,,364,,57,
Public,610,,0,,610,,0,,0,,0,,0,,0,,0,,0,
"U. Puerto Rico, Ponce",610,,0,,610,,0,,0,,0,,0,,0,,0,,0,
Private,775,,9,,34,,0,,0,,198,,0,,113,,364,,57,
"Carlos Albizu U., San Juan",188,i,0,i,0,i,0,i,0,i,188,i,0,i,0,i,0,i,0,i
Polytechnic U. Puerto Rico,406,,0,,0,,0,,0,,0,,0,,0,,349,,57,
"Pontifical Catholic U. Puerto Rico, Ponce",181,,9,,34,,0,,0,,10,,0,,113,,15,,0,
