"State, institutional control, and institution",Total,Federally financed,All R&D expenditures received,Unnamed: 4,From educational pass-through entities,Unnamed: 6,From business,Unnamed: 8,From nonprofit organizations,Unnamed: 10,From other pass-through entities,Unnamed: 12,All R&D expenditures received.1,Unnamed: 14,From educational pass-through entities.1,Unnamed: 16,From business.1,Unnamed: 18,From nonprofit organizations.1,Unnamed: 20,From other pass-through entities.1,Unnamed: 22
Valparaiso U.,65.0,,65.0,,0.0,,0.0,,0.0,,61.0,,61.0,,0.0,,0.0,,0.0,,,
Iowa,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
Iowa State U.,25767.0,,10104.0,,5150.0,,3197.0,,7316.0,,21551.0,,9267.0,,2987.0,,2512.0,,6785.0,,,
U. Iowa,20454.0,,8525.0,,1019.0,,2194.0,,8716.0,,20454.0,,8525.0,,1019.0,,2194.0,,8716.0,,,
U. Northern Iowa,1077.0,,706.0,,0.0,,183.0,,188.0,,1077.0,,706.0,,0.0,,183.0,,188.0,,,
Private,,,,,,,,,,,,,,,,,,,,,,
Grinnell C.,6.0,,6.0,,0.0,,0.0,,0.0,,6.0,,6.0,,0.0,,0.0,,0.0,,,
"Palmer C. of Chiropractic, Davenport",1558.0,,1000.0,,0.0,,558.0,,0.0,,1558.0,,1000.0,,0.0,,558.0,,0.0,,,
Kansas,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
Kansas State U.,10746.0,,7809.0,,1234.0,,468.0,,1235.0,,10746.0,,7809.0,,1234.0,,468.0,,1235.0,,,
Pittsburg State U.,330.0,,175.0,,0.0,,1.0,,154.0,,176.0,,175.0,,0.0,,1.0,,0.0,,,
U. Kansas,26829.0,,9004.0,,2216.0,,4847.0,,10762.0,,22927.0,,7922.0,,2027.0,,3523.0,,9455.0,,,
Wichita State U.,4005.0,,1326.0,,584.0,,126.0,,1969.0,,3971.0,,1292.0,,584.0,,126.0,,1969.0,,,
Kentucky,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
Eastern Kentucky U.,529.0,,305.0,,0.0,,39.0,,185.0,,529.0,,305.0,,0.0,,39.0,,185.0,,,
Kentucky State U.,121.0,,85.0,,34.0,,2.0,,0.0,,121.0,,85.0,,34.0,,2.0,,0.0,,,
Morehead State U.,642.0,,477.0,,0.0,,17.0,,148.0,,642.0,,477.0,,0.0,,17.0,,148.0,,,
Murray State U.,625.0,,154.0,,209.0,,174.0,,88.0,,298.0,,154.0,,0.0,,95.0,,49.0,,,
Northern Kentucky U.,598.0,,590.0,,0.0,,0.0,,8.0,,598.0,,590.0,,0.0,,0.0,,8.0,,,
U. Kentucky,31216.0,i,8046.0,,4245.0,i,3921.0,i,15004.0,i,28660.0,,7025.0,,3681.0,,3340.0,,14614.0,,,
U. Louisville,18903.0,,5052.0,,4726.0,,7729.0,,1396.0,,13953.0,,4575.0,,2264.0,,6174.0,,940.0,,,
Western Kentucky U.,1895.0,,487.0,,114.0,,19.0,,1275.0,,1636.0,,487.0,,114.0,,4.0,,1031.0,,,
Louisiana,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
Grambling State U.,590.0,,441.0,,0.0,,149.0,,0.0,,590.0,,441.0,,0.0,,149.0,,0.0,,,
"Louisiana State U., Baton Rouge",17637.0,,9549.0,,3265.0,,1348.0,,3475.0,,17515.0,,9504.0,,3265.0,,1348.0,,3398.0,,,
"Louisiana State U., Health Sciences Center – New Orleans",6962.0,,3590.0,,1385.0,,397.0,,1590.0,,6821.0,,3488.0,,1385.0,,358.0,,1590.0,,,
"Louisiana State U., Health Sciences Center - Shreveport",783.0,,663.0,,107.0,,13.0,,0.0,,783.0,,663.0,,107.0,,13.0,,0.0,,,
Louisiana Tech U.,4666.0,i,607.0,i,379.0,i,722.0,i,2958.0,i,4418.0,,523.0,,339.0,,680.0,,2876.0,,,
McNeese State U.,33.0,,0.0,,0.0,,0.0,,33.0,,27.0,,0.0,,0.0,,0.0,,27.0,,,
Nicholls State U.,89.0,,32.0,,10.0,,0.0,,47.0,,79.0,,32.0,,0.0,,0.0,,47.0,,,
Southeastern Louisiana U.,633.0,,377.0,,0.0,,15.0,,241.0,,633.0,,377.0,,0.0,,15.0,,241.0,,,
"Southern U. and A&M C., Agricultural Research and Extension Center",136.0,,136.0,,0.0,,0.0,,0.0,,136.0,,136.0,,0.0,,0.0,,0.0,,,
"Southern U. and A&M C., Baton Rouge",1428.0,,627.0,,383.0,,25.0,,393.0,,1428.0,,627.0,,383.0,,25.0,,393.0,,,
"U. Louisiana, Lafayette",7987.0,,1739.0,,213.0,,1257.0,,4778.0,,6416.0,,1447.0,,213.0,,44.0,,4712.0,,,
"U. Louisiana, Monroe",1172.0,,866.0,,0.0,,0.0,,306.0,,1172.0,,866.0,,0.0,,0.0,,306.0,,,
U. New Orleans,3586.0,,1088.0,,236.0,,601.0,,1661.0,,2730.0,,943.0,,86.0,,60.0,,1641.0,,,
Private,,,,,,,,,,,,,,,,,,,,,,
Dillard U.,189.0,,61.0,,0.0,,91.0,,37.0,,189.0,,61.0,,0.0,,91.0,,37.0,,,
Tulane U.,18497.0,,9998.0,,4422.0,,2601.0,,1476.0,,16750.0,,9225.0,,3771.0,,2307.0,,1447.0,,,
Xavier U. Louisiana,1871.0,,598.0,,0.0,,2.0,,1271.0,,1054.0,,598.0,,0.0,,2.0,,454.0,,,
Maine,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
Maine Maritime Academy,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
U. Maine,8841.0,,2927.0,,375.0,,111.0,,5428.0,,8483.0,,2830.0,,375.0,,19.0,,5259.0,,,
U. Southern Maine,4285.0,i,643.0,i,0.0,i,0.0,i,3642.0,i,4129.0,i,643.0,i,0.0,i,0.0,i,3486.0,i,,
Private,,,,,,,,,,,,,,,,,,,,,,
Bates C.,571.0,,38.0,,0.0,,533.0,,0.0,,551.0,,18.0,,0.0,,533.0,,0.0,,,
Bowdoin C.,661.0,,142.0,,0.0,,519.0,,0.0,,657.0,,138.0,,0.0,,519.0,,0.0,,,
Colby C.,472.0,,22.0,,0.0,,0.0,,450.0,,472.0,,22.0,,0.0,,0.0,,450.0,,,
U. New England,642.0,,433.0,,4.0,,205.0,,0.0,,642.0,,433.0,,4.0,,205.0,,0.0,,,
Maryland,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
Bowie State U.,472.0,,472.0,,0.0,,0.0,,0.0,,472.0,,472.0,,0.0,,0.0,,0.0,,,
Morgan State U.,6200.0,,1439.0,,506.0,,4255.0,,0.0,,6150.0,,1439.0,,456.0,,4255.0,,0.0,,,
Salisbury U.,756.0,,519.0,,224.0,,13.0,,0.0,,640.0,,413.0,,224.0,,3.0,,0.0,,,
Towson U.,1055.0,,197.0,,143.0,,0.0,,715.0,,1055.0,,197.0,,143.0,,0.0,,715.0,,,
U. Baltimore,2791.0,,190.0,,64.0,,441.0,,2096.0,,2653.0,,169.0,,64.0,,342.0,,2078.0,,,
"U. Maryland, Center for Environmental Science",5218.0,,1858.0,,337.0,,1806.0,,1217.0,,3844.0,,1638.0,,131.0,,1318.0,,757.0,,,
"U. Maryland, Baltimore",24008.0,,14910.0,,5515.0,,2823.0,,760.0,,20948.0,,13771.0,,4367.0,,2075.0,,735.0,,,
"U. Maryland, Baltimore County",14630.0,,7994.0,,378.0,,867.0,,5391.0,,14617.0,,7981.0,,378.0,,867.0,,5391.0,,,
"U. Maryland, College Park",47947.0,,23152.0,,4840.0,,5561.0,,14394.0,,41143.0,,20831.0,,4079.0,,3339.0,,12894.0,,,
"U. Maryland, Eastern Shore",232.0,,232.0,,0.0,,0.0,,0.0,,224.0,,224.0,,0.0,,0.0,,0.0,,,
U.S. Naval Academy,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Uniformed Services U. of the Health Sciences,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Private,,,,,,,,,,,,,,,,,,,,,,
Johns Hopkins U.a,93065.0,,49916.0,,11521.0,,29322.0,,2306.0,,75137.0,,44130.0,,9906.0,,19314.0,,1787.0,,,
Massachusetts,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
"U. Massachusetts, Amherst",16629.0,,8141.0,,4368.0,,1811.0,,2309.0,,15222.0,,7280.0,,4348.0,,1375.0,,2219.0,,,
"U. Massachusetts, Boston",6649.0,,3668.0,,150.0,,2071.0,,760.0,,5976.0,,3326.0,,150.0,,1751.0,,749.0,,,
"U. Massachusetts, central office",1914.0,,560.0,,95.0,,93.0,,1166.0,,1405.0,,107.0,,47.0,,85.0,,1166.0,,,
"U. Massachusetts, Dartmouth",1786.0,,859.0,,530.0,,93.0,,304.0,,1755.0,,859.0,,530.0,,93.0,,273.0,,,
"U. Massachusetts, Lowell",5554.0,i,2138.0,i,1093.0,i,1393.0,i,930.0,i,5011.0,,1952.0,,1003.0,,1301.0,,755.0,,,
"U. Massachusetts, Medical School",29422.0,,11830.0,,1906.0,,6112.0,,9574.0,,27944.0,,10920.0,,1906.0,,5544.0,,9574.0,,,
Private,,,,,,,,,,,,,,,,,,,,,,
Amherst C.,34.0,,7.0,,0.0,,27.0,,0.0,,34.0,,7.0,,0.0,,27.0,,0.0,,,
Boston C.,3574.0,i,702.0,i,297.0,i,2044.0,i,531.0,i,2937.0,,445.0,,187.0,,1854.0,,451.0,,,
Boston U.,38420.0,,20316.0,,2551.0,,10877.0,,4676.0,,35355.0,,19608.0,,2548.0,,9282.0,,3917.0,,,
Brandeis U.,4625.0,,2434.0,,589.0,,1272.0,,330.0,,4625.0,,2434.0,,589.0,,1272.0,,330.0,,,
Clark U.,415.0,,283.0,,0.0,,132.0,,0.0,,415.0,,283.0,,0.0,,132.0,,0.0,,,
Emerson C.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Franklin W. Olin C. of Engineering,309.0,,271.0,,0.0,,0.0,,38.0,,309.0,,271.0,,0.0,,0.0,,38.0,,,
Harvard U.,93065.0,,37572.0,,4071.0,,20444.0,,30978.0,,76601.0,,34122.0,,3710.0,,11836.0,,26933.0,,,
Massachusetts Institute of Technology,105608.0,,54930.0,,17721.0,,32351.0,,606.0,,95832.0,,50732.0,,14699.0,,29957.0,,444.0,,,
MGH Institute of Health Professions,1056.0,,1056.0,,0.0,,0.0,,0.0,,1011.0,,1011.0,,0.0,,0.0,,0.0,,,
Mount Holyoke C.,444.0,,422.0,,0.0,,0.0,,22.0,,444.0,,422.0,,0.0,,0.0,,22.0,,,
New England C. of Optometry,7.0,,0.0,,0.0,,7.0,,0.0,,7.0,,0.0,,0.0,,7.0,,0.0,,,
Northeastern U.,16905.0,,8724.0,,2905.0,,4375.0,,901.0,,16614.0,,8712.0,,2905.0,,4096.0,,901.0,,,
Smith C.,1386.0,,657.0,,24.0,,705.0,,0.0,,733.0,,657.0,,15.0,,61.0,,0.0,,,
Suffolk U.,18.0,,18.0,,0.0,,0.0,,0.0,,18.0,,18.0,,0.0,,0.0,,0.0,,,
Tufts U.,20905.0,,10519.0,,1459.0,,8871.0,,56.0,,17326.0,,9534.0,,1417.0,,6319.0,,56.0,,,
Wellesley C.,876.0,,610.0,,25.0,,23.0,,218.0,,654.0,,610.0,,0.0,,19.0,,25.0,,,
Williams C.,154.0,,154.0,,0.0,,0.0,,0.0,,154.0,,154.0,,0.0,,0.0,,0.0,,,
Woods Hole Oceanographic Institution,69515.0,,8629.0,,4228.0,,56618.0,,40.0,,68249.0,,7698.0,,4187.0,,56324.0,,40.0,,,
Worcester Polytechnic Institute,2321.0,,858.0,,864.0,,370.0,,229.0,,2006.0,,720.0,,864.0,,370.0,,52.0,,,
Michigan,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
Central Michigan U.,682.0,,505.0,,52.0,,70.0,,55.0,,652.0,,500.0,,52.0,,45.0,,55.0,,,
Eastern Michigan U.,350.0,,283.0,,2.0,,0.0,,65.0,,349.0,,282.0,,2.0,,0.0,,65.0,,,
Grand Valley State U.,1265.0,,736.0,,0.0,,433.0,,96.0,,1258.0,,736.0,,0.0,,433.0,,89.0,,,
Lake Superior State U.,188.0,,104.0,,0.0,,0.0,,84.0,,123.0,,85.0,,0.0,,0.0,,38.0,,,
Michigan State U.,42405.0,,24995.0,,4724.0,,5129.0,,7557.0,,37127.0,,23716.0,,4472.0,,3284.0,,5655.0,,,
Michigan Technological U.,5926.0,i,2007.0,i,2681.0,i,323.0,i,915.0,i,5361.0,,1814.0,,2588.0,,228.0,,731.0,,,
Oakland U.,1516.0,,1237.0,,112.0,,161.0,,6.0,,1499.0,,1226.0,,112.0,,161.0,,0.0,,,
Saginaw Valley State U.,459.0,,277.0,,6.0,,12.0,,164.0,,223.0,,41.0,,6.0,,12.0,,164.0,,,
"U. Michigan, Ann Arbor",117100.0,,57058.0,,15540.0,,38682.0,,5820.0,,103986.0,,50690.0,,11790.0,,36197.0,,5309.0,,,
"U. Michigan, Dearborn",535.0,,93.0,,420.0,,0.0,,22.0,,422.0,,93.0,,307.0,,0.0,,22.0,,,
Wayne State U.,15803.0,i,8661.0,i,3083.0,i,1694.0,i,2365.0,i,13329.0,,7993.0,,2367.0,,1192.0,,1777.0,,,
Western Michigan U. and Homer Stryker M.D. School of Medicine,3726.0,,2063.0,,280.0,,574.0,,809.0,,2798.0,,1773.0,,142.0,,269.0,,614.0,,,
Private,,,,,,,,,,,,,,,,,,,,,,
Calvin C.,24.0,i,8.0,i,0.0,i,16.0,i,0.0,i,24.0,i,8.0,i,0.0,i,16.0,i,0.0,i,,
Hope C.,22.0,,22.0,,0.0,,0.0,,0.0,,22.0,,22.0,,0.0,,0.0,,0.0,,,
Kettering U.,236.0,,0.0,,1.0,,0.0,,235.0,,236.0,,0.0,,1.0,,0.0,,235.0,,,
Lawrence Technological U.,165.0,,165.0,,0.0,,0.0,,0.0,,165.0,,165.0,,0.0,,0.0,,0.0,,,
U. Detroit Mercy,45.0,,45.0,,0.0,,0.0,,0.0,,45.0,,45.0,,0.0,,0.0,,0.0,,,
Van Andel Institute,3216.0,i,1690.0,i,501.0,i,776.0,i,249.0,i,2828.0,i,1531.0,i,431.0,i,653.0,i,213.0,i,,
Minnesota,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
"Minnesota State U., Mankato",326.0,i,141.0,i,48.0,i,47.0,i,90.0,i,290.0,i,129.0,i,42.0,i,41.0,i,78.0,i,,
St. Cloud State U.,120.0,,71.0,,49.0,,0.0,,0.0,,117.0,,68.0,,49.0,,0.0,,0.0,,,
"U. Minnesota, Duluth",1711.0,,1212.0,,121.0,,0.0,,378.0,,1228.0,,794.0,,121.0,,0.0,,313.0,,,
"U. Minnesota, Morris",130.0,,52.0,,0.0,,0.0,,78.0,,78.0,,0.0,,0.0,,0.0,,78.0,,,
"U. Minnesota, Twin Cities",89020.0,,48950.0,,22315.0,,1790.0,,15965.0,,75857.0,,45791.0,,15342.0,,1688.0,,13036.0,,,
Private,,,,,,,,,,,,,,,,,,,,,,
Augsburg C.,102.0,,102.0,,0.0,,0.0,,0.0,,102.0,,102.0,,0.0,,0.0,,0.0,,,
C. of Saint Benedict,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Carleton C.,356.0,,222.0,,0.0,,77.0,,57.0,,356.0,,222.0,,0.0,,77.0,,57.0,,,
Macalester C.,94.0,,90.0,,0.0,,4.0,,0.0,,66.0,,62.0,,0.0,,4.0,,0.0,,,
"Saint John's U., Collegeville",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
St. Olaf C.,71.0,,71.0,,0.0,,0.0,,0.0,,66.0,,66.0,,0.0,,0.0,,0.0,,,
Mississippi,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
Alcorn State U.,764.0,,413.0,,121.0,,178.0,,52.0,,413.0,,413.0,,0.0,,0.0,,0.0,,,
Jackson State U.,5086.0,,3809.0,,0.0,,12.0,,1265.0,,5001.0,,3782.0,,0.0,,12.0,,1207.0,,,
Mississippi State U.,21354.0,,3268.0,,5411.0,,3791.0,,8884.0,,20221.0,,2404.0,,5276.0,,3784.0,,8757.0,,,
U. Mississippi,19226.0,,7348.0,,8009.0,,2619.0,,1250.0,,13228.0,,7316.0,,2610.0,,2243.0,,1059.0,,,
U. Southern Mississippi,25162.0,,5999.0,,1793.0,,1219.0,,16151.0,,20214.0,,3890.0,,757.0,,41.0,,15526.0,,,
Private,,,,,,,,,,,,,,,,,,,,,,
Tougaloo C.,555.0,,555.0,,0.0,,0.0,,0.0,,555.0,,555.0,,0.0,,0.0,,0.0,,,
Missouri,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
"Lincoln U., Jefferson City",352.0,,342.0,,0.0,,0.0,,10.0,,352.0,,342.0,,0.0,,0.0,,10.0,,,
Missouri State U.,760.0,,484.0,,24.0,,0.0,,252.0,,714.0,,457.0,,5.0,,0.0,,252.0,,,
Missouri U. of Science and Technology,10712.0,,2235.0,,6242.0,,1473.0,,762.0,,3250.0,,1269.0,,1071.0,,309.0,,601.0,,,
"U. Missouri, Columbia",33777.0,,10846.0,,8025.0,,10781.0,,4125.0,,15170.0,,9405.0,,2596.0,,1073.0,,2096.0,,,
"U. Missouri, Kansas City",4452.0,,1584.0,,1134.0,,1434.0,,300.0,,2310.0,,1561.0,,399.0,,203.0,,147.0,,,
"U. Missouri, Saint Louis",2309.0,,443.0,,200.0,,1188.0,,478.0,,1268.0,,432.0,,36.0,,528.0,,272.0,,,
Private,,,,,,,,,,,,,,,,,,,,,,
A. T. Still U.,203.0,,203.0,,0.0,,0.0,,0.0,,179.0,,179.0,,0.0,,0.0,,0.0,,,
Saint Louis U.,4454.0,,3333.0,,716.0,,384.0,,21.0,,4282.0,,3256.0,,635.0,,370.0,,21.0,,,
"Washington U., Saint Louis",39257.0,,25793.0,,5678.0,,6127.0,,1659.0,,34794.0,,23514.0,,4631.0,,5048.0,,1601.0,,,
Montana,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
"Montana State U., Bozeman",12773.0,,7358.0,,1106.0,,3318.0,,991.0,,10775.0,,6207.0,,933.0,,2799.0,,836.0,,,
Montana Tech of U. Montana,1278.0,,981.0,,0.0,,155.0,,142.0,,1091.0,,963.0,,0.0,,118.0,,10.0,,,
"U. Montana, Missoula",4458.0,i,2652.0,i,317.0,i,329.0,i,1160.0,i,3681.0,,2511.0,,96.0,,64.0,,1010.0,,,
Private,,,,,,,,,,,,,,,,,,,,,,
Salish Kootenai C.,54.0,,54.0,,0.0,,0.0,,0.0,,54.0,,54.0,,0.0,,0.0,,0.0,,,
Nebraska,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
"U. Nebraska, Kearney",513.0,,266.0,,0.0,,0.0,,247.0,,503.0,,266.0,,0.0,,0.0,,237.0,,,
"U. Nebraska, Lincoln",21684.0,,8683.0,,3292.0,,2620.0,,7089.0,,21192.0,,8606.0,,2939.0,,2558.0,,7089.0,,,
"U. Nebraska, Medical Center",11476.0,i,5195.0,i,1696.0,i,3322.0,i,1263.0,i,9385.0,,4816.0,,1101.0,,2609.0,,859.0,,,
"U. Nebraska, Omaha",2791.0,i,2281.0,i,84.0,i,188.0,i,238.0,i,2745.0,,2244.0,,81.0,,185.0,,235.0,,,
Private,,,,,,,,,,,,,,,,,,,,,,
Creighton U.,3412.0,i,2167.0,i,21.0,i,1224.0,i,0.0,i,3412.0,i,2167.0,i,21.0,i,1224.0,i,0.0,i,,
Doane C.,390.0,,390.0,,0.0,,0.0,,0.0,,390.0,,390.0,,0.0,,0.0,,0.0,,,
Nevada,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
Desert Research Institute,5630.0,,3142.0,,1671.0,,480.0,,337.0,,5331.0,,3057.0,,1661.0,,302.0,,311.0,,,
"U. Nevada, Las Vegas",10243.0,,3957.0,,2999.0,,12.0,,3275.0,,10243.0,,3957.0,,2999.0,,12.0,,3275.0,,,
"U. Nevada, Reno",11128.0,,4014.0,,1848.0,,2539.0,,2727.0,,10990.0,,3992.0,,1732.0,,2539.0,,2727.0,,,
Private,,,,,,,,,,,,,,,,,,,,,,
Roseman U. of Health Sciences,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
New Hampshire,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
Keene State C.,393.0,,393.0,,0.0,,0.0,,0.0,,393.0,,393.0,,0.0,,0.0,,0.0,,,
Plymouth State U.,847.0,,847.0,,0.0,,0.0,,0.0,,847.0,,847.0,,0.0,,0.0,,0.0,,,
U. New Hampshire,29862.0,,8247.0,,5512.0,,9411.0,,6692.0,,21586.0,,8227.0,,1621.0,,6872.0,,4866.0,,,
Private,,,,,,,,,,,,,,,,,,,,,,
Dartmouth C.,19152.0,,9597.0,,5935.0,,3058.0,,562.0,,17096.0,,8644.0,,5817.0,,2421.0,,214.0,,,
New Jersey,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
Kean U.,159.0,,159.0,,0.0,,0.0,,0.0,,149.0,,149.0,,0.0,,0.0,,0.0,,,
Montclair State U.,1384.0,,878.0,,168.0,,21.0,,317.0,,518.0,,474.0,,0.0,,17.0,,27.0,,,
New Jersey Institute of Technology,31219.0,,2351.0,,550.0,,471.0,,27847.0,,31176.0,,2308.0,,550.0,,471.0,,27847.0,,,
Rowan U.,510.0,,477.0,,0.0,,5.0,,28.0,,505.0,,477.0,,0.0,,0.0,,28.0,,,
"Rutgers, State U. New Jersey, Camden",624.0,,577.0,,0.0,,0.0,,47.0,,624.0,,577.0,,0.0,,0.0,,47.0,,,
"Rutgers, State U. New Jersey, New Brunswick",57662.0,,25146.0,,3425.0,,13297.0,,15794.0,,56643.0,,24857.0,,3425.0,,12805.0,,15556.0,,,
"Rutgers, State U. New Jersey, Newark",657.0,,161.0,,81.0,,227.0,,188.0,,633.0,,161.0,,81.0,,227.0,,164.0,,,
Stockton U.,223.0,,151.0,,8.0,,64.0,,0.0,,132.0,,109.0,,0.0,,23.0,,0.0,,,
Private,,,,,,,,,,,,,,,,,,,,,,
Princeton U.,22241.0,,16669.0,,2556.0,,2211.0,,805.0,,19898.0,,14749.0,,2556.0,,2070.0,,523.0,,,
Rider U.,134.0,,129.0,,0.0,,5.0,,0.0,,101.0,,101.0,,0.0,,0.0,,0.0,,,
Seton Hall U.,257.0,,257.0,,0.0,,0.0,,0.0,,75.0,,75.0,,0.0,,0.0,,0.0,,,
Stevens Institute of Technology,5204.0,,945.0,,787.0,,154.0,,3318.0,,5060.0,,945.0,,779.0,,142.0,,3194.0,,,
New Mexico,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
New Mexico Institute of Mining and Technology,6437.0,,1829.0,,3961.0,,176.0,,471.0,,6437.0,,1829.0,,3961.0,,176.0,,471.0,,,
New Mexico State U.,8796.0,,4001.0,,4488.0,,192.0,,115.0,,8584.0,,3985.0,,4292.0,,192.0,,115.0,,,
U. New Mexico,36090.0,,14366.0,,9108.0,,5758.0,,6858.0,,34943.0,,13325.0,,9108.0,,5653.0,,6857.0,,,
New York,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
"CUNY, Advanced Science Research Center",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
"CUNY, Baruch C.",148.0,,39.0,,25.0,,0.0,,84.0,,114.0,,30.0,,0.0,,0.0,,84.0,,,
"CUNY, Brooklyn C.",602.0,,587.0,,0.0,,15.0,,0.0,,600.0,,587.0,,0.0,,13.0,,0.0,,,
"CUNY, C. Staten Island",423.0,,423.0,,0.0,,0.0,,0.0,,148.0,,148.0,,0.0,,0.0,,0.0,,,
"CUNY, City C.",4054.0,,3005.0,,376.0,,309.0,,364.0,,3462.0,,2477.0,,376.0,,308.0,,301.0,,,
"CUNY, Graduate Center",749.0,,198.0,,0.0,,455.0,,96.0,,272.0,,154.0,,0.0,,118.0,,0.0,,,
"CUNY, Hunter C.",3031.0,,1972.0,,87.0,,959.0,,13.0,,2412.0,,1907.0,,0.0,,505.0,,0.0,,,
"CUNY, John Jay C. of Criminal Justice",676.0,,653.0,,4.0,,19.0,,0.0,,604.0,,597.0,,4.0,,3.0,,0.0,,,
"CUNY, Lehman C.",154.0,,154.0,,0.0,,0.0,,0.0,,154.0,,154.0,,0.0,,0.0,,0.0,,,
"CUNY, Medgar Evers C.",34.0,,34.0,,0.0,,0.0,,0.0,,34.0,,34.0,,0.0,,0.0,,0.0,,,
"CUNY, Queens C.",2766.0,,1044.0,,109.0,,1613.0,,0.0,,2766.0,,1044.0,,109.0,,1613.0,,0.0,,,
"CUNY, system office",887.0,,60.0,,0.0,,0.0,,827.0,,827.0,,0.0,,0.0,,0.0,,827.0,,,
"CUNY, York C.",68.0,,68.0,,0.0,,0.0,,0.0,,68.0,,68.0,,0.0,,0.0,,0.0,,,
"SUNY, Binghamton U.",522.0,,207.0,,202.0,,0.0,,113.0,,519.0,,204.0,,202.0,,0.0,,113.0,,,
"SUNY, Buffalo State",295.0,,275.0,,0.0,,0.0,,20.0,,295.0,,275.0,,0.0,,0.0,,20.0,,,
"SUNY, C. Brockport",347.0,,271.0,,0.0,,0.0,,76.0,,323.0,,247.0,,0.0,,0.0,,76.0,,,
"SUNY, C. of Environmental Science and Forestry",3358.0,,1126.0,,24.0,,349.0,,1859.0,,3358.0,,1126.0,,24.0,,349.0,,1859.0,,,
"SUNY, C. of Optometry",1.0,,1.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
"SUNY, C. Plattsburgh",106.0,,106.0,,0.0,,0.0,,0.0,,106.0,,106.0,,0.0,,0.0,,0.0,,,
"SUNY, Downstate Medical Center",2523.0,,2278.0,,122.0,,109.0,,14.0,,2421.0,,2263.0,,122.0,,36.0,,0.0,,,
"SUNY, Farmingdale State C.",371.0,,371.0,,0.0,,0.0,,0.0,,371.0,,371.0,,0.0,,0.0,,0.0,,,
"SUNY, Geneseo",424.0,,424.0,,0.0,,0.0,,0.0,,424.0,,424.0,,0.0,,0.0,,0.0,,,
"SUNY, Polytechnic Institute",3793.0,,2329.0,,932.0,,149.0,,383.0,,3554.0,,2238.0,,932.0,,1.0,,383.0,,,
"SUNY, Stony Brook U.",17039.0,,6986.0,,2849.0,,7164.0,,40.0,,14537.0,,5804.0,,2760.0,,5972.0,,1.0,,,
"SUNY, U. Albany",4874.0,,3020.0,,380.0,,497.0,,977.0,,4813.0,,2969.0,,380.0,,496.0,,968.0,,,
"SUNY, U. Buffalo",14119.0,,8494.0,,661.0,,1754.0,,3210.0,,13228.0,,7888.0,,561.0,,1604.0,,3175.0,,,
"SUNY, Upstate Medical U.",3006.0,,1579.0,,849.0,,62.0,,516.0,,2943.0,,1522.0,,849.0,,62.0,,510.0,,,
U.S. Military Academy,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Private,,,,,,,,,,,,,,,,,,,,,,
