Rank,Institution,HHS R&D expenditures,Unnamed: 3,Computer sciences,Unnamed: 5,Environmental sciences,Unnamed: 7,Life sciences,Unnamed: 9,Mathematical sciences,Unnamed: 11,Physical sciences,Unnamed: 13,Psychology,Unnamed: 15,Social sciences,Unnamed: 17,"Sciences, nec",Unnamed: 19,Engineering,Unnamed: 21,All non-S&E fields,Unnamed: 23
261.0,"California State U., San Marcos",2297,,0,,0,,2297,,0,,0,,0,,0,,0,,0,,0,
262.0,Fordham U.,2296,,0,,0,,267,,0,,0,,1135,,31,,0,,0,,863,
263.0,A. T. Still U.,2252,,0,,0,,2252,,0,,0,,0,,0,,0,,0,,0,
264.0,U. Southern Maine,2246,i,7,i,5,i,1995,i,5,i,71,i,65,i,41,i,0,i,30,i,27,i
265.0,"Columbia U., Teachers C.",2243,,0,,0,,668,,0,,0,,1575,,0,,0,,0,,0,
266.0,"U. Puerto Rico, Mayaguez",2167,,0,,107,,611,,0,,797,,0,,0,,0,,652,,0,
267.0,Woods Hole Oceanographic Institution,2100,,0,,2095,,0,,0,,0,,0,,0,,0,,5,,0,
268.0,"U. Alaska, Anchorage",2079,,0,,422,,1005,,0,,0,,0,,126,,441,,0,,85,
269.0,"California State U., Fullerton",2055,,0,,0,,1979,,0,,76,,0,,0,,0,,0,,0,
270.0,Southern Methodist U.,2007,,3,,0,,1061,,17,,150,,513,,41,,65,,58,,99,
271.0,"California Polytechnic State U., San Luis Obispo",1987,,0,,0,,1987,,0,,0,,0,,0,,0,,0,,0,
272.0,Mercer U.,1975,,0,,0,,1959,,0,,0,,0,,16,,0,,0,,0,
273.0,South Dakota State U.,1946,,0,,0,,1534,,0,,372,,0,,5,,0,,0,,35,
274.0,"U. Nebraska, Omaha",1940,,625,,0,,479,,75,,0,,185,,26,,0,,0,,550,
275.0,Idaho State U.,1932,,0,,0,,1582,,0,,0,,350,,0,,0,,0,,0,
276.0,"U. Tennessee, Knoxville, Institute of Agriculture",1896,,0,,0,,1766,,0,,0,,0,,64,,0,,66,,0,
277.0,"SUNY, Polytechnic Institute",1877,,0,,0,,1877,,0,,0,,0,,0,,0,,0,,0,
278.0,Rochester Institute of Technology,1807,,50,,0,,0,,196,,398,,0,,5,,0,,349,,809,
279.0,Wichita State U.,1760,,0,,0,,267,,0,,409,,169,,0,,0,,0,,915,
280.0,"U. Missouri, Saint Louis",1753,,0,,0,,423,,0,,451,,583,,278,,0,,0,,18,
281.0,U. Maine,1726,,0,,15,,1012,,0,,110,,0,,220,,39,,326,,4,
282.0,Bowling Green State U.,1721,,0,,0,,89,,0,,664,,41,,927,,0,,0,,0,
283.0,Morgan State U.,1690,,0,,0,,1530,,0,,8,,0,,152,,0,,0,,0,
284.0,"California State U., San Bernardino",1628,,0,,0,,454,,0,,0,,1089,,85,,0,,0,,0,
285.0,Rhode Island C.,1595,,0,,0,,173,,0,,80,,285,,0,,0,,0,,1057,
286.0,Morehouse C.,1589,,0,,0,,9,,0,,1324,,0,,0,,256,,0,,0,
287.0,"California State U., Los Angeles",1571,,0,,0,,574,,0,,641,,283,,12,,0,,61,,0,
288.0,Wesleyan U.,1505,,0,,0,,1135,,0,,206,,164,,0,,0,,0,,0,
289.0,Georgia Southern U.,1487,,0,,0,,1482,,0,,0,,0,,0,,0,,0,,5,
290.0,New York Institute of Technology,1472,,0,,0,,1276,,0,,0,,0,,0,,0,,196,,0,
291.0,Western Michigan U. and Homer Stryker M.D. School of Medicine,1456,,0,,0,,699,,0,,0,,38,,0,,0,,65,,654,
292.0,Stevens Institute of Technology,1455,,598,,0,,100,,0,,0,,0,,0,,0,,738,,19,
293.0,"California State U., Dominguez Hills",1448,,0,,0,,65,,0,,457,,0,,109,,0,,0,,817,
294.0,U. Akron,1437,,0,,0,,270,,0,,328,,330,,1,,0,,435,,73,
295.0,"Touro U., Vallejo",1332,,0,,0,,1332,,0,,0,,0,,0,,0,,0,,0,
296.0,Colorado School of Mines,1324,,0,,0,,0,,10,,550,,0,,0,,0,,764,,0,
297.0,Wellesley C.,1270,,73,,0,,675,,0,,40,,0,,0,,482,,0,,0,
298.0,U. Baltimore,1227,,0,,0,,0,,0,,0,,0,,1227,,0,,0,,0,
299.0,Salus U.,1198,,0,,0,,1198,,0,,0,,0,,0,,0,,0,,0,
300.0,C. of William and Mary and Virginia Institute of Marine Science,1189,,0,,383,,405,,0,,153,,151,,89,,0,,0,,8,
301.0,Plymouth State U.,1140,,0,,57,,416,,0,,0,,0,,0,,0,,0,,667,
302.0,"U. Louisiana, Monroe",1138,,0,,0,,1138,,0,,0,,0,,0,,0,,0,,0,
303.0,Tougaloo C.,1136,,0,,0,,1136,,0,,0,,0,,0,,0,,0,,0,
304.0,"CUNY, Lehman C.",1101,,0,,0,,726,,0,,375,,0,,0,,0,,0,,0,
305.0,Texas Southern U.,1095,,0,,0,,961,,0,,134,,0,,0,,0,,0,,0,
306.0,Albany C. of Pharmacy and Health Sciences,1065,,0,,0,,1065,,0,,0,,0,,0,,0,,0,,0,
307.0,"CUNY, John Jay C. of Criminal Justice",1058,,133,,0,,126,,0,,0,,700,,37,,0,,0,,62,
308.0,Illinois State U.,1057,,0,,0,,1057,,0,,0,,0,,0,,0,,0,,0,
309.0,Grand Valley State U.,1006,,0,,91,,228,,0,,297,,0,,390,,0,,0,,0,
310.0,Texas A&M U.-Kingsville,998,,0,,0,,874,,0,,0,,120,,0,,0,,4,,0,
311.0,Bowdoin C.,995,,0,,0,,855,,0,,140,,0,,0,,0,,0,,0,
312.0,Southern Connecticut State U.,994,i,4,i,2,i,895,i,3,i,31,i,29,i,19,i,0,i,0,i,11,i
313.0,U. Wisconsin-Stevens Point,991,i,3,i,3,i,868,i,2,i,33,i,31,i,19,i,0,i,20,i,12,i
314.0,Davidson C.,982,,0,,0,,213,,0,,15,,494,,260,,0,,0,,0,
315.0,Norwich U.,978,,0,,0,,928,,48,,0,,2,,0,,0,,0,,0,
316.0,Western U. of Health Sciences,945,,0,,0,,838,,0,,0,,0,,0,,0,,0,,107,
317.0,U. of the Sciences Philadelphia,944,,0,,0,,645,,0,,38,,0,,16,,0,,0,,245,
318.0,"U. Texas, Brownsville",942,,0,,0,,917,,0,,25,,0,,0,,0,,0,,0,
319.0,"U. North Texas, Denton",935,,371,,0,,9,,0,,31,,505,,19,,0,,0,,0,
320.0,Providence C.,912,,0,,0,,532,,0,,111,,269,,0,,0,,0,,0,
321.0,Northern Kentucky U.,902,,8,,0,,281,,0,,288,,287,,0,,0,,0,,38,
322.0,"U. Puerto Rico, Cayey",889,,0,,0,,0,,0,,60,,0,,0,,829,,0,,0,
323.0,Michigan Technological U.,886,,0,,16,,131,,7,,76,,32,,1,,0,,623,,0,
324.0,Barnard C.,884,,0,,49,,151,,0,,37,,647,,0,,0,,0,,0,
325.0,Salisbury U.,874,,0,,0,,353,,0,,0,,0,,0,,0,,0,,521,
326.0,Smith C.,867,,238,,0,,365,,0,,62,,92,,0,,0,,110,,0,
327.0,Northern Illinois U.,852,,146,,0,,314,,43,,93,,249,,7,,0,,0,,0,
328.0,Morehead State U.,850,,0,,0,,232,,0,,0,,475,,0,,0,,0,,143,
329.0,Baylor U.,840,,128,,0,,351,,0,,113,,164,,21,,0,,63,,0,
330.0,U. Guam,838,,0,,0,,838,,0,,0,,0,,0,,0,,0,,0,
331.0,San Jose State U.,832,,0,,0,,525,,0,,209,,0,,0,,0,,0,,98,
332.0,Middlebury C.,824,,0,,54,,549,,0,,116,,105,,0,,0,,0,,0,
333.0,Tennessee State U.,822,,0,,0,,822,,0,,0,,0,,0,,0,,0,,0,
334.0,"California State U., Fresno",820,,0,,0,,785,,0,,16,,0,,19,,0,,0,,0,
335.0,North Carolina Agricultural and Technical State U.,812,,0,,0,,417,,0,,0,,29,,15,,176,,175,,0,
336.0,Bates C.,810,,0,,0,,509,,0,,173,,128,,0,,0,,0,,0,
337.0,"U. North Carolina, Wilmington",791,,0,,0,,525,,0,,35,,146,,10,,0,,0,,75,
338.0,Ball State U.,789,,0,,0,,657,,0,,0,,0,,0,,0,,0,,132,
339.0,Gallaudet U.,774,,690,,0,,13,,0,,0,,0,,39,,32,,0,,0,
340.0,Keck Graduate Institute,750,,0,,0,,750,,0,,0,,0,,0,,0,,0,,0,
341.0,Seton Hall U.,736,,0,,0,,736,,0,,0,,0,,0,,0,,0,,0,
342.0,Albany State U.,731,,0,,0,,246,,0,,482,,3,,0,,0,,0,,0,
343.0,Mount Holyoke C.,724,,0,,0,,578,,77,,0,,69,,0,,0,,0,,0,
344.0,Central Michigan U.,718,,0,,0,,542,,0,,94,,82,,0,,0,,0,,0,
345.0,Milwaukee School of Engineering,695,,0,,0,,555,,0,,54,,0,,0,,0,,86,,0,
345.0,Reed C.,695,,0,,0,,279,,0,,0,,416,,0,,0,,0,,0,
347.0,U. Western States,690,,0,,0,,690,,0,,0,,0,,0,,0,,0,,0,
348.0,"Southern Illinois U., Edwardsville",686,,0,,0,,677,,0,,0,,0,,0,,9,,0,,0,
349.0,Clark U.,660,,0,,0,,155,,0,,132,,373,,0,,0,,0,,0,
350.0,U. Detroit Mercy,627,,0,,0,,605,,0,,22,,0,,0,,0,,0,,0,
351.0,Fayetteville State U.,613,,0,,0,,470,,0,,0,,0,,143,,0,,0,,0,
352.0,"U. Maryland, Eastern Shore",607,,0,,0,,607,,0,,0,,0,,0,,0,,0,,0,
353.0,Savannah State U.,593,,0,,0,,593,,0,,0,,0,,0,,0,,0,,0,
354.0,Chapman U.,579,,0,,0,,111,,0,,0,,416,,0,,0,,0,,52,
355.0,"California State U., Sacramento",565,,0,,0,,418,,0,,0,,0,,0,,147,,0,,0,
356.0,New Mexico Institute of Mining and Technology,559,,0,,0,,276,,0,,249,,0,,0,,0,,34,,0,
356.0,"St. John's U., Manhattan",559,,0,,0,,350,,0,,45,,164,,0,,0,,0,,0,
358.0,"Palmer C. of Chiropractic, Davenport",558,,0,,0,,558,,0,,0,,0,,0,,0,,0,,0,
359.0,U. Central Arkansas,550,,86,,0,,293,,0,,133,,0,,0,,0,,0,,38,
360.0,Bastyr U.,540,,0,,0,,540,,0,,0,,0,,0,,0,,0,,0,
361.0,Eastern Michigan U.,532,,0,,0,,195,,0,,0,,236,,101,,0,,0,,0,
362.0,U. del Este,530,,0,,0,,530,,0,,0,,0,,0,,0,,0,,0,
363.0,"U. Oklahoma, Tulsa",523,,0,,0,,492,,0,,0,,13,,5,,0,,0,,13,
364.0,Missouri U. of Science and Technology,504,,0,,31,,0,,0,,292,,0,,0,,0,,181,,0,
364.0,U. Texas Pan American,504,,13,,0,,388,,0,,103,,0,,0,,0,,0,,0,
366.0,U. Wisconsin-Oshkosh,501,i,2,i,3,i,446,i,1,i,12,i,15,i,9,i,0,i,7,i,6,i
367.0,Colby C.,500,,0,,0,,302,,0,,82,,116,,0,,0,,0,,0,
368.0,U. Colorado Colorado Springs,498,,0,,0,,0,,0,,0,,498,,0,,0,,0,,0,
369.0,Swarthmore C.,497,,0,,0,,205,,0,,116,,176,,0,,0,,0,,0,
370.0,Furman U.,492,,0,,0,,100,,0,,278,,53,,0,,0,,0,,61,
370.0,Hawaii Pacific U.,492,,0,,0,,398,,0,,0,,0,,94,,0,,0,,0,
372.0,U. Central Oklahoma,489,,0,,0,,0,,42,,0,,0,,0,,0,,353,,94,
373.0,Florida Gulf Coast U.,481,,0,,0,,481,,0,,0,,0,,0,,0,,0,,0,
374.0,U. of the Pacific,474,,0,,0,,102,,0,,0,,0,,0,,0,,0,,372,
375.0,U. Tulsa,473,,197,,0,,0,,37,,2,,236,,0,,0,,1,,0,
376.0,"CUNY, Medgar Evers C.",471,,0,,0,,471,,0,,0,,0,,0,,0,,0,,0,
377.0,"Indiana U.-Purdue U., Fort Wayne",457,,0,,0,,265,,0,,0,,164,,0,,0,,0,,28,
378.0,"Arkansas State U., Jonesboro",455,,133,,0,,148,,0,,174,,0,,0,,0,,0,,0,
379.0,U. New Orleans,449,,0,,0,,8,,0,,46,,395,,0,,0,,0,,0,
380.0,Loyola Marymount U.,439,,0,,0,,0,,0,,93,,339,,7,,0,,0,,0,
381.0,U. West Florida,430,,0,,0,,102,,0,,141,,81,,0,,0,,0,,106,
382.0,Eastern Kentucky U.,427,,0,,0,,350,,0,,27,,0,,0,,0,,0,,50,
382.0,Middle Tennessee State U.,427,,31,,0,,396,,0,,0,,0,,0,,0,,0,,0,
384.0,Midwestern U.,426,,0,,0,,426,,0,,0,,0,,0,,0,,0,,0,
385.0,James Madison U.,425,,0,,0,,371,,0,,0,,0,,54,,0,,0,,0,
386.0,New England C. of Optometry,419,,0,,0,,419,,0,,0,,0,,0,,0,,0,,0,
387.0,U. Richmond,412,,0,,0,,122,,0,,89,,0,,0,,0,,0,,201,
388.0,Western Washington U.,411,,0,,0,,13,,0,,148,,163,,87,,0,,0,,0,
389.0,Emerson C.,410,,0,,0,,410,,0,,0,,0,,0,,0,,0,,0,
390.0,"CUNY, Graduate Center",407,,0,,0,,362,,0,,0,,0,,42,,0,,0,,3,
391.0,Montana Tech of U. Montana,401,,0,,53,,258,,0,,90,,0,,0,,0,,0,,0,
391.0,Pacific U.,401,,0,,0,,90,,0,,0,,186,,0,,0,,0,,125,
393.0,Elizabeth City State U.,395,,0,,0,,0,,0,,395,,0,,0,,0,,0,,0,
394.0,Louisiana Tech U.,393,,139,,0,,135,,0,,11,,0,,0,,0,,108,,0,
395.0,Western Kentucky U.,383,,0,,0,,318,,0,,55,,10,,0,,0,,0,,0,
396.0,"SUNY, C. of Environmental Science and Forestry",380,,0,,0,,380,,0,,0,,0,,0,,0,,0,,0,
397.0,"Rutgers, State U. New Jersey, Camden",379,,0,,0,,257,,0,,0,,112,,10,,0,,0,,0,
398.0,U. of the District of Columbia,369,,0,,0,,369,,0,,0,,0,,0,,0,,0,,0,
399.0,Barry U.,364,,0,,0,,264,,0,,0,,0,,0,,0,,0,,100,
400.0,Amherst C.,363,,0,,0,,209,,0,,0,,51,,103,,0,,0,,0,
401.0,Keene State C.,361,,0,,0,,361,,0,,0,,0,,0,,0,,0,,0,
402.0,"U. Arkansas, Little Rock",360,,99,,0,,261,,0,,0,,0,,0,,0,,0,,0,
403.0,Missouri State U.,354,,0,,0,,184,,0,,65,,0,,105,,0,,0,,0,
404.0,"CUNY, York C.",343,,0,,0,,22,,0,,121,,0,,0,,0,,0,,200,
405.0,Appalachian State U.,339,,0,,0,,201,,0,,0,,138,,0,,0,,0,,0,
406.0,Alcorn State U.,335,,0,,0,,335,,0,,0,,0,,0,,0,,0,,0,
407.0,Bryn Mawr C.,333,,0,,0,,45,,0,,115,,173,,0,,0,,0,,0,
408.0,Black Hills State U.,328,,0,,0,,328,,0,,0,,0,,0,,0,,0,,0,
409.0,Grambling State U.,323,,0,,0,,0,,0,,323,,0,,0,,0,,0,,0,
410.0,Franklin and Marshall C.,321,,0,,0,,321,,0,,0,,0,,0,,0,,0,,0,
411.0,"Augustana C., Sioux Falls",313,,0,,0,,299,,0,,0,,0,,0,,0,,0,,14,
411.0,Pace U.,313,,0,,0,,270,,0,,43,,0,,0,,0,,0,,0,
413.0,Villanova U.,310,,0,,0,,193,,0,,0,,46,,0,,0,,71,,0,
414.0,U. Dayton,308,,0,,0,,308,,0,,0,,0,,0,,0,,0,,0,
415.0,Alabama State U.,304,,0,,0,,304,,0,,0,,0,,0,,0,,0,,0,
416.0,St. Edward's U.,300,,0,,0,,0,,0,,300,,0,,0,,0,,0,,0,
417.0,Shaw U.,298,i,1,i,0,i,194,i,2,i,53,i,33,i,9,i,0,i,0,i,6,i
418.0,New School,296,,0,,0,,0,,0,,0,,296,,0,,0,,0,,0,
419.0,"U. Alabama, Huntsville",289,,97,,50,,28,,0,,0,,0,,114,,0,,0,,0,
420.0,National U.,288,,0,,0,,288,,0,,0,,0,,0,,0,,0,,0,
421.0,U. Northern Colorado,276,,0,,0,,254,,0,,0,,22,,0,,0,,0,,0,
422.0,Clarkson U.,259,,0,,0,,211,,0,,31,,0,,0,,0,,17,,0,
423.0,"SUNY, Buffalo State",255,,0,,43,,27,,0,,0,,22,,163,,0,,0,,0,
424.0,"Trinity C., Hartford",252,,0,,0,,252,,0,,0,,0,,0,,0,,0,,0,
425.0,"Memorial Sloan Kettering Cancer Center, Louis V. Gerstner Jr. Graduate S. of Biomedical Sciences",250,,0,,0,,250,,0,,0,,0,,0,,0,,0,,0,
426.0,Kennesaw State U.,246,,0,,0,,203,,0,,43,,0,,0,,0,,0,,0,
427.0,"Oklahoma State U., Center for Health Sciences",245,,0,,0,,245,,0,,0,,0,,0,,0,,0,,0,
427.0,"Southern U. and A&M C., Baton Rouge",245,,0,,49,,125,,0,,71,,0,,0,,0,,0,,0,
429.0,"U. Massachusetts, central office",243,,0,,0,,85,,0,,0,,0,,0,,0,,0,,158,
430.0,Montclair State U.,239,,0,,0,,215,,17,,7,,0,,0,,0,,0,,0,
430.0,Wheeling Jesuit U.,239,,0,,0,,0,,0,,0,,0,,0,,0,,0,,239,
432.0,Lewis and Clark C.,236,,0,,0,,91,,0,,145,,0,,0,,0,,0,,0,
433.0,"U. Arkansas, Pine Bluff",231,,0,,0,,0,,0,,231,,0,,0,,0,,0,,0,
434.0,Norfolk State U.,227,,0,,0,,94,,0,,0,,0,,0,,0,,133,,0,
434.0,"U. South Carolina, Beaufort",227,,0,,0,,227,,0,,0,,0,,0,,0,,0,,0,
436.0,Florida Institute of Technology,226,,32,,0,,19,,0,,0,,175,,0,,0,,0,,0,
437.0,Spelman C.,225,,0,,0,,84,,0,,8,,133,,0,,0,,0,,0,
438.0,Marshall B. Ketchum U.,224,,0,,0,,224,,0,,0,,0,,0,,0,,0,,0,
439.0,U. San Francisco,220,,0,,0,,220,,0,,0,,0,,0,,0,,0,,0,
440.0,Colgate U.,214,,0,,0,,203,,0,,0,,0,,11,,0,,0,,0,
441.0,Pomona C.,213,,0,,0,,185,,0,,28,,0,,0,,0,,0,,0,
441.0,Prairie View A&M U.,213,,0,,0,,146,,0,,44,,0,,0,,0,,0,,23,
443.0,Calvin C.,211,i,0,i,0,i,199,i,0,i,12,i,0,i,0,i,0,i,0,i,0,i
444.0,Claflin U.,205,,0,,0,,30,,0,,175,,0,,0,,0,,0,,0,
445.0,Seattle Pacific U.,198,,0,,0,,0,,0,,0,,133,,0,,0,,0,,65,
446.0,"CUNY, C. Staten Island",195,,0,,0,,26,,0,,151,,0,,18,,0,,0,,0,
446.0,Lafayette C.,195,,0,,0,,62,,0,,131,,0,,0,,0,,0,,2,
448.0,Philadelphia C. of Osteopathic Medicine,192,,0,,0,,150,,0,,0,,42,,0,,0,,0,,0,
448.0,"Union C., Schenectady",192,,0,,0,,0,,1,,0,,125,,38,,0,,28,,0,
450.0,"U. Massachusetts, Dartmouth",190,,0,,0,,107,,0,,0,,20,,0,,0,,63,,0,
451.0,"CUNY, Advanced Science Research Center",187,,0,,0,,187,,0,,0,,0,,0,,0,,0,,0,
451.0,Quinnipiac U.,187,i,0,i,0,i,117,i,1,i,22,i,13,i,30,i,0,i,0,i,4,i
453.0,Trinity U.,182,,0,,0,,0,,55,,0,,127,,0,,0,,0,,0,
454.0,Haverford C.,179,,0,,0,,110,,0,,69,,0,,0,,0,,0,,0,
454.0,"U. Minnesota, Duluth",179,,0,,0,,122,,0,,57,,0,,0,,0,,0,,0,
456.0,U. Northern Iowa,172,,0,,0,,0,,0,,0,,0,,170,,0,,0,,2,
457.0,South Carolina State U.,171,,0,,0,,0,,0,,0,,0,,0,,0,,171,,0,
458.0,"U. North Carolina, Asheville",169,,0,,0,,0,,0,,0,,169,,0,,0,,0,,0,
458.0,"U. Washington, Tacoma",169,,0,,0,,0,,0,,0,,0,,0,,0,,0,,169,
460.0,Santa Clara U.,168,,0,,0,,147,,0,,0,,0,,0,,0,,19,,2,
461.0,"U. Maryland, Center for Environmental Science",161,,0,,161,,0,,0,,0,,0,,0,,0,,0,,0,
462.0,Bowie State U.,160,,160,,0,,0,,0,,0,,0,,0,,0,,0,,0,
463.0,South Dakota School of Mines and Technology,152,,0,,0,,0,,0,,0,,0,,0,,0,,152,,0,
464.0,Texas Woman's U.,149,,0,,0,,149,,0,,0,,0,,0,,0,,0,,0,
465.0,Grinnell C.,148,,0,,0,,109,,0,,39,,0,,0,,0,,0,,0,
466.0,Azusa Pacific U.,147,,0,,0,,0,,0,,0,,147,,0,,0,,0,,0,
467.0,West Virginia State U.,145,,0,,0,,145,,0,,0,,0,,0,,0,,0,,0,
468.0,Eastern Washington U.,144,,0,,0,,144,,0,,0,,0,,0,,0,,0,,0,
469.0,Pittsburg State U.,143,,0,,0,,124,,0,,19,,0,,0,,0,,0,,0,
470.0,"Toyota Technological Institute, Chicago",142,,142,,0,,0,,0,,0,,0,,0,,0,,0,,0,
471.0,U. Hartford,141,,0,,0,,141,,0,,0,,0,,0,,0,,0,,0,
472.0,"U. Puerto Rico, Humacao",139,,0,,0,,0,,0,,139,,0,,0,,0,,0,,0,
473.0,Southeastern Louisiana U.,133,,0,,0,,125,,0,,1,,7,,0,,0,,0,,0,
474.0,Rider U.,129,,0,,0,,129,,0,,0,,0,,0,,0,,0,,0,
475.0,C. Charleston,127,,0,,0,,0,,0,,127,,0,,0,,0,,0,,0,
476.0,Oberlin C.,124,,0,,0,,56,,0,,68,,0,,0,,0,,0,,0,
477.0,Doane C.,121,,0,,0,,0,,0,,121,,0,,0,,0,,0,,0,
477.0,U. Wisconsin-La Crosse,121,,0,,0,,121,,0,,0,,0,,0,,0,,0,,0,
479.0,Ithaca C.,117,,0,,0,,116,,0,,0,,0,,0,,0,,0,,1,
480.0,Commonwealth Medical C.,116,,0,,0,,116,,0,,0,,0,,0,,0,,0,,0,
481.0,Humboldt State U.,115,,0,,0,,115,,0,,0,,0,,0,,0,,0,,0,
482.0,U. Wisconsin-Green Bay,114,i,0,i,0,i,72,i,0,i,14,i,9,i,3,i,0,i,1,i,15,i
483.0,Williams C.,107,,0,,0,,107,,0,,0,,0,,0,,0,,0,,0,
484.0,Sonoma State U.,103,,0,,0,,103,,0,,0,,0,,0,,0,,0,,0,
485.0,"Purdue U., Calumet",101,,27,,0,,73,,0,,1,,0,,0,,0,,0,,0,
486.0,Connecticut C.,100,,0,,0,,80,,0,,20,,0,,0,,0,,0,,0,
487.0,"California State U., Chico",98,,0,,0,,98,,0,,0,,0,,0,,0,,0,,0,
487.0,East Central U.,98,,0,,0,,70,,0,,0,,0,,0,,0,,28,,0,
487.0,"U. Nebraska, Kearney",98,,0,,0,,96,,0,,0,,0,,0,,0,,0,,2,
490.0,Hope C.,96,,0,,0,,96,,0,,0,,0,,0,,0,,0,,0,
490.0,Roger Williams U.,96,,0,,0,,96,,0,,0,,0,,0,,0,,0,,0,
492.0,"U. Texas, Tyler",92,,0,,0,,92,,0,,0,,0,,0,,0,,0,,0,
493.0,"California State Polytechnic U., Pomona",88,,0,,0,,88,,0,,0,,0,,0,,0,,0,,0,
494.0,Carleton C.,87,,0,,0,,0,,0,,0,,87,,0,,0,,0,,0,
495.0,Salish Kootenai C.,83,,0,,0,,0,,0,,0,,0,,83,,0,,0,,0,
496.0,Edward Via C. of Osteopathic Medicine,80,,0,,0,,80,,0,,0,,0,,0,,0,,0,,0,
497.0,St. Cloud State U.,79,,0,,0,,33,,0,,46,,0,,0,,0,,0,,0,
498.0,Sam Houston State U.,78,,0,,0,,0,,0,,0,,21,,57,,0,,0,,0,
498.0,Texas A&M U.-Corpus Christi,78,,0,,0,,78,,0,,0,,0,,0,,0,,0,,0,
498.0,"U. Minnesota, Morris",78,,0,,0,,0,,0,,0,,78,,0,,0,,0,,0,
501.0,St. Olaf C.,77,,0,,0,,0,,0,,77,,0,,0,,0,,0,,0,
502.0,"CUNY, Baruch C.",75,,0,,0,,0,,0,,0,,0,,75,,0,,0,,0,
503.0,"SUNY, Farmingdale State C.",74,,0,,0,,74,,0,,0,,0,,0,,0,,0,,0,
504.0,C. Wooster,73,i,0,i,0,i,73,i,0,i,0,i,0,i,0,i,0,i,0,i,0,i
505.0,Suffolk U.,72,,0,,0,,0,,0,,0,,43,,29,,0,,0,,0,
505.0,U. West Georgia,72,,0,,0,,36,,0,,0,,0,,0,,0,,0,,36,
507.0,"U. Tennessee, Chattanooga",71,,71,,0,,0,,0,,0,,0,,0,,0,,0,,0,
508.0,Lawrence Technological U.,70,,0,,0,,0,,65,,0,,0,,0,,0,,0,,5,
508.0,Seattle U.,70,,0,,0,,0,,43,,0,,0,,0,,0,,27,,0,
510.0,"SUNY, Geneseo",68,,0,,0,,68,,0,,0,,0,,0,,0,,0,,0,
511.0,Fairfield U.,65,,0,,0,,65,,0,,0,,0,,0,,0,,0,,0,
512.0,Central Connecticut State U.,64,,0,,0,,52,,0,,0,,3,,9,,0,,0,,0,
513.0,Vassar C.,61,,0,,0,,0,,0,,0,,0,,0,,0,,61,,0,
514.0,Benedict C.,59,,0,,0,,59,,0,,0,,0,,0,,0,,0,,0,
514.0,Towson U.,59,,0,,0,,59,,0,,0,,0,,0,,0,,0,,0,
516.0,Siena C.,56,,0,,0,,56,,0,,0,,0,,0,,0,,0,,0,
516.0,"U. Alaska, Southeast",56,,0,,0,,56,,0,,0,,0,,0,,0,,0,,0,
518.0,Mercyhurst U.,54,,0,,0,,15,,0,,0,,0,,0,,0,,0,,39,
518.0,Stephen F. Austin State U.,54,,0,,0,,17,,0,,0,,0,,0,,0,,0,,37,
520.0,Northwest Indian C.,53,i,0,i,0,i,0,i,0,i,0,i,0,i,30,i,0,i,0,i,23,i
521.0,Gonzaga U.,51,,0,,0,,0,,0,,51,,0,,0,,0,,0,,0,
522.0,U. Wisconsin-Platteville,50,i,0,i,0,i,23,i,0,i,9,i,6,i,3,i,0,i,0,i,9,i
523.0,Murray State U.,47,,0,,0,,39,,8,,0,,0,,0,,0,,0,,0,
524.0,La Salle U.,46,,0,,0,,46,,0,,0,,0,,0,,0,,0,,0,
524.0,U. del Turabo,46,,0,,0,,46,,0,,0,,0,,0,,0,,0,,0,
526.0,"Wheaton C., Wheaton",43,,0,,0,,43,,0,,0,,0,,0,,0,,0,,0,
527.0,"U. California, Office of the President",42,,0,,0,,42,,0,,0,,0,,0,,0,,0,,0,
528.0,Youngstown State U.,40,,0,,0,,0,,0,,40,,0,,0,,0,,0,,0,
529.0,Harvey Mudd C.,39,,0,,0,,0,,0,,0,,0,,0,,0,,39,,0,
530.0,Saint Michael's C.,38,,0,,0,,38,,0,,0,,0,,0,,0,,0,,0,
530.0,U. San Diego,38,,0,,0,,11,,0,,27,,0,,0,,0,,0,,0,
532.0,Central Washington U.,36,,0,,0,,12,,0,,24,,0,,0,,0,,0,,0,
532.0,Dickinson C.,36,,0,,0,,0,,0,,0,,0,,0,,0,,0,,36,
532.0,Hofstra U.,36,,0,,0,,36,,0,,0,,0,,0,,0,,0,,0,
532.0,U. Houston-Clear Lake,36,,0,,0,,0,,0,,0,,36,,0,,0,,0,,0,
536.0,Indiana State U.,34,,0,,0,,34,,0,,0,,0,,0,,0,,0,,0,
536.0,Skidmore C.,34,,0,,0,,19,,0,,0,,15,,0,,0,,0,,0,
538.0,Bucknell U.,33,,0,,0,,0,,0,,0,,33,,0,,0,,0,,0,
539.0,"California State U., Monterey Bay",29,,0,,0,,0,,0,,0,,0,,29,,0,,0,,0,
539.0,Stockton U.,29,,0,,0,,29,,0,,0,,0,,0,,0,,0,,0,
541.0,Nicholls State U.,23,,0,,0,,23,,0,,0,,0,,0,,0,,0,,0,
541.0,Tennessee Technological U.,23,,0,,0,,0,,0,,0,,0,,0,,0,,23,,0,
543.0,"Pennsylvania State U., Harrisburg",21,,0,,0,,0,,0,,0,,0,,21,,0,,0,,0,
543.0,"U. Washington, Bothell",21,,0,,0,,0,,0,,0,,0,,0,,0,,0,,21,
