Rank,Institution,Total,Federally financed,2012,Unnamed: 5,2013,Unnamed: 7,2014,Unnamed: 9,2015,Unnamed: 11,2012.1,Unnamed: 13,2013.1,Unnamed: 15,2014.1,Unnamed: 17,2015.1,Unnamed: 19,shift
253.0,San Francisco State U.,2381,,1935,,1813,,340.0,,461,,530,,1272,,154.0,,,,0
254.0,Bowdoin C.,105,,442,,397,,328.0,,102,,442,,394,,327.0,,,,0
255.0,Miami U.,0,,511,i,432,,324.0,,0,,511,,431,,316.0,,,,0
256.0,"CUNY, Lehman C.",220,,14,,0,,317.0,,120,,0,,0,,317.0,,,,0
257.0,"U. Puerto Rico, Rio Piedras",0,,0,,307,,310.0,,0,,0,,307,,310.0,,,,0
258.0,Barry U.,34,,379,,218,,302.0,,0,,0,,0,,0.0,,,,0
259.0,Commonwealth Medical C.,119,,73,,175,,299.0,,113,,68,,175,,299.0,,,,0
260.0,"Trinity C., Hartford",654,,509,,568,,298.0,,653,,509,,548,,252.0,,,,0
261.0,Western Kentucky U.,103,,171,,79,,288.0,,26,,33,,24,,91.0,,,,0
262.0,Keck Graduate Institute,0,,0,,0,,279.0,,0,,0,,0,,0.0,,,,0
263.0,Catholic U. of America,0,,5,,0,,271.0,,0,,0,,0,,235.0,,,,0
264.0,Pomona C.,107,,82,,100,,270.0,,0,,0,,0,,0.0,,,,0
265.0,Missouri State U.,1525,,876,,252,,259.0,,1391,,398,,160,,190.0,,,,0
266.0,U. Texas Pan American,763,,624,,353,,258.0,,319,,97,,0,,0.0,,,,0
267.0,California Institute of Technology,4553,i,10023,i,40,,230.0,,0,,0,,40,,46.0,,,,0
268.0,U. San Francisco,1567,,671,,664,,217.0,,1424,,542,,343,,1.0,,,,0
269.0,Middle Tennessee State U.,0,,0,,16,,216.0,,0,,0,,16,,131.0,,,,0
270.0,Amherst C.,49,i,59,,122,,209.0,,0,i,0,,122,,209.0,,,,0
271.0,"U. Nevada, Las Vegas",64,,84,,118,,201.0,,56,,62,,58,,173.0,,,,0
272.0,U. Hartford,55,,104,,123,,196.0,,41,,82,,117,,141.0,,,,0
273.0,Western Michigan U. and Homer Stryker M.D. School of Medicine,0,,0,,86,,187.0,,0,,0,,3,,0.0,,,,0
274.0,Syracuse U.,75,,98,,95,,182.0,,0,,0,,0,,0.0,,,,0
275.0,Ball State U.,698,,290,,299,,173.0,,691,,258,,208,,142.0,,,,0
276.0,U. del Turabo,0,,0,,112,,172.0,,0,,0,,0,,0.0,,,,0
277.0,Seattle U.,0,,ne,,81,,170.0,,0,,ne,,0,,0.0,,,,0
278.0,Western Washington U.,100,,16,,62,,156.0,,0,,15,,48,,13.0,,,,0
279.0,Quinnipiac U.,175,i,173,i,ne,,148.0,i,136,i,115,i,ne,,79.0,i,,,0
280.0,Fayetteville State U.,255,,192,,146,,146.0,,255,,192,,146,,146.0,,,,0
281.0,Lewis and Clark C.,0,,0,,121,,137.0,,0,,0,,0,,0.0,,,,0
282.0,Eastern Washington U.,0,,0,,0,,134.0,,0,,0,,0,,134.0,,,,0
283.0,Oberlin C.,77,,136,,266,,133.0,,0,,84,,61,,56.0,,,,0
284.0,"U. Massachusetts, Lowell",0,,47,,113,,125.0,,0,,47,,86,,86.0,,,,0
285.0,U. Wisconsin-Milwaukee,330,,223,,208,,116.0,,184,,144,,115,,16.0,,,,0
286.0,Albany State U.,390,,362,,264,,113.0,,390,,360,,264,,113.0,,,,0
287.0,U. of the Pacific,574,,639,,184,,112.0,,126,,140,,93,,51.0,,,,0
288.0,Stevens Institute of Technology,0,,0,,0,,109.0,,0,,0,,0,,100.0,,,,0
289.0,U. Wisconsin-La Crosse,42,,37,,0,,96.0,,0,,15,,0,,20.0,,,,0
290.0,Franklin and Marshall C.,0,,0,,0,,91.0,,0,,0,,0,,58.0,,,,0
291.0,Stockton U.,0,,ne,,103,,88.0,,0,,ne,,5,,29.0,,,,0
292.0,New Mexico State U.,3,,0,,53,,86.0,,0,,0,,48,,64.0,,,,0
293.0,Prairie View A&M U.,172,,15,,35,,84.0,,133,,0,,33,,65.0,,,,0
294.0,Salisbury U.,0,,179,,0,,83.0,,0,,48,,0,,0.0,,,,0
295.0,"U. Washington, Tacoma",0,,0,,0,,82.0,,0,,0,,0,,0.0,,,,0
296.0,West Virginia State U.,190,,1,,137,,78.0,,190,,1,,137,,78.0,,,,0
297.0,Indiana State U.,20,,15,,21,,68.0,,0,,0,,0,,0.0,,,,0
298.0,"Oklahoma State U., Stillwater",1164,,1768,,2089,,60.0,,1103,,1270,,1300,,49.0,,,,0
299.0,"U. Alaska, Southeast",0,,0,,0,,58.0,,0,,0,,0,,56.0,,,,0
299.0,"U. Massachusetts, Dartmouth",0,,0,,13,,58.0,,0,,0,,0,,0.0,,,,0
301.0,Oakland U.,161,,10,,59,,55.0,,0,,1,,0,,0.0,,,,0
302.0,Tarleton State U.,0,,100,,254,,52.0,,0,,0,,0,,0.0,,,,0
303.0,Naval Postgraduate School,0,,0,,0,,50.0,,0,,0,,0,,50.0,,,,0
304.0,U. of the Incarnate Word,ne,,ne,,ne,,48.0,,ne,,ne,,ne,,15.0,,,,0
305.0,La Salle U.,0,,52,,163,,46.0,,0,,52,,102,,46.0,,,,0
306.0,Northern Arizona U.,26,,58,,45,,41.0,,0,,0,,0,,0.0,,,,0
307.0,U. Wisconsin-Green Bay,39,i,39,i,39,i,39.0,i,25,i,23,i,22,i,20.0,i,,,0
308.0,Gallaudet U.,38,,79,,68,,38.0,,0,,42,,29,,0.0,,,,0
308.0,U. Southern Mississippi,684,,0,,0,,38.0,,0,,0,,0,,7.0,,,,0
310.0,"Brigham Young U., Provo",28,,84,,46,,37.0,,0,,21,,19,,23.0,,,,0
311.0,North Carolina Agricultural and Technical State U.,48,,15,,17,,36.0,,7,,6,,17,,29.0,,,,0
312.0,Skidmore C.,0,,6,,25,,35.0,,0,,0,,0,,0.0,,,,0
313.0,East Central U.,353,,ne,,0,,30.0,,353,,ne,,0,,30.0,,,,0
314.0,U. North Florida,79,,78,,90,,29.0,,0,,0,,0,,0.0,,,,0
315.0,Loyola Marymount U.,0,,0,,0,,26.0,,0,,0,,0,,0.0,,,,0
315.0,U. Maine,1,,522,,7,,26.0,,0,,0,,0,,0.0,,,,0
317.0,St. Cloud State U.,6,,9,,29,,25.0,,0,,0,,0,,0.0,,,,0
318.0,C. of Saint Benedict,ne,,71,,13,,23.0,,ne,,0,,0,,0.0,,,,0
318.0,Saginaw Valley State U.,24,,41,,ne,,23.0,,0,,0,,ne,,0.0,,,,0
320.0,James Madison U.,73,,34,,20,,22.0,,59,,20,,0,,0.0,,,,0
321.0,"Saint John's U., Collegeville",ne,,66,,12,,21.0,,ne,,0,,0,,0.0,,,,0
321.0,Texas A&M International U.,0,,25,,40,,21.0,,0,,0,,0,,0.0,,,,0
323.0,Morgan State U.,259,,176,,180,,20.0,,190,,170,,178,,8.0,,,,0
323.0,National Defense U.,ne,,31,,52,,20.0,,ne,,31,,52,,20.0,,,,0
325.0,Sam Houston State U.,0,,0,,0,,17.0,,0,,0,,0,,0.0,,,,0
326.0,"CUNY, Graduate Center",0,,0,,0,,16.0,,0,,0,,0,,16.0,,,,0
326.0,Kean U.,0,,32,,ne,,16.0,,0,,0,,ne,,0.0,,,,0
326.0,U. Wisconsin-Platteville,ne,,ne,,7,i,16.0,i,ne,,ne,,5,i,6.0,i,,,0
329.0,U. Tampa,ne,,0,,0,,15.0,,ne,,0,,0,,0.0,,,,0
330.0,Pace U.,33,,0,,12,,14.0,,33,,0,,12,,14.0,,,,0
331.0,Valparaiso U.,0,,1,,0,,11.0,,0,,0,,0,,0.0,,,,0
332.0,Bates C.,61,,0,,0,,9.0,,0,,0,,0,,0.0,,,,0
332.0,C. Wooster,0,,ne,,9,,9.0,i,0,,ne,,0,,0.0,i,,,0
332.0,"U. Arkansas, Fayetteville",0,,0,,0,,9.0,,0,,0,,0,,0.0,,,,0
335.0,Kennesaw State U.,12,i,16,,148,,8.0,,0,i,0,,107,,0.0,,,,0
335.0,Towson U.,0,,42,,39,,8.0,,0,,36,,39,,8.0,,,,0
337.0,Murray State U.,52,,0,,31,,7.0,,52,,0,,31,,7.0,,,,0
337.0,North Carolina State U.,8,,9,,9,,7.0,,0,,4,,0,,0.0,,,,0
339.0,U. Houston-Downtown,0,,32,,0,,6.0,,0,,32,,0,,6.0,,,,0
339.0,"U. Nebraska, Kearney",0,,0,,0,,6.0,,0,,0,,0,,0.0,,,,0
341.0,Fordham U.,0,,4,,7,,5.0,,0,,0,,0,,0.0,,,,0
341.0,"Purdue U., Calumet",152,,0,,13,,5.0,,0,,0,,0,,0.0,,,,0
341.0,St. Olaf C.,0,,0,,3,,5.0,,0,,0,,0,,0.0,,,,0
344.0,Grand Valley State U.,0,i,0,,2,,4.0,,0,i,0,,0,,0.0,,,,0
345.0,"California State U., Chico",37,,0,,21,,3.0,,0,,0,,0,,0.0,,,,0
345.0,Smith C.,0,,0,,0,,3.0,,0,,0,,0,,0.0,,,,0
347.0,Benedict C.,146,,106,,26,,2.0,,105,,106,,26,,2.0,,,,0
348.0,C. Charleston,0,,0,,0,,1.0,,0,,0,,0,,0.0,,,,0
348.0,Eastern Kentucky U.,0,,0,,5,,1.0,,0,,0,,0,,0.0,,,,0
348.0,Hawaii Pacific U.,0,,0,,54,,1.0,,0,,0,,0,,0.0,,,,0
348.0,"Indiana U., South Bend",0,,0,,0,,1.0,,0,,0,,0,,0.0,,,,0
348.0,Pittsburg State U.,0,,0,,0,,1.0,,0,,0,,0,,0.0,,,,0
348.0,Texas A&M U.-Kingsville,36,,30,,17,,1.0,,31,,26,,13,,1.0,,,,0
All other surveyed institutions,214257,,113548,,2513,,0.0,,101324,,58054,,1439,,0.0,,,,,-1
